company,date of release
Booking Holdings Inc,20170509
Booking Holdings Inc,20171106
BorgWarner,20170209
BorgWarner,20170727
Bristol-Myers Squibb,20170427
Bristol-Myers Squibb,20170727
Broadridge Financial Solutions,20170510
"CA, Inc.",20170802
CBRE Group,20171103
CBS Corp.,20170807
CBS Corp.,20171102
CIGNA Corp.,20170202
CIGNA Corp.,20170505
CIGNA Corp.,20170804
CME Group Inc.,20171026
CMS Energy,20170202
CMS Energy,20170501
CMS Energy,20171026
CVS Health,20170209
Cadence Design Systems,20170724
Campbell Soup,20170217
Campbell Soup,20170519
Campbell Soup,20170831
Campbell Soup,20171121
Cardinal Health Inc.,20170501
Carmax Inc,20170922
Carmax Inc,20171221
Caterpillar Inc.,20170126
Caterpillar Inc.,20170425
Caterpillar Inc.,20170725
Caterpillar Inc.,20171024
Cboe Global Markets,20170804
Celgene Corp.,20170126
Celgene Corp.,20170427
Celgene Corp.,20170727
Celgene Corp.,20171026
CenturyLink Inc,20170802
CenturyLink Inc,20171108
Chevron Corp.,20170127
Chevron Corp.,20170428
Chevron Corp.,20170728
Church & Dwight,20170803
Church & Dwight,20171102
Cimarex Energy,20170510
Cisco Systems,20170215
Cisco Systems,20171115
Citigroup Inc.,20170118
Citigroup Inc.,20171012
Citrix Systems,20170802
Coca-Cola Company (The),20170209
Coca-Cola Company (The),20170726
Cognizant Technology Solutions,20170803
Cognizant Technology Solutions,20171101
Comcast Corp.,20170126
Comcast Corp.,20170427
Comcast Corp.,20170727
Comerica Inc.,20170117
Comerica Inc.,20170418
Conagra Brands,20171221
Corning Inc.,20170124
"Coty, Inc",20170209
"Coty, Inc",20170822
"Coty, Inc",20171109
Crown Castle International Corp.,20170719
Cummins Inc.,20170801
D. R. Horton,20170124
DTE Energy Co.,20170726
DaVita Inc.,20170502
DaVita Inc.,20170801
Darden Restaurants,20170926
Darden Restaurants,20171219
Digital Realty Trust Inc,20170216
Digital Realty Trust Inc,20170427
Dish Network,20170222
Dish Network,20170501
Dish Network,20170803
Dish Network,20171109
Dollar General,20171207
Dominion Energy,20170504
Dominion Energy,20170802
Dominion Energy,20171030
Dover Corp.,20170420
Dover Corp.,20170720
Duke Energy,20171103
EQT Corporation,20170427
EQT Corporation,20170727
Ecolab Inc.,20170221
Ecolab Inc.,20170502
Ecolab Inc.,20170801
Ecolab Inc.,20171031
Edison Int'l,20170501
Edwards Lifesciences,20170201
Electronic Arts,20171031
Emerson Electric Company,20170207
Emerson Electric Company,20170502
Equinix,20170802
Equinix,20171101
Estee Lauder Cos.,20170202
Estee Lauder Cos.,20170503
Estee Lauder Cos.,20170818
Estee Lauder Cos.,20171101
Exxon Mobil Corp.,20171027
F5 Networks,20170125
F5 Networks,20170426
F5 Networks,20170726
FLIR Systems,20171025
"Facebook, Inc.",20171101
Fidelity National Information Services,20170207
Fidelity National Information Services,20170802
Fifth Third Bancorp,20170124
FleetCor Technologies Inc,20170803
Foot Locker Inc,20170224
Foot Locker Inc,20170519
Foot Locker Inc,20171117
Ford Motor,20170427
Fortive Corp,20170207
Fortune Brands Home & Security,20170802
Franklin Resources,20170127
Franklin Resources,20170428
Freeport-McMoRan Inc.,20170425
Gap Inc.,20170223
Gap Inc.,20170518
Garmin Ltd.,20170222
Garmin Ltd.,20170503
Garmin Ltd.,20171101
Gartner Inc,20170202
Gartner Inc,20170504
Gartner Inc,20170808
Gartner Inc,20171102
General Dynamics,20170127
General Dynamics,20170426
General Dynamics,20171025
General Growth Properties Inc.,20170501
General Growth Properties Inc.,20170802
General Mills,20170628
General Mills,20171220
General Motors,20170207
General Motors,20170428
General Motors,20170725
General Motors,20171024
Genuine Parts,20170221
Gilead Sciences,20170502
Goldman Sachs Group,20170118
Goldman Sachs Group,20170718
Goodyear Tire & Rubber,20170428
Grainger (W.W.) Inc.,20170125
Grainger (W.W.) Inc.,20170418
Grainger (W.W.) Inc.,20170719
HCA Holdings,20170502
HP Inc.,20170222
HP Inc.,20170524
HP Inc.,20170823
HP Inc.,20171121
Halliburton Co.,20171023
Hanesbrands Inc,20170502
Hanesbrands Inc,20171101
Harris Corporation,20170801
Hasbro Inc.,20170206
Hasbro Inc.,20170424
Hasbro Inc.,20171023
Henry Schein,20170221
Hess Corporation,20170125
Hess Corporation,20170426
Hess Corporation,20171025
Hewlett Packard Enterprise,20170531
Hewlett Packard Enterprise,20170905
Hewlett Packard Enterprise,20171121
Hilton Worldwide Holdings Inc,20170215
Hilton Worldwide Holdings Inc,20170502
Hologic,20170201
Hologic,20170802
Hologic,20171108
Home Depot,20170221
Home Depot,20170516
Hormel Foods Corp.,20170223
Humana Inc.,20170503
Humana Inc.,20170802
IPG Photonics Corp.,20170502
Illinois Tool Works,20170424
Illinois Tool Works,20171023
Illumina Inc,20170131
Illumina Inc,20170801
Illumina Inc,20171024
Incyte,20170214
Incyte,20170504
Incyte,20170801
Ingersoll-Rand PLC,20170201
Ingersoll-Rand PLC,20170426
Intel Corp.,20170427
Intel Corp.,20170727
Intel Corp.,20171026
Intercontinental Exchange,20170207
International Paper,20170202
Interpublic Group,20170210
Interpublic Group,20170421
Intuit Inc.,20170223
Intuit Inc.,20170523
Invesco Ltd.,20170727
Invesco Ltd.,20171026
Iron Mountain Incorporated,20170223
Iron Mountain Incorporated,20170427
Iron Mountain Incorporated,20170728
JPMorgan Chase & Co.,20170714
JPMorgan Chase & Co.,20171012
Johnson Controls International,20170201
Johnson Controls International,20170427
Johnson Controls International,20170727
Johnson Controls International,20171109
Juniper Networks,20170425
Juniper Networks,20170725
KLA-Tencor Corp.,20170427
KLA-Tencor Corp.,20170727
Kansas City Southern,20170120
Kansas City Southern,20171020
Kellogg Co.,20170504
Kellogg Co.,20170803
Kellogg Co.,20171031
Kimberly-Clark,20170124
Kimberly-Clark,20170424
Kimberly-Clark,20170725
Kinder Morgan,20170419
Kohl's Corp.,20170223
Kohl's Corp.,20170511
Kohl's Corp.,20171109
Kraft Heinz Co,20170215
Kraft Heinz Co,20170503
Kraft Heinz Co,20171101
Kroger Co.,20170302
Kroger Co.,20170615
Kroger Co.,20170908
Kroger Co.,20171130
LKQ Corporation,20170427
LKQ Corporation,20170727
Lam Research,20170125
Lam Research,20170418
Lennar Corp.,20170620
Lennar Corp.,20171003
Lilly (Eli) & Co.,20170131
Lilly (Eli) & Co.,20170425
Lockheed Martin Corp.,20170124
Lockheed Martin Corp.,20170425
Lockheed Martin Corp.,20170718
Lockheed Martin Corp.,20171024
Lowe's Cos.,20170524
Lowe's Cos.,20170823
Lowe's Cos.,20171121
LyondellBasell,20170203
MGM Resorts International,20170727
MSCI Inc,20170504
Marsh & McLennan,20170727
Marsh & McLennan,20171026
Martin Marietta Materials,20170214
Martin Marietta Materials,20170502
Martin Marietta Materials,20170801
Martin Marietta Materials,20171102
Masco Corp.,20170727
Masco Corp.,20171024
Mastercard Inc.,20170131
Mastercard Inc.,20170727
Mattel Inc.,20170727
Mattel Inc.,20171026
McDonald's Corp.,20171024
Merck & Co.,20170202
Merck & Co.,20170502
Merck & Co.,20170728
Merck & Co.,20171027
Michael Kors Holdings,20170207
Micron Technology,20170629
Micron Technology,20170926
Microsoft Corp.,20170126
Microsoft Corp.,20170427
Microsoft Corp.,20170720
Molson Coors Brewing Company,20170802
Mondelez International,20170802
Motorola Solutions Inc.,20170504
Motorola Solutions Inc.,20170803
Motorola Solutions Inc.,20171102
Mylan N.V.,20170510
NRG Energy,20170228
"Nasdaq, Inc.",20170131
Nektar Therapeutics,20170301
Nektar Therapeutics,20171107
NetApp,20170215
NetApp,20171115
Newell Brands,20170206
Newmont Mining Corporation,20170725
News Corp. Class A,20170509
NiSource Inc.,20170503
Nielsen Holdings,20170727
Nielsen Holdings,20171025
Nike,20170321
Noble Energy Inc,20170803
Nordstrom,20170223
Nordstrom,20171109
Norfolk Southern Corp.,20170426
Norfolk Southern Corp.,20171025
Norwegian Cruise Line,20170222
Nucor Corp.,20170420
Nucor Corp.,20171019
Nvidia Corporation,20170509
Oracle Corp.,20170621
Oracle Corp.,20170914
Oracle Corp.,20171214
PACCAR Inc.,20170725
PACCAR Inc.,20171024
PG&E Corp.,20170727
PPG Industries,20170119
PPL Corp.,20170201
PPL Corp.,20170504
PPL Corp.,20170803
Parker-Hannifin,20170202
Parker-Hannifin,20170427
Parker-Hannifin,20171102
PayPal,20170126
PayPal,20170726
Pentair plc,20170725
PepsiCo Inc.,20170215
PepsiCo Inc.,20170426
PepsiCo Inc.,20170711
PepsiCo Inc.,20171004
PerkinElmer,20171102
Perrigo,20171109
Pinnacle West Capital,20170224
Pinnacle West Capital,20170502
Pinnacle West Capital,20170803
Pinnacle West Capital,20171103
Polo Ralph Lauren Corp.,20170202
Polo Ralph Lauren Corp.,20171102
Prologis,20170718
Public Serv. Enterprise Inc.,20170428
Quanta Services Inc.,20170221
Quanta Services Inc.,20170504
Quanta Services Inc.,20170803
Quest Diagnostics,20170420
Quest Diagnostics,20170725
Raytheon Co.,20170427
Raytheon Co.,20171026
Red Hat Inc.,20170327
Red Hat Inc.,20170925
Red Hat Inc.,20171219
Regeneron,20170504
Regeneron,20170803
Regeneron,20171108
Regions Financial Corp.,20170721
Regions Financial Corp.,20171024
Republic Services Inc,20170216
Republic Services Inc,20170727
ResMed,20170123
ResMed,20170427
ResMed,20171026
Rockwell Automation Inc.,20170125
Rockwell Automation Inc.,20170426
Rockwell Automation Inc.,20170726
Roper Technologies,20170209
Ross Stores,20170228
Ross Stores,20170518
Ross Stores,20170817
Ross Stores,20171116
Royal Caribbean Cruises Ltd,20170801
Royal Caribbean Cruises Ltd,20171107
SCANA Corp,20170427
SCANA Corp,20170803
SVB Financial,20170126
SVB Financial,20170427
Salesforce.com,20170228
Salesforce.com,20170822
Schlumberger Ltd.,20170421
Schlumberger Ltd.,20170721
Seagate Technology,20170124
Seagate Technology,20170426
Seagate Technology,20170725
Seagate Technology,20171023
Sealed Air,20170209
Sealed Air,20170509
Sealed Air,20171108
Sempra Energy,20170509
Sherwin-Williams,20170420
Sherwin-Williams,20170720
Skyworks Solutions,20170119
Skyworks Solutions,20170427
Skyworks Solutions,20170720
Skyworks Solutions,20171106
Snap-On Inc.,20170202
Snap-On Inc.,20170720
Starbucks Corp.,20170126
Stericycle Inc,20170504
Stericycle Inc,20170803
Stericycle Inc,20171108
Stryker Corp.,20170727
Stryker Corp.,20171026
SunTrust Banks,20170120
SunTrust Banks,20171020
Symantec Corp.,20170510
Synopsys Inc.,20170215
Synopsys Inc.,20170517
Synopsys Inc.,20171129
Sysco Corp.,20170508
Sysco Corp.,20170814
Sysco Corp.,20171106
TE Connectivity Ltd.,20170125
TE Connectivity Ltd.,20170726
"Tapestry, Inc.",20170131
Target Corp.,20170816
Target Corp.,20171115
Texas Instruments,20170124
Texas Instruments,20170425
Texas Instruments,20171024
The Bank of New York Mellon Corp.,20170720
The Clorox Company,20170203
The Clorox Company,20170503
The Clorox Company,20170803
The Clorox Company,20171101
The Cooper Companies,20170831
The Hershey Company,20170203
The Hershey Company,20170426
The Hershey Company,20171026
The Mosaic Company,20170502
The Mosaic Company,20170801
The Mosaic Company,20171031
The Walt Disney Company,20170207
The Walt Disney Company,20170509
The Walt Disney Company,20170808
The Walt Disney Company,20171109
Thermo Fisher Scientific,20170426
Tiffany & Co.,20170524
Tractor Supply Company,20170201
Tractor Supply Company,20170426
Tractor Supply Company,20170726
Tractor Supply Company,20171025
TransDigm Group,20170207
"Twitter, Inc.",20170209
"Twitter, Inc.",20170426
"Twitter, Inc.",20170727
Tyson Foods,20170206
U.S. Bancorp,20170419
U.S. Bancorp,20170719
Ulta Beauty,20170309
Ulta Beauty,20171130
United Health Group Inc.,20170418
United Health Group Inc.,20171017
United Parcel Service,20170727
United Technologies,20170725
United Technologies,20171024
Valero Energy,20170131
Valero Energy,20170425
Valero Energy,20170727
Varian Medical Systems,20170125
Varian Medical Systems,20171025
Ventas Inc,20171027
Verisign Inc.,20170427
Verisign Inc.,20170727
Verisign Inc.,20171026
Verizon Communications,20170124
Verizon Communications,20170420
Verizon Communications,20170727
Verizon Communications,20171019
Viacom Inc.,20171116
Vulcan Materials,20170802
Walgreens Boots Alliance,20170405
Walgreens Boots Alliance,20170629
Walgreens Boots Alliance,20171025
Walmart,20171116
Waste Management Inc.,20170216
Waste Management Inc.,20170726
Waste Management Inc.,20171026
Wec Energy Group Inc,20170201
Wec Energy Group Inc,20170502
Wec Energy Group Inc,20171026
Welltower Inc.,20170505
WestRock,20170124
WestRock,20170426
WestRock,20171102
Western Digital,20171026
Western Union Co,20170502
Western Union Co,20171102
Weyerhaeuser,20170203
Weyerhaeuser,20170428
XL Group,20171024
Xcel Energy Inc,20170202
Xcel Energy Inc,20170727
Xerox,20170425
Xerox,20170801
Xilinx,20170426
Yum! Brands Inc,20170209
Yum! Brands Inc,20170803
eBay Inc.,20170125
eBay Inc.,20170419
eBay Inc.,20170720
