,Sentences
35,"Starting with Charcoal, sales and volume were down in Q3, but this was following high single-digit growth in the year-ago quarter"
36,"So simply put, we were facing some pretty challenging comparisons versus a year ago"
37,"Looking at this year, the initial ramp-up for the summer barbecuing season was a bit slow, in part due to poor March weather, and it also skewed slightly away from our premium instant-lighting product, Match Light, resulting in an unfavorable mix impacting Q3."
38,"But, as a reminder, the bulk of our Charcoal business occurs in the fourth quarter, which is the current quarter that we're in now, and we're supporting the 2017 grilling season with our new premium Kingsford long-burning briquette that we started shipping in January"
39,"Turning to Cat Litter, sales increased strongly, supported by all-time record shipments of Scoop Away and strong shipments of Fresh Step, primarily due to increased merchandising support, the Fresh Step with Febreze innovation, and strength in the grocery channel"
40,"And while still early, our new Fresh Step Hawaiian Aloha item, which began shipping in January, is off to a strong start"
41,"And while the category remains highly competitive, we did have our fourth consecutive quarter of market share growth for the Scoopable Fresh Step franchise"
42,"Turning to Glad Bags and Wraps, sales came in flat for the quarter with volume down slightly, driven by a softness in our food protection business"
43,"However, our premium trash bag business, particularly behind OdorShield, continues to grow, consistent with our strategy to support retailers in trading up consumers to more value-added offerings"
44,"And then I'll wrap up the discussion of the Household segment with Renew Life, which contributed strongly to the segment's growth this quarter"
45,"You know, in short, we remain very excited about this acquisition"
46,"Again, we made this acquisition about a year ago, this month"
47,And we continue to be focused on distribution expansion strategy
48,"That remains on track, and we feel very optimistic about future distribution opportunities"
49,"Turning to our Lifestyle segment, volume decreased 1%, and sales decreased 3%"
50,"And the slight decline in volume was primarily driven by lower shipments in Water Filtration and Natural Personal Care, reflecting comparisons to double-digit volume growth in both businesses in the year-ago quarter"
51,"So, starting with our Brita water-filtration business, despite the sales and volume decline due to tough comps, again, particularly on our faucet mount products, our Q3 shipments this year on our pour-through systems and filters increased behind our latest wave of innovation, and specifically that was on a couple of products launched in mid-February"
52,"At that point, we started shipping our new Brita Stream Filter"
53,"As You Pour Pitcher, which makes filtering water ten times faster, as well as our premium Brita Longlast Filter, which lasts three times longer than legacy filters and reduces more contaminants, including removing 99% of lead"
54,"Looking at Burt's Bees, Q3 sales and volume declined in comparison again to double-digit volume gains in the year-ago quarter as we lapped the launch of Burt's Bees lipsticks"
55,"At the same time, our lip balm business continues to perform very well with record third quarter shipments"
56,"And looking ahead to fiscal year 2018, we have strong plans in place for innovation in several areas to keep growing this business"
57,"Turning to our Food business, sales decreased and volume was flat for the quarter as we made significant incremental investments in March that are anticipated to contribute meaningfully to fourth quarter volume growth in support of new products"
58,"And these include Simply Ranch, a preservative-free offering in our original ranch lineup, and two new flavors of ranch, chili lime and cucumber basil"
59,"We're also leveraging the strength of the Kingsford brand, our Charcoal brand, by launching a new line of barbecue sauces"
60,"And then finally looking at our International business, sales increased 3%, while volume declined 2%"
61,"The modest volume decline was mostly due to lower shipments in certain Latin America countries, notably Argentina, driven by macroeconomic conditions"
62,"Partially offsetting this were increased shipments in Canada, which benefited from the Renew Life acquisition"
63,"And broadly speaking, although macroeconomic conditions remain tough, we are encouraged by the progress in our International business as our go-in strategy to improve profitability is also providing for selective investments in key markets which will support future top line growth"
64,"For example, in recent quarters, we have launched laundry innovations in several international markets that are off to a good start, including in Asia and Latin America"
65,"So with that, I'll turn it over to Steve to provide more detail on our Q3 performance and financial outlook"
