,text,Sentiment,Emotion,sales,earnings,op_costs,products_services,organic_expansion,acquisitions,competition,op_risks,debt,not_applicable,NIL,Negative,Neutral,Positive,Confident,Dodgy,NIL,Uncertain
12,"Marlboro continues to have category-leading equity, strong demographics and is, of course, highly profitable",2-Positive,0-Confident,0.047,0.911,0.004,0.002,0.015,0.007,0.002,0.002,0.004,0.002,0.004,0.006,0.044,0.95,0.946,0.001,0.048,0.004
13,"As for retail share, Marlboro declined by 0.5 share point to 43.2% in the quarter and 0.3 for the first nine months to 43.4%",0-Negative,0-Confident,0.091,0.614,0.088,0.005,0.018,0.01,0.008,0.01,0.007,0.059,0.09,0.882,0.065,0.052,0.496,0.003,0.483,0.017
14,So let's look at what's happening here beginning with California,1-Neutral,2-NIL,0.004,0.005,0.004,0.014,0.005,0.003,0.005,0.004,0.002,0.715,0.238,0.076,0.55,0.375,0.125,0.001,0.868,0.005
15,"As we described in the second quarter call, we expected the dynamics related to the California $2-per-pack SCT increase to dampen Marlboro's share through the back half and that's continuing to happen",2-Positive,0-Confident,0.024,0.724,0.09,0.005,0.026,0.019,0.008,0.013,0.01,0.012,0.07,0.091,0.095,0.814,0.66,0.011,0.226,0.103
16,"You are familiar with Marlboro's over-indexed share in California at over 50%, and Marlboro thus continues to experience disproportionate share impact during this period due to the SCT increase",2-Positive,0-Confident,0.062,0.565,0.089,0.012,0.046,0.032,0.01,0.016,0.01,0.019,0.14,0.086,0.044,0.87,0.892,0.003,0.086,0.019
17,"Second, there was elevated competitive activity in the quarter, including high levels of promotional spending and a competitive brand launch",1-Neutral,2-NIL,0.151,0.16,0.044,0.277,0.039,0.006,0.022,0.017,0.007,0.023,0.253,0.21,0.44,0.35,0.327,0.002,0.664,0.007
18,"In fact, there have been five such launches by major competitors this year, many with multiple packings behind them",2-Positive,2-NIL,0.02,0.017,0.007,0.595,0.044,0.007,0.016,0.013,0.004,0.022,0.254,0.039,0.103,0.858,0.16,0.002,0.831,0.008
19,"Those launches and the promotional resources accompanying them have increased the short-term share pressure on Marlboro, the share leader",2-Positive,2-NIL,0.029,0.021,0.016,0.482,0.011,0.003,0.015,0.009,0.004,0.107,0.303,0.041,0.373,0.587,0.339,0.003,0.642,0.016
20,"Share performance is best measured over years, not quarters, of course, but it's important to understand that PM USA is addressing Marlboro's recent share declines",2-Positive,0-Confident,0.078,0.788,0.032,0.015,0.008,0.004,0.005,0.007,0.004,0.006,0.054,0.034,0.387,0.579,0.502,0.011,0.277,0.21
21,"First, it is reallocating certain marketing resources, including in California",1-Neutral,0-Confident,0.008,0.008,0.014,0.566,0.021,0.005,0.011,0.009,0.003,0.048,0.306,0.01,0.657,0.333,0.685,0.001,0.309,0.005
22,These have included changes to promotional resources and product expansions,1-Neutral,2-NIL,0.004,0.002,0.001,0.979,0.002,0.001,0.001,0.001,0.001,0.003,0.005,0.002,0.982,0.017,0.086,0.001,0.908,0.005
23,"For example, PM USA has revised its retail trade programs to focus retailers on the profitability Marlboro brings to their stores",2-Positive,0-Confident,0.017,0.831,0.03,0.039,0.007,0.003,0.006,0.008,0.004,0.005,0.049,0.017,0.057,0.926,0.907,0.002,0.084,0.007
24,"In this process, PM USA has reallocated resources from underperforming retail program options to promotions that support maintaining Marlboro's leadership position",2-Positive,2-NIL,0.015,0.018,0.013,0.711,0.021,0.003,0.01,0.009,0.003,0.014,0.182,0.017,0.085,0.898,0.342,0.004,0.635,0.019
25,"Second, PM USA recently announced the expansion of Marlboro Black label in California and Washington state",2-Positive,0-Confident,0.01,0.011,0.005,0.835,0.062,0.007,0.006,0.006,0.003,0.005,0.049,0.044,0.188,0.768,0.687,0.002,0.303,0.008
26,"Marlboro Black label features the latest in Marlboro's packaging innovation, its exclusive soft touch technology",2-Positive,0-Confident,0.008,0.004,0.002,0.937,0.004,0.002,0.003,0.002,0.001,0.017,0.02,0.018,0.045,0.937,0.581,0.002,0.401,0.015
27,We expect these actions to help stabilize Marlboro's share while staying on strategy to maximize income,2-Positive,0-Confident,0.008,0.114,0.118,0.028,0.038,0.013,0.021,0.027,0.009,0.034,0.589,0.014,0.05,0.936,0.911,0.001,0.081,0.006
28,Look for more product news from PM USA at our Investor Day next week,1-Neutral,2-NIL,0.004,0.003,0.002,0.96,0.003,0.001,0.002,0.001,0.001,0.013,0.011,0.165,0.706,0.13,0.354,0.002,0.636,0.008
29,Moving to the smokeless product segment,1-Neutral,2-NIL,0.006,0.004,0.002,0.972,0.002,0.001,0.001,0.001,0.001,0.005,0.005,0.003,0.984,0.013,0.048,0.001,0.946,0.004
30,USSTC delivered outstanding adjusted operating company's income growth of 15.7% in the third quarter as higher net pricing and lower costs more than offset lower shipment volume,2-Positive,0-Confident,0.141,0.147,0.656,0.01,0.009,0.006,0.004,0.005,0.005,0.005,0.011,0.009,0.033,0.958,0.935,0.001,0.059,0.004
31,The smokeless product segment delivered 6.3% adjusted operating company's income growth for the first nine months of 2017.,2-Positive,0-Confident,0.026,0.022,0.003,0.939,0.003,0.001,0.001,0.001,0.001,0.001,0.003,0.008,0.037,0.954,0.938,0.001,0.056,0.004
32,Copenhagen's retail share grew 0.2% to 33.9% in the third quarter and by 0.6% for the first nine months to 33.6%,2-Positive,0-Confident,0.282,0.448,0.043,0.005,0.026,0.01,0.007,0.009,0.007,0.087,0.075,0.116,0.039,0.845,0.931,0.001,0.064,0.004
33,"On a combined basis, Copenhagen and Skoal retail share declined 1.2 share points in the third quarter and 0.9 share points for the first nine months driven by Skoal declines",2-Positive,0-Confident,0.702,0.239,0.011,0.003,0.011,0.004,0.002,0.003,0.002,0.008,0.016,0.427,0.023,0.55,0.829,0.003,0.157,0.011
34,These results reflect USSTC's continued focus on growing Copenhagen while refining its Skoal investments to enhance its profitability,2-Positive,0-Confident,0.089,0.404,0.019,0.011,0.409,0.018,0.009,0.008,0.011,0.005,0.016,0.008,0.089,0.903,0.926,0.001,0.068,0.005
35,"In e-vapor, Nu Mark grew MarkTen's third quarter volume by more than 50%, driven by expanded distribution and category growth",2-Positive,0-Confident,0.982,0.004,0.001,0.003,0.005,0.001,0.0,0.0,0.0,0.001,0.002,0.007,0.038,0.954,0.942,0.001,0.053,0.004
36,MarkTen had a third quarter national retail share of approximately 13.5% in mainstream channels,2-Positive,0-Confident,0.075,0.724,0.044,0.006,0.015,0.007,0.007,0.008,0.006,0.044,0.064,0.138,0.035,0.826,0.801,0.001,0.193,0.004
37,"And Nu Mark recently announced plans to expand the distribution of MarkTen Bold to approximately 15,000 additional stores in the fourth quarter",2-Positive,0-Confident,0.033,0.017,0.007,0.77,0.093,0.008,0.008,0.007,0.003,0.005,0.05,0.12,0.094,0.786,0.866,0.001,0.126,0.007
38,"In heated tobacco, the team at PM USA has made significant progress on its commercialization plans for IQOS, which we're excited to share with you next week at our Investor Day",2-Positive,0-Confident,0.003,0.006,0.003,0.943,0.006,0.001,0.003,0.002,0.001,0.007,0.025,0.013,0.079,0.908,0.858,0.003,0.129,0.011
39,Another focus of our Investor Day will be the regulatory environment,1-Neutral,2-NIL,0.002,0.01,0.013,0.028,0.015,0.005,0.017,0.013,0.004,0.068,0.826,0.003,0.966,0.031,0.169,0.001,0.825,0.005
40,"As everyone knows, in July, FDA announced its comprehensive plan for U.S",1-Neutral,2-NIL,0.007,0.037,0.014,0.846,0.008,0.003,0.006,0.005,0.003,0.016,0.055,0.093,0.793,0.114,0.413,0.002,0.578,0.007
41,tobacco and nicotine regulation,1-Neutral,2-NIL,0.006,0.015,0.011,0.165,0.005,0.003,0.008,0.006,0.004,0.662,0.116,0.001,0.993,0.006,0.045,0.001,0.951,0.003
42,FDA stated its belief that this approach will strike an appropriate balance between regulation and encouraging development of innovative tobacco products that may be less risky than cigarettes,1-Neutral,0-Confident,0.006,0.014,0.008,0.924,0.006,0.002,0.003,0.003,0.002,0.007,0.027,0.024,0.501,0.475,0.783,0.003,0.203,0.011
43,"We're encouraged by this important evolution in the agency's stance on innovation, having long advocated for a comprehensive regulatory policy that acknowledges the continuum of risk",1-Neutral,0-Confident,0.004,0.072,0.054,0.098,0.041,0.011,0.026,0.031,0.01,0.043,0.612,0.024,0.558,0.418,0.81,0.003,0.174,0.012
44,"We also support FDA's stated intention to issue regulations, outlining what information it expects to be included in product applications and in reports to demonstrate substantial equivalence",2-Positive,0-Confident,0.004,0.02,0.019,0.773,0.014,0.005,0.009,0.008,0.003,0.019,0.126,0.034,0.137,0.829,0.895,0.003,0.086,0.016
45,"Obviously, establishing the rules before any decisions are taken is simple regulatory fairness",1-Neutral,0-Confident,0.002,0.016,0.024,0.028,0.017,0.008,0.019,0.018,0.005,0.102,0.761,0.018,0.819,0.163,0.707,0.001,0.285,0.007
46,"And we further support Commissioner Gottlieb's direction to the Center for Tobacco Products to reconsider its approach to substantial equivalence for provisional products, a process we previously have described as increasingly onerous and expensive",2-Positive,0-Confident,0.006,0.053,0.056,0.749,0.015,0.005,0.009,0.01,0.004,0.011,0.081,0.025,0.083,0.892,0.64,0.006,0.321,0.033
47,"Finally, FDA also stated its intention to explore a product standard relating to nicotine; a possibility since the act became law in 2009, and for which PM USA has been preparing",2-Positive,0-Confident,0.004,0.011,0.006,0.936,0.005,0.002,0.003,0.003,0.001,0.007,0.022,0.035,0.221,0.745,0.795,0.005,0.17,0.03
48,"As the FDA itself acknowledged, developing such a standard will be a long and complex process requiring significant stakeholder comment and engagement, and again we'll say more about all this next week",2-Positive,0-Confident,0.006,0.053,0.027,0.679,0.02,0.006,0.011,0.012,0.005,0.021,0.159,0.047,0.358,0.595,0.717,0.008,0.219,0.057
49,"In summary, we're very pleased with our performance through what's been a challenging nine months",2-Positive,0-Confident,0.07,0.768,0.02,0.011,0.008,0.003,0.008,0.007,0.004,0.014,0.087,0.006,0.064,0.93,0.937,0.001,0.055,0.007
50,"Thus, we reaffirm our 2017 full-year guidance of 7.5% to 9.5% adjusted diluted EPS growth",2-Positive,0-Confident,0.986,0.008,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.008,0.046,0.946,0.932,0.001,0.064,0.003
51,And here's Billy for more detail on our performance,1-Neutral,2-NIL,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.956,0.034,0.004,0.929,0.067,0.269,0.001,0.727,0.004
52,Hi Chris,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.992,0.004,0.001,0.995,0.005,0.033,0.001,0.963,0.003
53,"Good questions, both",1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.001,0.991,0.009,0.044,0.001,0.952,0.003
54,"So we've discussed previously, Chris, that elasticities with respect to cigarettes and we've had big jolts before like the one that we've experienced in California",2-Positive,0-Confident,0.012,0.027,0.015,0.179,0.015,0.005,0.015,0.013,0.003,0.022,0.694,0.013,0.113,0.874,0.832,0.003,0.149,0.017
55,"And what happens is, as you know, there's an immediate disruption and you get a deep decline, and then it comes back to the curve that we've observed over the years, which is about negative 0.3.",1-Neutral,2-NIL,0.807,0.117,0.008,0.006,0.012,0.003,0.003,0.004,0.002,0.003,0.035,0.071,0.653,0.275,0.366,0.016,0.408,0.211
56,"So a lot of it depends on how big the shock is California $2 a pack, after not having had an increase for decades, really",1-Neutral,2-NIL,0.019,0.242,0.076,0.01,0.026,0.013,0.021,0.023,0.009,0.044,0.518,0.026,0.808,0.167,0.164,0.006,0.79,0.04
57,So it's coming back,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.001,0.993,0.006,0.034,0.001,0.961,0.004
58,We expect it will come back to where it is on the curve and we see some improvement there,1-Neutral,2-NIL,0.042,0.036,0.024,0.018,0.061,0.016,0.018,0.015,0.007,0.227,0.536,0.012,0.806,0.182,0.31,0.005,0.649,0.036
59,But it's going to take some time,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.001,0.99,0.009,0.042,0.001,0.953,0.004
60,It was a big shock to the system,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.001,0.992,0.007,0.043,0.001,0.952,0.004
61,"And you see that in the numbers, I think",1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.992,0.004,0.001,0.992,0.006,0.052,0.003,0.902,0.043
62,"So on Marlboro, we're very pleased actually with Marlboro's product pipeline",2-Positive,0-Confident,0.005,0.003,0.001,0.978,0.002,0.001,0.001,0.001,0.001,0.003,0.005,0.008,0.068,0.924,0.829,0.003,0.079,0.089
63,You see that what we try to do is we try to bring out SKUs to the market where we think that there's a niche where Marlboro can gain some business from competitive smokers,1-Neutral,3-Uncertain,0.774,0.066,0.005,0.045,0.062,0.004,0.006,0.005,0.003,0.002,0.029,0.137,0.714,0.149,0.063,0.012,0.03,0.894
64,"We're also, frankly, trying to create news in the marketplace about Marlboro to keep its momentum moving forward, and so we're going to talk about this next week",2-Positive,0-Confident,0.031,0.04,0.017,0.415,0.033,0.005,0.016,0.012,0.005,0.021,0.405,0.028,0.306,0.666,0.577,0.009,0.327,0.087
65,"And I mentioned, I think, Black label already in the remarks",1-Neutral,2-NIL,0.003,0.016,0.011,0.022,0.012,0.007,0.016,0.014,0.003,0.088,0.809,0.006,0.977,0.017,0.067,0.005,0.849,0.079
66,"I won't comment too specifically, Chris",1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.001,0.992,0.007,0.054,0.001,0.94,0.005
67,But I think we've called out several areas before,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.988,0.007,0.004,0.958,0.037,0.07,0.006,0.806,0.117
68,"We are building a very, very strong competitive advantage in digital marketing and we continue to invest there",2-Positive,0-Confident,0.011,0.067,0.061,0.014,0.153,0.029,0.051,0.045,0.019,0.046,0.503,0.005,0.059,0.937,0.949,0.001,0.046,0.004
69,We continue to invest in the equity behind our brands,1-Neutral,2-NIL,0.003,0.011,0.009,0.011,0.015,0.006,0.008,0.008,0.004,0.631,0.295,0.004,0.955,0.042,0.255,0.001,0.739,0.005
70,"And obviously, as the FDA has now set the new direction with respect to reduced-risk products, you have to make investments there in order to compete effectively",1-Neutral,0-Confident,0.006,0.014,0.006,0.872,0.071,0.005,0.004,0.005,0.003,0.003,0.012,0.092,0.661,0.246,0.722,0.006,0.238,0.034
71,And those are some areas that we obviously have been investing in and expect to invest further,2-Positive,0-Confident,0.028,0.025,0.034,0.02,0.427,0.025,0.027,0.021,0.012,0.033,0.349,0.095,0.44,0.465,0.76,0.002,0.23,0.009
72,Thanks for calling,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.001,0.994,0.005,0.035,0.001,0.961,0.003
73,"Hi, Vivien",1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.992,0.004,0.001,0.994,0.005,0.043,0.001,0.953,0.003
74,"I guess the only thing I'd add to that, Vivien, has been that the wholesalers have strategies around when they build their inventory in, when they decide to take their inventory down, which they're free, of course, to do",1-Neutral,2-NIL,0.004,0.015,0.021,0.04,0.035,0.009,0.019,0.017,0.004,0.024,0.811,0.227,0.638,0.135,0.299,0.013,0.526,0.161
75,So I'm glad we're going to see you next week and we are going to talk about Marlboro in some detail there,1-Neutral,2-NIL,0.008,0.016,0.009,0.034,0.009,0.004,0.011,0.007,0.003,0.272,0.627,0.01,0.858,0.131,0.259,0.005,0.69,0.046
76,"I think what we would say is you have to assess it in the context of the strategy, which is to maximize income",1-Neutral,3-Uncertain,0.006,0.085,0.087,0.054,0.025,0.009,0.02,0.022,0.007,0.042,0.644,0.008,0.953,0.039,0.089,0.016,0.11,0.785
77,"And so when we look at back at Marlboro shares, we don't decompose it down to the SKU level, despite I know there's quite a lot of interest in that; we don't do it for competitive reasons",1-Neutral,2-NIL,0.009,0.094,0.065,0.009,0.089,0.071,0.033,0.034,0.019,0.181,0.395,0.164,0.656,0.18,0.175,0.012,0.694,0.12
78,"But if we go back to Marlboro share gains, for example, during the period 2011 through 2016, we actually gained ahead of what the historical rate had been",1-Neutral,2-NIL,0.008,0.186,0.113,0.01,0.069,0.043,0.026,0.032,0.018,0.12,0.375,0.038,0.725,0.237,0.182,0.007,0.75,0.061
79,It was about 1.7 percentage points of share gain,2-Positive,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.042,0.461,0.496,0.056,0.001,0.937,0.005
80,"And you can see in the first nine months, we've given back about 0.3 share points",2-Positive,0-Confident,0.006,0.088,0.035,0.006,0.017,0.01,0.018,0.015,0.007,0.269,0.53,0.036,0.34,0.624,0.64,0.003,0.346,0.012
81,So I think the reasons are pretty straightforward,1-Neutral,2-NIL,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993,0.003,0.001,0.992,0.006,0.032,0.002,0.95,0.016
82,It is California for the reasons we just finished discussing,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.992,0.004,0.001,0.988,0.01,0.068,0.001,0.924,0.008
83,"There were all these competitive launches and then I think there is a market dynamic change, which is – because of industry consolidation, there are very few brands left, frankly, that don't have marketing support on them",1-Neutral,3-Uncertain,0.239,0.016,0.006,0.643,0.025,0.005,0.007,0.005,0.002,0.004,0.047,0.016,0.922,0.063,0.079,0.013,0.053,0.856
84,So Marlboro used to gain share by picking up some of the share from those unprotected brands as did other competitive brands – that's a market dynamic change,2-Positive,0-Confident,0.113,0.07,0.017,0.065,0.033,0.009,0.025,0.018,0.006,0.051,0.592,0.094,0.117,0.789,0.544,0.011,0.325,0.12
85,"But, overall, I think we're on strategy, particularly when you see the income performance",1-Neutral,3-Uncertain,0.036,0.706,0.136,0.008,0.021,0.009,0.006,0.009,0.007,0.007,0.054,0.01,0.933,0.058,0.103,0.012,0.112,0.773
86,So we'll talk more about the Marlboro brand family next week,1-Neutral,2-NIL,0.002,0.003,0.002,0.024,0.002,0.001,0.003,0.002,0.001,0.872,0.086,0.028,0.762,0.211,0.23,0.003,0.739,0.028
87,We just don't break it down sort of at the level that you're asking,1-Neutral,2-NIL,0.005,0.008,0.005,0.017,0.008,0.004,0.009,0.007,0.002,0.278,0.656,0.048,0.902,0.05,0.058,0.002,0.924,0.016
88,I hope you can appreciate that,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.001,0.99,0.008,0.033,0.001,0.962,0.004
89,Thanks for calling,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.001,0.994,0.005,0.035,0.001,0.961,0.003
90,0.3 share points,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.002,0.978,0.02,0.042,0.001,0.954,0.003
91,"So I think one of the principal contributors at the cost line was, remember in the year-ago comp, we had California ballot spending, Adam",1-Neutral,2-NIL,0.02,0.021,0.849,0.01,0.016,0.012,0.006,0.007,0.005,0.026,0.028,0.011,0.967,0.022,0.09,0.012,0.685,0.212
92,And that came out obviously in the comp and that was a significant delta in the year-over-year comp,1-Neutral,2-NIL,0.013,0.053,0.023,0.046,0.03,0.008,0.013,0.013,0.005,0.035,0.762,0.044,0.734,0.223,0.09,0.002,0.901,0.007
93,I would say that the competition in the smokeless side of the business is competitive,1-Neutral,2-NIL,0.041,0.077,0.027,0.02,0.032,0.006,0.039,0.027,0.008,0.08,0.642,0.044,0.853,0.103,0.171,0.007,0.766,0.056
94,We obviously are doing great with Copenhagen,2-Positive,0-Confident,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.005,0.151,0.844,0.699,0.001,0.296,0.004
95,"You know our strategy on Copenhagen and Skoal but we have a competitor that's got a brand there, and there were significant promotions in the quarter",1-Neutral,0-Confident,0.267,0.022,0.008,0.521,0.029,0.004,0.016,0.01,0.004,0.006,0.114,0.02,0.516,0.464,0.923,0.002,0.068,0.007
96,I think that accounts for it as well,1-Neutral,2-NIL,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.986,0.009,0.001,0.992,0.007,0.033,0.002,0.948,0.017
97,Thanks for your call,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.001,0.994,0.005,0.037,0.001,0.959,0.003
98,(22:23) Unknown Speaker Thank you,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.001,0.989,0.009,0.047,0.001,0.948,0.004
99,So I have a question on the competitive activity that you're seeing in combustibles,1-Neutral,0-Confident,0.018,0.02,0.011,0.18,0.012,0.003,0.021,0.013,0.004,0.036,0.681,0.007,0.897,0.096,0.651,0.006,0.267,0.076
100,"Greatly appreciate the color on the call thus far, but digging a little bit deeper in terms of the increased competitor spending",1-Neutral,2-NIL,0.081,0.085,0.109,0.027,0.071,0.016,0.036,0.03,0.01,0.018,0.517,0.047,0.841,0.113,0.155,0.004,0.821,0.02
101,Has it primarily been related to these new launches or is it behind the core flagship brands and how do you expect some of those competitive dynamics to persist over the next few quarters?,1-Neutral,2-NIL,0.29,0.03,0.011,0.19,0.126,0.014,0.031,0.02,0.007,0.01,0.271,0.038,0.783,0.179,0.22,0.008,0.71,0.062
102,"Sure, let me see if I can help you",1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.002,0.98,0.018,0.042,0.001,0.951,0.006
103,"I think the answer is, there was quite a lot of activity around new product launches",1-Neutral,3-Uncertain,0.007,0.002,0.001,0.976,0.002,0.001,0.001,0.001,0.001,0.003,0.005,0.024,0.929,0.047,0.108,0.017,0.311,0.564
104,"So we mentioned in our remarks, we've got, I think, five of them over the course of the year, which is higher than we typically see",1-Neutral,3-Uncertain,0.01,0.078,0.036,0.012,0.013,0.007,0.017,0.015,0.005,0.076,0.731,0.021,0.932,0.047,0.07,0.012,0.035,0.882
105,"It's also worth mentioning that it's just not five, there are multiple SKUs with the five, so you actually have a lot of SKUs coming into the marketplace",1-Neutral,0-Confident,0.044,0.022,0.009,0.059,0.017,0.005,0.013,0.01,0.003,0.044,0.774,0.024,0.827,0.149,0.484,0.015,0.329,0.172
106,"And as you know, in our category, because of the way we have marketing restrictions is the battle is at retail",1-Neutral,2-NIL,0.077,0.032,0.035,0.319,0.036,0.006,0.029,0.019,0.006,0.012,0.431,0.023,0.567,0.411,0.346,0.011,0.554,0.09
107,"People put promotional resources on them, including us, when we do this, to try to promote trial",1-Neutral,0-Confident,0.033,0.017,0.018,0.319,0.011,0.003,0.014,0.008,0.004,0.317,0.256,0.017,0.795,0.188,0.861,0.002,0.126,0.011
108,"And when you have smokers who are trying a new product, it puts pressure on the share leader on Marlboro",1-Neutral,0-Confident,0.004,0.003,0.002,0.976,0.002,0.001,0.001,0.001,0.001,0.003,0.007,0.013,0.768,0.219,0.565,0.004,0.404,0.027
109,"So that's our diagnosis of what's been happening; that and California, obviously",1-Neutral,2-NIL,0.007,0.038,0.012,0.056,0.013,0.006,0.012,0.013,0.004,0.052,0.787,0.022,0.756,0.222,0.133,0.001,0.858,0.008
110,And then a follow-up on MarkTen,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.992,0.004,0.001,0.99,0.009,0.044,0.001,0.952,0.004
111,"So the results were pretty positive this quarter, with volume growing more than 50%",2-Positive,0-Confident,0.948,0.038,0.002,0.001,0.002,0.001,0.001,0.001,0.0,0.003,0.004,0.03,0.042,0.928,0.787,0.001,0.204,0.007
112,So what are your expectations this year for e-vapor category growth?,2-Positive,0-Confident,0.985,0.006,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.002,0.002,0.007,0.093,0.9,0.95,0.001,0.044,0.005
113,"Clearly, it's accelerated a little bit this year versus what we've seen over the past couple of years and what are the plans behind further investment behind the MarkTen franchise?",2-Positive,0-Confident,0.027,0.01,0.02,0.011,0.819,0.029,0.011,0.009,0.008,0.017,0.04,0.052,0.446,0.503,0.621,0.009,0.289,0.082
