,text,Aspect,Sentiment,Emotion,sales,earnings,op_costs,products_services,organic_expansion,acquisitions,competition,op_risks,debt,not_applicable,NIL,Negative,Neutral,Positive,Confident,Dodgy,NIL,Uncertain
21,"North America again generated good growth in the quarter with revenue increasing 3% or 4% on a constant currency basis, while transactions grew 5%",0-sales,2-Positive,0-Confident,0.9493463,0.028866522,0.0009884804,0.00836886,0.006212098,0.00087294093,0.0017199328,0.00060381216,0.00039394043,0.0011002086,0.0015269531,0.029671013,0.014806897,0.9555221,0.962888,0.00087482645,0.033238973,0.0029983418
22,"outbound, particularly to Latin American countries, continue to be a strong grower",0-sales,2-Positive,0-Confident,0.49429044,0.06552334,0.0063146893,0.29891828,0.05382528,0.0018703847,0.011695,0.004253762,0.0015861574,0.023372369,0.03835043,0.0087176245,0.017203027,0.9740794,0.94508356,0.0015704466,0.04574405,0.0076020206
23,"to Mexico business increased, although growth trends were not as good as the very strong results we delivered in the fourth quarter",0-sales,2-Positive,0-Confident,0.95156586,0.027628465,0.00086219807,0.0061551416,0.007786322,0.00084151316,0.001763989,0.00060652825,0.00041510098,0.00096003234,0.0014149463,0.021646328,0.013588236,0.96476537,0.96463394,0.0008862494,0.03177985,0.0026999027
24,The strengthening of the Mexican peso likely contributed to a slowdown in the market growth for the quarter,0-sales,2-Positive,0-Confident,0.9317871,0.047916144,0.0010927788,0.0053216247,0.007810429,0.0012217736,0.0016765186,0.0006751226,0.0005412235,0.00065868866,0.0012987028,0.021487217,0.016138952,0.9623738,0.94037485,0.0009928118,0.053480983,0.005151342
25,"However, our Mexico business did continue to grow faster than the market based on the latest Banco de México principal and transaction data for the first quarter",0-sales,2-Positive,0-Confident,0.45251122,0.18163313,0.009232038,0.23256102,0.045430243,0.0028741944,0.009612686,0.004800571,0.001520525,0.016327506,0.043496676,0.012021985,0.023056937,0.96492106,0.88714397,0.0011534527,0.104752146,0.0069503514
26,"domestic money transfer revenue was somewhat softer, primarily due to the impact of some price decreases we implemented in parts of the market in the second half of last year",0-sales,0-Negative,2-NIL,0.92085147,0.056224395,0.001828447,0.008529171,0.0056024985,0.0007756602,0.0021696195,0.0007464066,0.00042604553,0.0009806923,0.0018655388,0.93809986,0.011858556,0.05004159,0.09558059,0.0022053786,0.87210363,0.030110313
27,"In the Europe and CIS region, revenue declined 1% or increased 4% on a constant currency basis, while transactions increased 8%",0-sales,0-Negative,2-NIL,0.942062,0.033578966,0.0011851683,0.010231308,0.005825066,0.00083198416,0.0019628743,0.0006764764,0.0003869486,0.0013971701,0.0018619964,0.96240866,0.0033845217,0.034206826,0.024033226,0.00084578263,0.96630067,0.0088202525
28,"Revenue growth in the region is consistent with the fourth quarter, while transactions benefited from growth of lower-priced transactions in Russia",0-sales,2-Positive,0-Confident,0.9569389,0.024689335,0.0008165293,0.0052113174,0.0067090364,0.000690308,0.0016297657,0.00054925133,0.00033850025,0.0009535385,0.0014734262,0.024683516,0.014574012,0.96074253,0.96244645,0.0008693987,0.033720534,0.002963598
29,"In the Middle East, Africa and South Asia region, revenue declined 13% or 10% constant currency, and transactions were down 15% as low oil prices continued to negatively affect key send markets",0-sales,0-Negative,2-NIL,0.9152734,0.055358443,0.001577422,0.012860438,0.007033044,0.001534985,0.002152612,0.0008954846,0.00059665565,0.00093340426,0.0017841203,0.98051274,0.0032495458,0.016237777,0.07706867,0.0029083143,0.89286053,0.027162507
30,The regions' results were also impacted by reduced sends from these countries into India,10-NIL,0-Negative,2-NIL,0.05854994,0.26211703,0.036731757,0.068186045,0.018546488,0.0013192423,0.023174623,0.012679229,0.0031715184,0.23055935,0.2849648,0.8829169,0.08278232,0.034300763,0.070857875,0.0036227454,0.9024623,0.023057107
31,Total inbound business to India was down just over 20% in the quarter,0-sales,0-Negative,2-NIL,0.87866604,0.052093334,0.002296072,0.023095706,0.018201089,0.0009500857,0.004261277,0.001609036,0.0007319738,0.00554638,0.012549274,0.97134125,0.016877463,0.011781223,0.020729681,0.00083320274,0.97418064,0.0042564664
32,"That compared to the 30% revenue decrease we saw in November and December following the government demonetization actions, and we did see month-by-month improvement in the trends during the quarter",0-sales,2-Positive,0-Confident,0.9571947,0.02436208,0.00089523813,0.006245051,0.004934003,0.00057819055,0.001679088,0.0005210842,0.0003124025,0.0014413489,0.0018368429,0.017688379,0.05561335,0.92669827,0.7263519,0.0070836544,0.21318707,0.053377308
33,"In the Asia-Pacific region, revenue was down 2% or 1% constant currency, while transactions decreased 2%",0-sales,0-Negative,2-NIL,0.9483542,0.031371523,0.0010739937,0.0077703423,0.0051614796,0.00085588003,0.0017734382,0.0006484849,0.00038774463,0.0010841772,0.001518613,0.98005956,0.0045273365,0.015413098,0.01741517,0.0006441054,0.9761385,0.005802328
34,Business originating in the Latin America and Caribbean region was very strong,0-sales,2-Positive,0-Confident,0.8324543,0.04747172,0.0029987893,0.04201012,0.03134701,0.0014689438,0.006473834,0.0030047367,0.0012052123,0.009294885,0.022270313,0.0074481885,0.032520138,0.9600317,0.88191146,0.0011880023,0.11036382,0.0065366933
35,"Revenue grew 26% or 25% constant currency, while transactions grew 17%, led by Argentina and several other markets",0-sales,2-Positive,0-Confident,0.949989,0.026526058,0.0010167686,0.009301803,0.0060437834,0.0008564982,0.0019777964,0.00070294895,0.00040875157,0.001396615,0.0017800619,0.019729882,0.017181778,0.96308833,0.9270359,0.0009081231,0.06698843,0.005067578
36,"A combination of strong economic performance and currencies, market reforms, previous pricing actions and marketing programs helped drive the regions growth",0-sales,2-Positive,0-Confident,0.96032137,0.019546855,0.00071081804,0.004030309,0.009785664,0.00073835644,0.0015767196,0.0005382934,0.00036279374,0.0008325187,0.0015561968,0.023702485,0.013219646,0.9630779,0.9597107,0.00093829597,0.036378473,0.002972512
37,com's C2C revenue continued its strong performance trend with revenue increasing 26% or 28% constant currency on 27% transaction growth,0-sales,2-Positive,0-Confident,0.95672303,0.017340982,0.00082047004,0.010425567,0.0062516546,0.00064270984,0.00183294,0.0005712788,0.00034107655,0.0024226129,0.002627732,0.020003809,0.013539191,0.966457,0.96270686,0.00081065064,0.033670925,0.002811469
38,"com represented 9% of total C2C revenue in the quarter, up from 7% in the first quarter of last year",0-sales,1-Neutral,2-NIL,0.92679095,0.023081232,0.0013317011,0.023556452,0.007860642,0.00077755813,0.002940355,0.00091965345,0.00045704423,0.0064205164,0.005863834,0.008300806,0.9485662,0.04313299,0.13710068,0.0014551,0.84595037,0.015493841
39,"In the Consumer-to-Business segment, revenue increased 8% or 10% on a constant currency basis",0-sales,2-Positive,0-Confident,0.9658014,0.017500049,0.0007523218,0.0050133127,0.0047029597,0.00054125907,0.0015960385,0.0005358601,0.0003175117,0.0014542084,0.001785061,0.009999771,0.060315203,0.92968506,0.5879405,0.0014816357,0.39393198,0.01664585
40,Constant currency revenue growth continued to be driven by the Argentina walk-in and U.S,0-sales,2-Positive,0-Confident,0.95119935,0.026579605,0.00095179316,0.008207227,0.0066515966,0.0008959314,0.0018157385,0.0006448501,0.00041164094,0.0011000792,0.0015422866,0.02187164,0.014874934,0.96325344,0.9619479,0.0010113867,0.033620708,0.0034199979
41,"electronic businesses, which were partially offset by declines in U.S",0-sales,0-Negative,2-NIL,0.7693101,0.11199735,0.005141675,0.05252314,0.017174108,0.001186508,0.0061353236,0.00219818,0.00076635065,0.012746361,0.020820854,0.97998613,0.005399369,0.014614539,0.040468596,0.0009670431,0.9506239,0.007940408
42,cash walk-in,9-not_applicable,1-Neutral,2-NIL,0.000258984,0.00015963806,0.00014912705,0.00044466334,0.00016985022,0.00017943044,0.00030874833,0.00016202724,0.00012189447,0.989688,0.008357679,0.0005621005,0.99585825,0.0035796608,0.009575314,0.0002795252,0.98915464,0.0009905219
43,"Business Solutions revenues declined 6% or 3% constant currency, including a negative 3 percentage point impact from the loss of XE",1-earnings,0-Negative,2-NIL,0.04865259,0.90875095,0.013109533,0.0060528065,0.006234631,0.0076028034,0.0026270926,0.0018767278,0.0026133913,0.0005721421,0.0019074623,0.9707116,0.0027941975,0.026494164,0.041203167,0.0008857085,0.94724846,0.01066269
44,com business,9-not_applicable,1-Neutral,2-NIL,0.00023123853,0.00014130637,0.00014344008,0.00041413165,0.00015091298,0.00015206658,0.0002887476,0.00015423137,0.00010953854,0.99090916,0.0073052305,0.00049875333,0.99547786,0.004023343,0.009590895,0.0005144082,0.98868537,0.0012092001
45,"Revenues were also impacted by a decline in sales of hedging products, partially due to lower FX volatility in some markets",3-products_services,0-Negative,2-NIL,0.029550595,0.016425485,0.0036439756,0.91402113,0.007879749,0.0018773435,0.0041859127,0.0020147583,0.0005886443,0.01203003,0.00778236,0.970425,0.0038430514,0.025732003,0.15702094,0.0024838333,0.8122327,0.028262524
46,"Geographically, good growth in Europe was offset by declines in North America and Asia-Pacific",0-sales,2-Positive,0-Confident,0.904341,0.06747839,0.0015472925,0.009586092,0.009040004,0.0021550718,0.0019738565,0.00086936896,0.0007828669,0.00070686615,0.0015193061,0.040779766,0.013378414,0.94584185,0.9161342,0.00098034,0.079288416,0.0035969648
47,"Turning to margins and profitability, the consolidated operating margin in the quarter was 18.4%",1-earnings,1-Neutral,2-NIL,0.002203131,0.91658133,0.04894549,0.00443494,0.002955981,0.0067139915,0.0032365283,0.0044430764,0.0065045417,0.000696258,0.003284832,0.023664037,0.66993076,0.3064052,0.24488235,0.0015974316,0.7422059,0.011314256
48,"Excluding the impact of costs related to the WU Way transformation program, adjusted operating margin was 19.5% in the quarter, which compares to 19.9% in the prior year period",2-op_costs,0-Negative,0-Confident,0.0013171573,0.08327067,0.8179567,0.007794386,0.007975896,0.02384453,0.008084379,0.018160734,0.019145291,0.0012500446,0.011200119,0.58866185,0.3513955,0.059942663,0.50887257,0.0032075585,0.4521299,0.035789914
49,"The adjusted margin decline was driven by the impact of foreign exchange and customer and funding mix in C2B, partially offset by benefits from timing of marketing spend",1-earnings,0-Negative,2-NIL,0.0024965592,0.8978301,0.06758853,0.0042097587,0.0030853788,0.005970668,0.0033617327,0.0048483955,0.0062405947,0.0005634625,0.0038047638,0.981037,0.006202299,0.012760721,0.0357037,0.0011588166,0.9563941,0.00674343
50,"Foreign exchange hedges in the quarter had a positive impact of $7 million, down from a benefit of $15 million in the first quarter of 2016.",1-earnings,0-Negative,2-NIL,0.18145496,0.7590479,0.011254138,0.014417116,0.01199944,0.001338785,0.004148167,0.0024580008,0.0011050281,0.003059119,0.009717281,0.95878744,0.020135457,0.021077095,0.10559522,0.001711978,0.8722062,0.020486578
51,We continue to expect approximately $25 million in hedge benefits for the full year compared to $48 million of benefit in 2016.,1-earnings,1-Neutral,2-NIL,0.025407346,0.38691604,0.089016914,0.20038462,0.04793059,0.0016158473,0.017355552,0.015122216,0.003231995,0.03775385,0.17526506,0.046403877,0.67149174,0.2821044,0.4449933,0.002509919,0.52054864,0.03194808
52,"In total, currency negatively impacted operating profit by approximately $15 million in the quarter compared to the first quarter of last year",1-earnings,2-Positive,2-NIL,0.0034172288,0.9500712,0.0269787,0.0028488382,0.0021902365,0.0027318452,0.0023178116,0.002570565,0.0034639095,0.0006803266,0.0027290904,0.10481688,0.15692227,0.7382608,0.06166608,0.002102869,0.920883,0.015348079
53,"Compliance expense was 3.7% of revenue for this first quarter, and we still expect to be in the higher end of the 3.5% to 4% of revenues range for the full year",2-op_costs,1-Neutral,2-NIL,0.0013468718,0.030549508,0.8778843,0.008602122,0.009017715,0.006974304,0.007479429,0.017667476,0.011889639,0.0037646177,0.024824,0.026228655,0.5193083,0.45446292,0.29822192,0.004521199,0.65295506,0.04430185
54,"We recorded $14 million of WU Way expenses in the quarter, while expected savings are weighted more towards the second half of the year",2-op_costs,2-Positive,2-NIL,0.0019143191,0.056988988,0.8402338,0.005710574,0.026416847,0.0056799133,0.0077916854,0.01644079,0.01203883,0.0022561601,0.024528125,0.011204378,0.07335502,0.9154406,0.27729914,0.0029537822,0.69045717,0.0292899
55,EBITDA margin was 23.5%,1-earnings,1-Neutral,2-NIL,0.0036833524,0.8133653,0.086208835,0.005993857,0.008911924,0.038604427,0.006891187,0.009795351,0.021051848,0.0007649842,0.004729,0.00053497544,0.9941902,0.005274797,0.07299762,0.00045139715,0.9225357,0.004015273
56,"Adjusted EBITDA margin, excluding WU Way expenses, was 24.6% compared to 25% in the prior year period",1-earnings,1-Neutral,2-NIL,0.0024890385,0.46726438,0.40524086,0.00801567,0.011268985,0.044336863,0.008929406,0.018028658,0.026018577,0.000729502,0.007677944,0.050217632,0.8676891,0.08209327,0.33106002,0.0016460109,0.64613414,0.021159908
57,The decline was due to the same factors that affected our operating margin,1-earnings,0-Negative,2-NIL,0.0025666368,0.9178367,0.05030076,0.0045624985,0.0023858645,0.0047926377,0.0031233537,0.0039481875,0.005251301,0.00089596084,0.0043360204,0.97271615,0.010625078,0.016658662,0.023564216,0.0013840384,0.97091204,0.0041397237
58,The effective tax rate in the quarter was 24.1%,9-not_applicable,1-Neutral,2-NIL,0.0012261186,0.005829973,0.001998145,0.004807967,0.0007324715,0.00043322306,0.001058491,0.00062455196,0.00029018338,0.9489967,0.034002203,0.00156571,0.983232,0.015202279,0.26175612,0.0021107374,0.6830062,0.053126886
59,"Excluding the impact of WU Way-related expenses, the adjusted tax rate was 24.8%, which compares to 14.6% in the prior-year period",2-op_costs,0-Negative,2-NIL,0.0012815743,0.075355195,0.8425616,0.007101934,0.011569731,0.008901639,0.0059795924,0.015616975,0.013610593,0.0016582076,0.01636312,0.5545915,0.4025436,0.042864908,0.41700548,0.0035986486,0.51801,0.06138583
60,"The higher tax rate in the quarter was due to the impact of changes in the internal ownership structure of certain of the company's international subsidiaries, which were implemented to help address upcoming regulatory changes in Europe",10-NIL,0-Negative,2-NIL,0.09491604,0.15645786,0.072804965,0.14456773,0.1123981,0.019536141,0.028400015,0.028963823,0.012565138,0.09558233,0.23380797,0.6367584,0.27956983,0.08367177,0.08767579,0.0021237866,0.89693826,0.013262184
61,"The first quarter negative impact is expected to be largely offset by lower taxes of a comparable amount over the remainder of the year, resulting from the structural changes",2-op_costs,0-Negative,2-NIL,0.0052978713,0.2852582,0.5618913,0.006332271,0.035841696,0.0050821695,0.011249672,0.02228309,0.014539339,0.0046310653,0.04759331,0.7784536,0.13932744,0.08221898,0.13298379,0.003821567,0.8299515,0.03324315
62,The GAAP earnings per share of $0.33 in the first quarter includes a negative $0.02 impact from the WU Way-related expenses,2-op_costs,0-Negative,2-NIL,0.0019059689,0.320327,0.58842,0.009453834,0.008561553,0.020719973,0.0073009827,0.014996336,0.018756188,0.0009972919,0.008560901,0.8597255,0.10105128,0.03922324,0.07361249,0.0029155617,0.89286494,0.03060705
63,"Excluding these expenses, adjusted earnings per share of $0.35 compares to $0.37 in the first quarter of last year with the decline primarily driven by the higher tax rate",2-op_costs,0-Negative,2-NIL,0.0019882408,0.44772747,0.47734123,0.007659385,0.0075143273,0.013100043,0.00653781,0.012355893,0.015872253,0.001058164,0.008845002,0.9743119,0.012691883,0.01299632,0.03841405,0.0012581882,0.9355476,0.024780182
64,"The C2C margin was 22.4%, which compares to 22.7% in the prior year period, has a negative impact of foreign exchange and offset by benefits from timing of marketing spend",1-earnings,2-Positive,2-NIL,0.0024898532,0.91133964,0.055632263,0.004019037,0.0032420245,0.0059335628,0.003073074,0.0043741004,0.006041214,0.00050595874,0.0033492756,0.046119876,0.270779,0.6831011,0.29267186,0.0043659015,0.666195,0.036767256
65,The Consumer-to-Business operating margin was 12.2% in the quarter compared to 14.6% in the prior year,1-earnings,1-Neutral,0-Confident,0.0022224893,0.91449046,0.053601008,0.0037384382,0.0028690728,0.0046964185,0.003114744,0.0043402244,0.0061391094,0.00077859586,0.004009369,0.027569124,0.91469264,0.057738215,0.6782741,0.002621704,0.30113405,0.017970117
66,The year-over-year margin decline was primarily due to customer and funding mix in the U.S,1-earnings,0-Negative,2-NIL,0.0028783742,0.9251435,0.044705603,0.0035858108,0.0026896223,0.004177375,0.0031089452,0.0037816612,0.005270929,0.0007598292,0.0038981745,0.98125,0.0065363776,0.012213674,0.03778544,0.0015939077,0.95193875,0.008681875
67,"electronic business, including increased credit card usage, although the margin improved substantially relative to the fourth quarter",1-earnings,2-Positive,0-Confident,0.003479653,0.9440042,0.030310648,0.0036696107,0.0022492837,0.0032444543,0.0024626055,0.00297354,0.0038171872,0.0007268397,0.0030620156,0.0097950585,0.0372977,0.9529072,0.49662346,0.0014457708,0.48666528,0.0152655635
68,Business Solutions operating profit margin was 2.5% in the quarter compared to 2.4% in the prior year period,1-earnings,1-Neutral,2-NIL,0.002498576,0.9273364,0.04380929,0.003746404,0.0026341805,0.0046216343,0.0028697555,0.003737645,0.005119824,0.00063463894,0.0029915932,0.0387581,0.65735674,0.30388513,0.2684143,0.0011439214,0.7172079,0.013233828
69,Depreciation and amortization for Business Solutions was approximately $11 million in the current quarter compared to $13 million in the prior year period,1-earnings,1-Neutral,2-NIL,0.006379175,0.68507063,0.21838027,0.0077715893,0.034765366,0.011980436,0.0055102487,0.00822576,0.012579293,0.0005928893,0.008744364,0.07773591,0.83022594,0.09203816,0.07880602,0.0010902995,0.91071916,0.009384481
70,"The Business Solutions EBITDA margin was 13.7%, which compare to 15.1% in the first quarter of 2016 with the decline primarily caused by higher technology expense",2-op_costs,0-Negative,2-NIL,0.0014852808,0.15173672,0.7485158,0.0074970196,0.009418646,0.02400558,0.008077689,0.017664699,0.020193549,0.0010128755,0.010392176,0.977207,0.010445648,0.012347365,0.03545272,0.0008863149,0.9569628,0.006698182
71,Turning to our cash flow and balance sheet in the first quarter,1-earnings,1-Neutral,2-NIL,0.005275108,0.9088131,0.04432497,0.0035632628,0.005959542,0.0014763081,0.0034885309,0.0051355143,0.0034852787,0.002373879,0.01610445,0.0017850966,0.991017,0.007197957,0.33028093,0.0012539697,0.65705043,0.01141465
72,"Cash flow from operating activities was $86 million, which includes $151 million of payments related to the settlement with the Federal and state governments announced in January, and approximately $19 million of WU Way-related payments",1-earnings,1-Neutral,2-NIL,0.02903589,0.33460394,0.11907271,0.09096096,0.11635722,0.0068578557,0.021021152,0.026610276,0.0076745474,0.03902474,0.20878078,0.05654567,0.85444343,0.089010894,0.17159848,0.0045529064,0.7892635,0.034585178
73,"Excluding these items, cash flow from operating activities was $256 million in the quarter",1-earnings,1-Neutral,2-NIL,0.101132475,0.61567587,0.0400332,0.032666568,0.036797278,0.0011632115,0.010928763,0.007379311,0.0024503816,0.03350225,0.11827069,0.022781463,0.9391534,0.038065214,0.12935206,0.0020712551,0.8591122,0.009464467
74,The remaining $440 million of legal settlement payments will be made in the second quarter,1-earnings,1-Neutral,2-NIL,0.01936264,0.43655756,0.13621438,0.026819805,0.09249233,0.004842186,0.014282944,0.022356253,0.009388949,0.035224546,0.20245844,0.023595588,0.9114969,0.06490754,0.28274366,0.0031847402,0.6947865,0.019285144
75,Capital expenditures were $26 million in the first quarter,4-organic_expansion,1-Neutral,2-NIL,0.025079329,0.08707085,0.16296098,0.010536207,0.30137846,0.0023521548,0.016324013,0.024992084,0.014381082,0.05541461,0.29951018,0.0010575716,0.9923883,0.0065540024,0.07308613,0.00039630194,0.9241574,0.002360275
76,"At the end of the quarter, we had debt of $3.5 billion and cash of $1.3 billion with approximately half of the cash held by United States entities",1-earnings,1-Neutral,2-NIL,0.01700161,0.31586784,0.13508756,0.0073049697,0.2234981,0.091217615,0.01623823,0.035400357,0.12911962,0.0011785144,0.02808561,0.028357584,0.9039148,0.0677276,0.27176893,0.0023179965,0.71228206,0.01363095
77,"During the quarter, we issued $400 million of five-year notes with a coupon of 3.6%",10-NIL,1-Neutral,0-Confident,0.07908444,0.15773281,0.033080578,0.12719698,0.048058726,0.0012513074,0.01821931,0.01650707,0.0036350344,0.1562951,0.35893854,0.010676374,0.9165307,0.0727929,0.5116186,0.0017751884,0.47367668,0.0129295895
78,"We also returned $308 million to shareholders, including $83 million in dividend and $225 million of share repurchases, which equated to approximately 11 million shares",10-NIL,1-Neutral,2-NIL,0.024020642,0.16602692,0.058419477,0.024625491,0.051114634,0.0011825702,0.015373196,0.021916647,0.005798315,0.14107741,0.4904447,0.019232035,0.9007798,0.07998822,0.08143319,0.00090943085,0.9098122,0.00784515
