,Sentences
109,"Thanks, Ivan"
110,So you're right
111,Impact definitely is a new category for us
112,It's a totally different market
113,"I think like many products that we deliver here at Garmin, they're driven by our own passions within the company"
114,So this is something we wanted to explore
115,and we thought we had some innovation we could bring to the market
116,"In terms of other categories we're exploring, I really can't give any color on that right now, but I would say that we are actively working on some new things and we should have some new things to offer in the coming year"
117,"Yeah, I think the physics are fundamentally similar"
118,"I think at this point we don't have any thoughts around that particular market, but I think the platform is something that could be extended to tennis"
119,I think you're probably talking about Connect IQ on our watch platform
120,"And so the answer is, yes"
121,"We do have monetization in our roadmap for Connect IQ, and that's something we're working with our developers on"
122,Thank you
123,"I think it's probably a combination of both, Tavis"
124,"I think definitely we've realigned our spending around fitness in terms of the opportunity there, and targeting where we see potential for growth"
125,"And then, also really kind of fixing our number around what we think is a sustainable run rate going forward"
126,"So the implied Q4 is minus 14%, which is slightly ahead of where we had started the year"
127,"Thanks, Tavis"
128,"I think for fÄ“nix, sell-in and sell-through is pretty much normalized"
129,We've spent part of Q2 and into Q3 building the channel
130,and I think at this point we feel like the channel is mostly stabilized
131,I think we definitely have all of the same doors that we've had in the past for sure
132,"In some cases, the shelf space within those doors has been expanding"
133,"For example at Best Buy, our overall shelf space has been expanding there"
134,But we're also expanding into other channels as well
135,"For instance, we're in Macy's"
136,"We're in several jewelry chains, such as Kay, Zales and Jared, we'll be in Dillard's and JCPenney as well"
137,Yeah
138,"So, in terms of market share the previous comment was around specifically ADS-B, which is one particular product category within mostly the aftermarket segment"
139,So that's where the 75% number came from
140,"In terms of OEM, our market share really depends on the product or the aircraft category"
141,"So, in the smaller piston-engine aircraft category, it's north of probably 90%, but as you move up into the various categories particularly beyond light jets then our share starts to come down"
142,Audrey Preston - Credit Suisse Securities (USA)
143,LLC
144,All right
145,And then just digging a little bit deeper on the margins as well
146,"So â€“ and on the R&D spend, could we talk a little bit about how much of that R&D spend is allocated to avionics versus say outdoors and how much would that be impacting the margins?"
147,Audrey Preston - Credit Suisse Securities (USA)
148,LLC
149,And then just digging in a little bit more into the warranties
150,How much do you see that moving forward in terms of impacting margins say in Q4 or the 2018?
151,Yeah
152,"So, we don't break out numbers by categories within segments"
153,"So, I can't really provide specific color on that"
154,"Again, only commenting generally that fÄ“nix family and particularly fÄ“nix 5 has been a significant driver of growth in outdoor"
155,"And in terms of inReach, it's a very nice incremental category for us, but probably not moving the needle the same way that fÄ“nix 5 is"
156,So Alphamantis brings additional technology to our portfolio allowing us to create new product categories within our cycling area
157,"I think as a company, they've been focused on more the technical side of the business, particularly with very technical and professional riders, but it's our goal to be able to try to bring that technology down into the mass market"
158,Could be new form factors
159,Thank you
