,Word,Lemma,POSTag,Shape
73,"
","
",_SP,"
"
74,This,this,DT,Xxxx
75,result,result,NN,xxxx
76,reflects,reflect,VBZ,xxxx
77,the,the,DT,xxx
78,impact,impact,NN,xxxx
79,of,of,IN,xx
80,a,a,DT,x
81,series,series,NN,xxxx
82,of,of,IN,xx
83,factors,factor,NNS,xxxx
84,we,-PRON-,PRP,xx
85,anticipated,anticipate,VBD,xxxx
86,in,in,IN,xx
87,Q1,Q1,NNP,Xd
88,",",",",",",","
89,as,as,RB,xx
90,well,well,RB,xxxx
91,as,as,IN,xx
92,short,short,JJ,xxxx
93,-,-,HYPH,-
94,term,term,NN,xxxx
95,headwinds,headwind,NNS,xxxx
96,that,that,WDT,xxxx
97,were,be,VBD,xxxx
98,not,not,RB,xxx
99,planned,plan,VBN,xxxx
100,"
","
",_SP,"
"
101,These,these,DT,Xxxxx
102,headwinds,headwind,NNS,xxxx
103,impacted,impact,VBD,xxxx
104,the,the,DT,xxx
105,entire,entire,JJ,xxxx
106,industry,industry,NN,xxxx
107,in,in,IN,xx
108,Q1,Q1,NNP,Xd
109,.,.,.,.
110,Letâ€,Letâ€,NNP,Xxxx€
111,™,™,CD,™
112,s,s,POS,x
113,start,start,NN,xxxx
114,with,with,IN,xxxx
115,what,what,WP,xxxx
116,we,-PRON-,PRP,xx
117,expected,expect,VBD,xxxx
118,"
","
",_SP,"
"
119,As,as,IN,Xx
120,we,-PRON-,PRP,xx
121,noted,note,VBD,xxxx
122,last,last,JJ,xxxx
123,quarter,quarter,NN,xxxx
124,",",",",",",","
125,our,-PRON-,PRP$,xxx
126,Q4,Q4,NNP,Xd
127,performance,performance,NN,xxxx
128,benefited,benefit,VBD,xxxx
129,from,from,IN,xxxx
130,two,two,CD,xxx
131,significant,significant,JJ,xxxx
132,factors,factor,NNS,xxxx
133,;,;,:,;
134,first,first,RB,xxxx
135,",",",",",",","
136,the,the,DT,xxx
137,shift,shift,NN,xxxx
138,of,of,IN,xx
139,New,New,NNP,Xxx
140,Yearâ€,Yearâ€,NNP,Xxxxx€
141,™,™,CD,™
142,s,s,POS,x
143,Day,Day,NNP,Xxx
144,into,into,IN,xxxx
145,Q1,Q1,NNP,Xd
146,",",",",",",","
147,which,which,WDT,xxxx
148,help,help,VBP,xxxx
149,Q4,Q4,NNP,Xd
150,but,but,CC,xxx
151,reduced,reduce,VBN,xxxx
152,comp,comp,NN,xxxx
153,store,store,NN,xxxx
154,sales,sale,NNS,xxxx
155,in,in,IN,xx
156,Q1,Q1,NNP,Xd
157,;,;,:,;
158,secondly,secondly,RB,xxxx
159,",",",",",",","
160,a,a,DT,x
161,substantial,substantial,JJ,xxxx
162,increase,increase,NN,xxxx
163,in,in,IN,xx
164,winter,winter,NN,xxxx
165,related,related,JJ,xxxx
166,demand,demand,NN,xxxx
167,was,be,VBD,xxx
168,pulled,pull,VBN,xxxx
169,forward,forward,RB,xxxx
170,into,into,IN,xxxx
171,December,December,NNP,Xxxxx
172,and,and,CC,xxx
173,out,out,IN,xxx
174,of,of,IN,xx
175,January,January,NNP,Xxxxx
176,"
","
",_SP,"
"
177,In,in,IN,Xx
178,particular,particular,JJ,xxxx
179,",",",",",",","
180,our,-PRON-,PRP$,xxx
181,Northern,northern,JJ,Xxxxx
182,markets,market,NNS,xxxx
183,benefited,benefit,VBD,xxxx
184,from,from,IN,xxxx
185,the,the,DT,xxx
186,cold,cold,JJ,xxxx
187,December,December,NNP,Xxxxx
188,"
","
",_SP,"
"
189,Given,give,VBN,Xxxxx
190,our,-PRON-,PRP$,xxx
191,geographic,geographic,JJ,xxxx
192,footprint,footprint,NN,xxxx
193,",",",",",",","
194,we,-PRON-,PRP,xx
195,disproportionately,disproportionately,RB,xxxx
196,benefited,benefit,VBD,xxxx
197,from,from,IN,xxxx
198,this,this,DT,xxxx
199,in,in,IN,xx
200,Q4,Q4,NNP,Xd
201,and,and,CC,xxx
202,it,-PRON-,PRP,xx
203,disproportionately,disproportionately,RB,xxxx
204,hurt,hurt,VBD,xxxx
205,us,-PRON-,PRP,xx
206,in,in,IN,xx
207,Q1,Q1,NNP,Xd
208,.,.,.,.
209,None,none,NN,Xxxx
210,of,of,IN,xx
211,this,this,DT,xxxx
212,was,be,VBD,xxx
213,a,a,DT,x
214,surprise,surprise,NN,xxxx
215,and,and,CC,xxx
216,the,the,DT,xxx
217,fact,fact,NN,xxxx
218,that,that,IN,xxxx
219,our,-PRON-,PRP$,xxx
220,comps,comp,NNS,xxxx
221,in,in,IN,xx
222,Q1,Q1,NNP,Xd
223,were,be,VBD,xxxx
224,lower,lower,RBR,xxxx
225,relative,relative,JJ,xxxx
226,to,to,IN,xx
227,Q4,Q4,NNP,Xd
228,was,be,VBD,xxx
229,consistent,consistent,JJ,xxxx
230,with,with,IN,xxxx
231,our,-PRON-,PRP$,xxx
232,2017,2017,CD,dddd
233,operating,operating,NN,xxxx
234,plan,plan,NN,xxxx
235,and,and,CC,xxx
236,consistent,consistent,JJ,xxxx
237,with,with,IN,xxxx
238,what,what,WP,xxxx
239,we,-PRON-,PRP,xx
240,said,say,VBD,xxxx
241,last,last,JJ,xxxx
242,quarter,quarter,NN,xxxx
243,when,when,WRB,xxxx
244,we,-PRON-,PRP,xx
245,reported,report,VBD,xxxx
246,comp,comp,RP,xxxx
247,sales,sale,NNS,xxxx
248,of,of,IN,xx
249,3.1,3.1,CD,d.d
250,%,%,NN,%
251,",",",",",",","
252,our,-PRON-,PRP$,xxx
253,strongest,strong,JJS,xxxx
254,performance,performance,NN,xxxx
255,in,in,IN,xx
256,the,the,DT,xxx
257,12,12,CD,dd
258,quarters,quarter,NNS,xxxx
259,post,post,VBP,xxxx
260,the,the,DT,xxx
261,GPI,GPI,NNP,XXX
262,acquisition,acquisition,NN,xxxx
263,"
","
",_SP,"
"
264,Weâ€,weâ€,NN,Xxx€
265,™,™,CD,™
266,ve,ve,NNP,xx
267,been,be,VBN,xxxx
268,looking,look,VBG,xxxx
269,at,at,IN,xx
270,our,-PRON-,PRP$,xxx
271,across,across,IN,xxxx
272,business,business,NN,xxxx
273,across,across,IN,xxxx
274,Q4,Q4,NNP,Xd
275,and,and,CC,xxx
276,Q1,Q1,NNP,Xd
277,combined,combine,VBD,xxxx
278,for,for,IN,xxx
279,several,several,JJ,xxxx
280,months,month,NNS,xxxx
281,now,now,RB,xxx
282,"
","
",_SP,"
"
283,This,this,DT,Xxxx
284,provides,provide,VBZ,xxxx
285,a,a,DT,x
286,normalized,normalized,JJ,xxxx
287,picture,picture,NN,xxxx
288,of,of,IN,xx
289,sequential,sequential,JJ,xxxx
290,sales,sale,NNS,xxxx
291,improvement,improvement,NN,xxxx
292,"
","
",_SP,"
"
293,For,for,IN,Xxx
294,the,the,DT,xxx
295,28-week,28-week,CD,dd-xxxx
296,period,period,NN,xxxx
297,",",",",",",","
298,we,-PRON-,PRP,xx
299,delivered,deliver,VBD,xxxx
300,positive,positive,JJ,xxxx
301,sequential,sequential,JJ,xxxx
302,improvement,improvement,NN,xxxx
303,in,in,IN,xx
304,our,-PRON-,PRP$,xxx
305,comp,comp,JJ,xxxx
306,sales,sale,NNS,xxxx
307,performance,performance,NN,xxxx
308,"
","
",_SP,"
"
309,The,the,DT,Xxx
310,combined,combine,VBN,xxxx
311,comp,comp,NN,xxxx
312,for,for,IN,xxx
313,Q4,Q4,NNP,Xd
314,and,and,CC,xxx
315,Q1,Q1,NNP,Xd
316,of,of,IN,xx
317,down,down,RB,xxxx
318,0.3,0.3,CD,d.d
319,%,%,NN,%
320,was,be,VBD,xxx
321,approximately,approximately,RB,xxxx
322,70,70,CD,dd
323,basis,basis,NN,xxxx
324,point,point,NN,xxxx
325,improvement,improvement,NN,xxxx
326,versus,versus,IN,xxxx
327,the,the,DT,xxx
328,comp,comp,NN,xxxx
329,in,in,IN,xx
330,Q3,Q3,NNP,Xd
331,2016,2016,CD,dddd
332,.,.,.,.
333,The,the,DT,Xxx
334,sequential,sequential,JJ,xxxx
335,improvement,improvement,NN,xxxx
336,weâ€,weâ€,NN,xxx€
337,™,™,CD,™
338,ve,ve,NNP,xx
339,delivered,deliver,VBN,xxxx
340,in,in,IN,xx
341,recent,recent,JJ,xxxx
342,quarters,quarter,NNS,xxxx
343,demonstrates,demonstrate,VBZ,xxxx
344,weâ€,weâ€,NNP,xxx€
345,™,™,CD,™
346,re,re,NN,xx
347,making,make,VBG,xxxx
348,real,real,JJ,xxxx
349,progress,progress,NN,xxxx
350,"
","
",_SP,"
"
351,At,at,IN,Xx
352,the,the,DT,xxx
353,same,same,JJ,xxxx
354,time,time,NN,xxxx
355,",",",",",",","
356,weâ€,weâ€,NNP,xxx€
357,™,™,CD,™
358,re,re,VBZ,xx
359,not,not,RB,xxx
360,immune,immune,JJ,xxxx
361,to,to,IN,xx
362,the,the,DT,xxx
363,macro,macro,JJ,xxxx
364,headwinds,headwind,NNS,xxxx
365,within,within,IN,xxxx
366,the,the,DT,xxx
367,industry,industry,NN,xxxx
368,",",",",",",","
369,which,which,WDT,xxxx
370,resulted,result,VBD,xxxx
371,in,in,IN,xx
372,unexpected,unexpected,JJ,xxxx
373,substantially,substantially,RB,xxxx
374,softer,soft,JJR,xxxx
375,consumer,consumer,NN,xxxx
376,demand,demand,NN,xxxx
377,in,in,IN,xx
378,the,the,DT,xxx
379,middle,middle,NN,xxxx
380,of,of,IN,xx
381,Q1,Q1,NNP,Xd
382,as,as,IN,xx
383,reflected,reflect,VBN,xxxx
384,in,in,IN,xx
385,the,the,DT,xxx
386,publicly,publicly,RB,xxxx
387,available,available,JJ,xxxx
388,data,datum,NNS,xxxx
389,"
","
",_SP,"
"
390,This,this,DT,Xxxx
391,timeframe,timeframe,NN,xxxx
392,was,be,VBD,xxx
393,worse,bad,JJR,xxxx
394,than,than,IN,xxxx
395,expected,expect,VBN,xxxx
396,and,and,CC,xxx
397,resulted,result,VBN,xxxx
398,in,in,IN,xx
399,a,a,DT,x
400,slow,slow,JJ,xxxx
401,start,start,NN,xxxx
402,to,to,IN,xx
403,the,the,DT,xxx
404,spring,spring,NN,xxxx
405,selling,sell,VBG,xxxx
406,season,season,NN,xxxx
407,"
","
",_SP,"
"
408,That,that,DT,Xxxx
409,said,say,VBD,xxxx
410,",",",",",",","
411,these,these,DT,xxxx
412,short,short,JJ,xxxx
413,-,-,HYPH,-
414,term,term,NN,xxxx
415,variables,variable,NNS,xxxx
416,tend,tend,VBP,xxxx
417,to,to,TO,xx
418,smooth,smooth,VB,xxxx
419,themselves,-PRON-,PRP,xxxx
420,overtime,overtime,NN,xxxx
421,and,and,CC,xxx
422,while,while,IN,xxxx
423,we,-PRON-,PRP,xx
424,need,need,VBP,xxxx
425,to,to,TO,xx
426,manage,manage,VB,xxxx
427,them,-PRON-,PRP,xxxx
428,as,as,IN,xx
429,part,part,NN,xxxx
430,of,of,IN,xx
431,our,-PRON-,PRP$,xxx
432,day,day,NN,xxx
433,-,-,HYPH,-
434,to,to,IN,xx
435,-,-,HYPH,-
436,day,day,NN,xxx
437,operations,operation,NNS,xxxx
438,",",",",",",","
439,they,-PRON-,PRP,xxxx
440,donâ€,donâ€,VBP,xxxx€
441,™,™,CD,™
442,t,t,NN,x
443,change,change,NN,xxxx
444,how,how,WRB,xxx
445,weâ€,weâ€,NNP,xxx€
446,™,™,CD,™
447,re,re,NN,xx
448,transforming,transform,VBG,xxxx
449,the,the,DT,xxx
450,business,business,NN,xxxx
451,and,and,CC,xxx
452,how,how,WRB,xxx
453,we,-PRON-,PRP,xx
454,think,think,VBP,xxxx
455,about,about,IN,xxxx
456,long,long,JJ,xxxx
457,-,-,HYPH,-
458,term,term,NN,xxxx
459,growth,growth,NN,xxxx
460,"
","
",_SP,"
"
461,The,the,DT,Xxx
462,beginning,beginning,NN,xxxx
463,of,of,IN,xx
464,the,the,DT,xxx
465,quarter,quarter,NN,xxxx
466,was,be,VBD,xxx
467,in,in,IN,xx
468,line,line,NN,xxxx
469,with,with,IN,xxxx
470,our,-PRON-,PRP$,xxx
471,expectations,expectation,NNS,xxxx
472,",",",",",",","
473,as,as,IN,xx
474,was,be,VBD,xxx
475,the,the,DT,xxx
476,end,end,NN,xxx
477,of,of,IN,xx
478,the,the,DT,xxx
479,quarter,quarter,NN,xxxx
480,"
","
",_SP,"
"
481,We,-PRON-,PRP,Xx
482,along,along,RB,xxxx
483,with,with,IN,xxxx
484,the,the,DT,xxx
485,rest,rest,NN,xxxx
486,of,of,IN,xx
487,the,the,DT,xxx
488,industry,industry,NN,xxxx
489,experienced,experience,VBD,xxxx
490,softness,softness,NN,xxxx
491,in,in,IN,xx
492,February,February,NNP,Xxxxx
493,and,and,CC,xxx
494,March,March,NNP,Xxxxx
495,"
","
",_SP,"
"
496,The,the,DT,Xxx
497,good,good,JJ,xxxx
498,news,news,NN,xxxx
499,is,be,VBZ,xx
500,we,-PRON-,PRP,xx
501,closed,close,VBD,xxxx
502,Q1,Q1,NNP,Xd
503,with,with,IN,xxxx
504,stronger,strong,JJR,xxxx
505,performance,performance,NN,xxxx
506,and,and,CC,xxx
507,this,this,DT,xxxx
508,is,be,VBZ,xx
509,carried,carry,VBN,xxxx
510,into,into,IN,xxxx
511,Q2,Q2,NNP,Xd
512,.,.,.,.
513,As,as,IN,Xx
514,a,a,DT,x
515,result,result,NN,xxxx
516,",",",",",",","
517,we,-PRON-,PRP,xx
518,expect,expect,VBP,xxxx
519,sequential,sequential,JJ,xxxx
520,improvement,improvement,NN,xxxx
521,in,in,IN,xx
522,our,-PRON-,PRP$,xxx
523,top,top,JJ,xxx
524,-,-,HYPH,-
525,line,line,NN,xxxx
526,growth,growth,NN,xxxx
527,once,once,RB,xxxx
528,again,again,RB,xxxx
529,in,in,IN,xx
530,Q2,Q2,NNP,Xd
531,as,as,IN,xx
532,compared,compare,VBN,xxxx
533,with,with,IN,xxxx
534,our,-PRON-,PRP$,xxx
535,Q4,Q4,NNP,Xd
536,",",",",",",","
537,Q1,Q1,NNP,Xd
538,combined,combine,VBD,xxxx
539,number,number,NN,xxxx
540,of,of,IN,xx
541,down,down,RB,xxxx
542,0.3,0.3,CD,d.d
543,%,%,NN,%
544,"
","
",_SP,"
"
545,So,so,RB,Xx
546,to,to,TO,xx
547,reinforce,reinforce,VB,xxxx
548,the,the,DT,xxx
549,key,key,JJ,xxx
550,points,point,NNS,xxxx
551,surrounding,surround,VBG,xxxx
552,our,-PRON-,PRP$,xxx
553,top,top,JJ,xxx
554,-,-,HYPH,-
555,line,line,NN,xxxx
556,performance,performance,NN,xxxx
557,",",",",",",","
558,weâ€,weâ€,NNP,xxx€
559,™,™,CD,™
560,re,re,IN,xx
561,viewing,view,VBG,xxxx
562,Q4,Q4,NNP,Xd
563,and,and,CC,xxx
564,Q1,Q1,NNP,Xd
565,as,as,IN,xx
566,one,one,CD,xxx
567,combined,combine,VBN,xxxx
568,timeframe,timeframe,NN,xxxx
569,in,in,IN,xx
570,our,-PRON-,PRP$,xxx
571,transformation,transformation,NN,xxxx
572,"
","
",_SP,"
"
573,Q3,Q3,NNP,Xd
574,last,last,JJ,xxxx
575,year,year,NN,xxxx
576,had,have,VBD,xxx
577,comps,comp,NNS,xxxx
578,to,to,IN,xx
579,down,down,IN,xxxx
580,1,1,CD,d
581,%,%,NN,%
582,and,and,CC,xxx
583,Q4,Q4,NNP,Xd
584,and,and,CC,xxx
585,Q1,Q1,NNP,Xd
586,combined,combine,VBD,xxxx
587,had,have,VBD,xxx
588,comps,comp,NNS,xxxx
589,of,of,IN,xx
590,down,down,RB,xxxx
591,0.3,0.3,CD,d.d
592,%,%,NN,%
593,"
","
",_SP,"
"
594,While,while,IN,Xxxxx
595,this,this,DT,xxxx
596,was,be,VBD,xxx
597,less,less,JJR,xxxx
598,than,than,IN,xxxx
599,we,-PRON-,PRP,xx
600,planned,plan,VBD,xxxx
601,",",",",",",","
602,it,-PRON-,PRP,xx
603,represented,represent,VBD,xxxx
604,sequential,sequential,JJ,xxxx
605,improvement,improvement,NN,xxxx
606,and,and,CC,xxx
607,we,-PRON-,PRP,xx
608,expect,expect,VBP,xxxx
609,to,to,TO,xx
610,deliver,deliver,VB,xxxx
611,sequential,sequential,JJ,xxxx
612,improvement,improvement,NN,xxxx
613,again,again,RB,xxxx
614,in,in,IN,xx
615,Q2,Q2,NNP,Xd
616,.,.,.,.
617,Our,-PRON-,PRP$,Xxx
618,steadily,steadily,RB,xxxx
619,improving,improve,VBG,xxxx
620,sales,sale,NNS,xxxx
621,performance,performance,NN,xxxx
622,reflects,reflect,VBZ,xxxx
623,the,the,DT,xxx
624,impact,impact,NN,xxxx
625,of,of,IN,xx
626,decisive,decisive,JJ,xxxx
627,and,and,CC,xxx
628,consistent,consistent,JJ,xxxx
629,actions,action,NNS,xxxx
630,weâ€,weâ€,NNP,xxx€
631,™,™,CD,™
632,ve,ve,NNP,xx
633,taken,take,VBN,xxxx
634,across,across,RP,xxxx
635,three,three,CD,xxxx
636,areas,area,NNS,xxxx
637,of,of,IN,xx
638,focus,focus,NN,xxxx
639,",",",",",",","
640,giving,give,VBG,xxxx
641,us,-PRON-,PRP,xx
642,confidence,confidence,NN,xxxx
643,going,go,VBG,xxxx
644,forward,forward,RB,xxxx
645,;,;,:,;
646,first,first,RB,xxxx
647,",",",",",",","
648,our,-PRON-,PRP$,xxx
649,priority,priority,NN,xxxx
650,to,to,TO,xx
651,put,put,VB,xxx
652,the,the,DT,xxx
653,customer,customer,NN,xxxx
654,first,first,RB,xxxx
655,is,be,VBZ,xx
656,permeating,permeate,VBG,xxxx
657,the,the,DT,xxx
658,organization,organization,NN,xxxx
659,"
","
",_SP,"
"
660,It,-PRON-,PRP,Xx
661,has,have,VBZ,xxx
662,been,be,VBN,xxxx
663,and,and,CC,xxx
664,will,will,MD,xxxx
665,continue,continue,VB,xxxx
666,to,to,TO,xx
667,be,be,VB,xx
668,the,the,DT,xxx
669,key,key,JJ,xxx
670,driver,driver,NN,xxxx
671,for,for,IN,xxx
672,consistent,consistent,JJ,xxxx
673,top,top,JJ,xxx
674,-,-,HYPH,-
675,line,line,NN,xxxx
676,growth,growth,NN,xxxx
677,"
","
",_SP,"
"
678,Second,second,JJ,Xxxxx
679,",",",",",",","
680,our,-PRON-,PRP$,xxx
681,sustain,sustain,NN,xxxx
682,investments,investment,NNS,xxxx
683,and,and,CC,xxx
684,availability,availability,NN,xxxx
685,",",",",",",","
686,customer,customer,NN,xxxx
687,service,service,NN,xxxx
688,and,and,CC,xxx
689,our,-PRON-,PRP$,xxx
690,front,front,JJ,xxxx
691,-,-,HYPH,-
692,line,line,NN,xxxx
693,is,be,VBZ,xx
694,strengthening,strengthen,VBG,xxxx
695,execution,execution,NN,xxxx
696,and,and,CC,xxx
697,engagement,engagement,NN,xxxx
698,"
","
",_SP,"
"
699,And,and,CC,Xxx
700,third,third,RB,xxxx
701,",",",",",",","
702,better,well,JJR,xxxx
703,execution,execution,NN,xxxx
704,throughout,throughout,IN,xxxx
705,our,-PRON-,PRP$,xxx
706,supply,supply,NN,xxxx
707,chain,chain,NN,xxxx
708,is,be,VBZ,xx
709,driving,drive,VBG,xxxx
710,increased,increase,VBN,xxxx
711,fill,fill,NN,xxxx
712,rates,rate,NNS,xxxx
713,",",",",",",","
714,higher,high,JJR,xxxx
715,in,in,IN,xx
716,-,-,HYPH,-
717,stocks,stock,NNS,xxxx
718,and,and,CC,xxx
719,reduced,reduce,VBN,xxxx
720,order,order,NN,xxxx
721,to,to,IN,xx
722,delivery,delivery,NN,xxxx
723,time,time,NN,xxxx
724,"
","
",_SP,"
"
725,Together,together,RB,Xxxxx
726,",",",",",",","
727,this,this,DT,xxxx
728,is,be,VBZ,xx
729,resulting,result,VBG,xxxx
730,in,in,IN,xx
731,a,a,DT,x
732,better,well,JJR,xxxx
733,experience,experience,NN,xxxx
734,for,for,IN,xxx
735,customers,customer,NNS,xxxx
736,in,in,IN,xx
737,both,both,DT,xxxx
738,Professional,Professional,NNP,Xxxxx
739,and,and,CC,xxx
740,DIY,DIY,NNP,XXX
741,"
","
",_SP,"
"
742,Turning,turn,VBG,Xxxxx
743,to,to,IN,xx
744,operating,operating,NN,xxxx
745,income,income,NN,xxxx
746,",",",",",",","
747,weâ€,weâ€,NNP,xxx€
748,™,™,CD,™
749,ve,ve,NNP,xx
750,been,be,VBN,xxxx
751,clear,clear,JJ,xxxx
752,"
","
",_SP,"
"
753,Our,-PRON-,PRP$,Xxx
754,turnaround,turnaround,NN,xxxx
755,wonâ€,wonâ€,$,xxxx€
756,™,™,CD,™
757,t,t,NN,x
758,be,be,VB,xx
759,linear,linear,JJ,xxxx
760,"
","
",_SP,"
"
761,Itâ€,itâ€,IN,Xxx€
762,™,™,CD,™
763,s,s,NN,x
764,important,important,JJ,xxxx
765,to,to,TO,xx
766,note,note,VB,xxxx
767,that,that,IN,xxxx
768,while,while,IN,xxxx
769,weâ€,weâ€,NNP,xxx€
770,™,™,CD,™
771,re,re,IN,xx
772,not,not,RB,xxx
773,managing,manage,VBG,xxxx
774,our,-PRON-,PRP$,xxx
775,business,business,NN,xxxx
776,quarter,quarter,NN,xxxx
777,-,-,HYPH,-
778,to,to,IN,xx
779,-,-,HYPH,-
780,quarter,quarter,NN,xxxx
781,",",",",",",","
782,our,-PRON-,PRP$,xxx
783,Q1,Q1,NNP,Xd
784,operating,operate,VBG,xxxx
785,income,income,NN,xxxx
786,results,result,NNS,xxxx
787,were,be,VBD,xxxx
788,generally,generally,RB,xxxx
789,in,in,IN,xx
790,line,line,NN,xxxx
791,with,with,IN,xxxx
792,internal,internal,JJ,xxxx
793,expectations,expectation,NNS,xxxx
794,at,at,IN,xx
795,the,the,DT,xxx
796,beginning,beginning,NN,xxxx
797,and,and,CC,xxx
798,end,end,NN,xxx
799,of,of,IN,xx
800,the,the,DT,xxx
801,quarter,quarter,NN,xxxx
802,with,with,IN,xxxx
803,the,the,DT,xxx
804,notable,notable,JJ,xxxx
805,exception,exception,NN,xxxx
806,of,of,IN,xx
807,larger,large,JJR,xxxx
808,than,than,IN,xxxx
809,anticipated,anticipate,VBN,xxxx
810,sales,sale,NNS,xxxx
811,softness,softness,NN,xxxx
812,in,in,IN,xx
813,February,February,NNP,Xxxxx
814,and,and,CC,xxx
815,March,March,NNP,Xxxxx
816,"
","
",_SP,"
"
817,As,as,IN,Xx
818,in,in,IN,xx
819,the,the,DT,xxx
820,past,past,JJ,xxxx
821,several,several,JJ,xxxx
822,quarters,quarter,NNS,xxxx
823,",",",",",",","
824,our,-PRON-,PRP$,xxx
825,operating,operating,NN,xxxx
826,profit,profit,NN,xxxx
827,performance,performance,NN,xxxx
828,reflects,reflect,VBZ,xxxx
829,deliberate,deliberate,JJ,xxxx
830,choices,choice,NNS,xxxx
831,to,to,TO,xx
832,invest,invest,VB,xxxx
833,in,in,IN,xx
834,our,-PRON-,PRP$,xxx
835,business,business,NN,xxxx
836,and,and,CC,xxx
837,specifically,specifically,RB,xxxx
838,in,in,IN,xx
839,the,the,DT,xxx
840,customer,customer,NN,xxxx
841,to,to,TO,xx
842,position,position,VB,xxxx
843,AAP,AAP,NNP,XXX
844,for,for,IN,xxx
845,the,the,DT,xxx
846,long,long,JJ,xxxx
847,-,-,HYPH,-
848,term,term,NN,xxxx
849,"
","
",_SP,"
"
850,When,when,WRB,Xxxx
851,sales,sale,NNS,xxxx
852,slowed,slow,VBD,xxxx
853,down,down,RP,xxxx
854,in,in,IN,xx
855,the,the,DT,xxx
856,middle,middle,NN,xxxx
857,of,of,IN,xx
858,Q1,Q1,NNP,Xd
859,",",",",",",","
860,we,-PRON-,PRP,xx
861,could,could,MD,xxxx
862,have,have,VB,xxxx
863,made,make,VBN,xxxx
864,a,a,DT,x
865,short,short,JJ,xxxx
866,-,-,HYPH,-
867,term,term,NN,xxxx
868,decision,decision,NN,xxxx
869,to,to,TO,xx
870,pull,pull,VB,xxxx
871,back,back,RB,xxxx
872,on,on,IN,xx
873,customer,customer,NN,xxxx
874,service,service,NN,xxxx
875,"
","
",_SP,"
"
876,But,but,CC,Xxx
877,in,in,IN,xx
878,fact,fact,NN,xxxx
879,",",",",",",","
880,we,-PRON-,PRP,xx
881,made,make,VBD,xxxx
882,a,a,DT,x
883,deliberate,deliberate,JJ,xxxx
884,decision,decision,NN,xxxx
885,to,to,TO,xx
886,sustain,sustain,VB,xxxx
887,investment,investment,NN,xxxx
888,"
","
",_SP,"
"
889,At,at,IN,Xx
890,times,time,NNS,xxxx
891,",",",",",",","
892,we,-PRON-,PRP,xx
893,know,know,VBP,xxxx
894,the,the,DT,xxx
895,difficult,difficult,JJ,xxxx
896,choices,choice,NNS,xxxx
897,need,need,VBP,xxxx
898,to,to,TO,xx
899,remain,remain,VB,xxxx
900,to,to,TO,xx
901,fully,fully,RB,xxxx
902,capitalize,capitalize,VB,xxxx
903,on,on,IN,xx
904,the,the,DT,xxx
905,significant,significant,JJ,xxxx
906,opportunity,opportunity,NN,xxxx
907,we,-PRON-,PRP,xx
908,have,have,VBP,xxxx
909,to,to,TO,xx
910,drive,drive,VB,xxxx
911,growth,growth,NN,xxxx
912,and,and,CC,xxx
913,margins,margin,NNS,xxxx
914,over,over,IN,xxxx
915,the,the,DT,xxx
916,long,long,JJ,xxxx
917,-,-,HYPH,-
918,term,term,NN,xxxx
919,"
","
",_SP,"
"
920,Given,give,VBN,Xxxxx
921,the,the,DT,xxx
922,early,early,JJ,xxxx
923,stage,stage,NN,xxxx
924,of,of,IN,xx
