,Sentences
48,"As a reminder, adjusting for the week shift, the fourth quarter is cycling prior-year positive 3.8% comparable store sales results"
49,"We expect deflation in the fourth quarter, and the full year to be approximately 30 basis points"
50,"With respect to gross margin, we will continue to use our price management tools to drive both sales and margin while remaining focused on our goal of growing market share"
51,"We expect headwinds from both product mix and transportation costs in the fourth quarter, and therefore, we are targeting gross margin to be flat to slightly down in the fourth quarter in comparison to prior year"
52,"With respect to SG&A, including depreciation and amortization, we will continue to drive operating efficiencies to offset incremental investments in key strategic initiatives"
53,"For the fourth quarter, we anticipate SG&A deleverage of approximately 80 to 100 basis points"
54,"Factors to consider are: first, we expect to continue to invest payroll in our stores, distribution centers, and customer solution center to drive strong customer-service levels"
55,"This investment reflects incremental hours and, to a lesser extent, higher average wage rates compared to prior year"
56,We're also cycling favorable medical and worker's compensation-related costs in the prior year
57,"Depreciation expense is expected to grow 11% to 12% over the prior year, resulting from our key strategic investments in technology and supply chain enhancements"
58,"Additionally, we are cycling the prior year 53rd week, which benefited last year's fourth quarter expense leverage"
59,"We will of course provide our initial outlook for 2018 on our year-end conference call, but in keeping with our past practices, let me provide you with some considerations for your modeling into next year"
60,We expect to finish the construction of our New York distribution center in Q3 2018 and begin servicing stores in late fourth quarter
61,"We are forecasting that related pre-opening expenses and incremental operating expenses for this distribution center to increase SG&A on a year-over-year basis, impacting earnings per share by approximately $0.03 to $0.04, with most of the impact in the second half of the year"
62,"Also, should we achieve our targeted results in 2018, higher incentive compensation could raise SG&A and impact earnings by $0.06 to $0.08."
63,"We expect some moderate impact from higher-wage inflation at both the stores and distribution centers due to pressures from both state regulations, as well as competition"
64,"Additionally, we anticipate continued headwind from freight expense due to growth in C"
65,"and other more freight-intensive products, higher average transportation costs and growth in our online business"
66,"Over the past two years, we have invested in several key initiatives to position the company for long-term growth"
67,We have managed the business and related investment spending to absorb these costs in our financial model while delivering solid bottom-line growth
68,"Therefore, as we continue to invest in long term growth of the company, our goal is to execute these incremental investments while managing the financial impact to enable us to deliver earnings growth"
69,That concludes our prepared remarks
70,"Operator, we will now turn the call over for questions"
71,Question-and-Answer Session
72,"Yeah, David, this is Kurt, and good question"
73,On the transportation side what we're seeing are a number of factors
74,The growth in C
75,"continues to have pressure on the transportation freight expense as those items, bulkier, heavier commodity items have a higher freight rate to them"
76,"Additionally, we certainly were able to capitalize on opportunities to sell certain items that are bulkier and big product that have a larger freight charge to them"
77,That was part of the third quarter
78,That is a little bit more specific to third and perhaps fourth quarter
79,"I will tell you that what we're seeing in addition to that is on the oil pricing and the cost of fuel, we saw an increase in the third quarter, and in the fourth quarter we expect to have higher average fuel costs"
80,"And then lastly, both domestically and internationally we are seeing increases in transportation costs, and those items we expect to carry into next year"
81,"And I mentioned this briefly on the last call, too"
82,"When we look ahead to 2018, first I'd say with fourth quarter still ahead of us, and right now we're heavily into building the budget and the forecast for 2018, I can't necessarily get into too much detail"
83,"But I'd tell you that when we look at 2018 on the gross margin side, we do see the expectation that freight headwinds to continue into 2018."
84,"As we said before, 2018 will continue to be a year we invest in our long-term growth initiatives"
85,"So for the items that I mentioned earlier in my prepared remarks, I believe there's SG&A headwinds, as I mentioned"
86,"And I would say at this point, we would expect to see operating margin for next year"
87,have somewhat of a slight decline
88,A little bit early to say
89,We'll have more information as we end Q4.
90,"At this point, looking out, I can probably just tell you that we're somewhat realistic and cautious on operating margin and would expect to see some slight decline"
91,"Yeah, it's a good question"
92,"On the fourth quarter, I'd say the couple of assumptions are that we do see strength in the core of the business"
93,And that's a key part of our assumption
94,The fourth quarter is a quarter where weather can heavily impact the performance of it
95,"So, the assumed guidance range assumes somewhat of a normal fourth quarter, and expecting continued strength in our C"
96,product
97,Any favorable weather or change in weather that's unfavorable could heavily impact the performance of the top-line sales
98,"Yeah, this is Kurt, and the best I can tell you"
99,"is that, as we mentioned, the strongest month of the quarter was July, and that's where we saw the extended summer-selling season"
100,And I don't have specifics on exactly the impact to the overall top line
101,I would tell you that it was beneficial to July
102,and it was not a strong significant impact to the overall comps
103,It was probably somewhere around 100 basis points to something less than that
104,"Yeah, Chris, this is Kurt"
105,"I'd tell you, as I was preparing items to mention for 2018, I specifically brought up things that I believe may not be in the models or may not be factored in"
106,"Items that have changed in 2017 that we believe will carry into 2018, such as transportation costs, such as some of the labor headwinds, and gave you some color on the distribution center"
107,"So, I would tell you that bringing those up, it's because I anticipate those may not be factored into 2018's guidance"
108,"Well, Chris, I think the one thing I'd tell you is that we don't give guidance on the quarter"
109,And so the beat to the Street versus our internal expectations may be different
110,And I would tell you that the one thing in the quarter that was the primary item not expected was the $0.02 beat related to the hurricane
111,"Sure, Seth"
112,"I'd tell you that, as I mentioned, the big ticket sales were boosted by generator sales and other big ticket items from the hurricanes and were above chain average"
113,"When you exclude the impact of the hurricanes, big ticket had positive comps, but was slightly below the chain average"
114,"Yeah, Scott, this is Kurt"
115,It's a good question and we look at both of those capital allocation investment items
116,New stores certainly are a key to Tractor Supply's overall growth strategy
117,They provide a good return on the investment
118,"But today, what you're hearing and where we're focused on is not only growing the stores for continued top-line growth, but we're also focused on the things that we need to do and are part of our strategy for long-term growth"
119,"And so at this point, the 100 stores as part of our long-term growth strategy, we continue to evaluate that annually"
120,And we do look at the e-commerce side of it
121,"When I say e-commerce, I believe Steve and I would agree on this in that we refer to it more as the digital"
122,Because it's an omni-channel investment
123,And so many of the sales can begin online
124,"As Greg mentioned, the number of new or unique visitors to the website, how many are starting through a mobile device"
125,"So when we speak about e-commerce online investment, it's about the overall growth for Tractor Supply, both online and in the stores"
126,"So to get to the answer to your question, I would say that we're focused on challenging both store growth and the other digital investments, and we continue to analyze that"
127,That could lead us to a number of store growth that is below 100 if we believe we need to manage both the capital and the SG&A burden of our investments
128,And we balance both of those out for the long term
129,"Yeah, it's a good question"
130,I would say we've been on an increasing capital growth rate for omni-channel digital investment
131,We'll be near $65 million to $70 million investment this year
132,That number will grow next year
133,It may begin to stabilize on the investment specific to IT and digital at about $70 million or $80 million
134,"But as a percentage, yeah, that's a bigger percentage"
135,"And it is a good analysis to say we'll evaluate both store capital investment along with the IT investment, and the IT investment may continue to bring a bigger percentage"
136,And we have looked at 2017 and 2018 as investment years
137,"So I would say it is a good way to describe 2018 continuing to have investment for the long term, and we're excited about the momentum we're seeing and some of those initiatives taking hold as part of the top-line sales growth"
138,"The only thing I'll add to that is our long-term strategy or targets have not changed, and we're not saying that they have changed"
139,"At the Investment Community Day, we emphasized the long-term growth plan, particularly, as you mentioned, operating margin growth, 15, 20 basis point improvement"
140,"We said and knew that 2017 would not be in line with those long-term growth strategies, and we said the long-term growth is three to five years"
141,"And as 2017 has played out, additional pressures and costs on transportation, payroll investments, has perhaps changed a little bit of the level of performance that we foresee for 2018, but we still see realistic long-term targets for Tractor Supply to be able to drive the top line, as well as the operating margin growth rate in the long term"
142,"Sure, Brad"
143,This is Kurt
144,"First, on CapEx, the guidance coming down is really two things"
145,"Most significant is going to be timing shift of the New York distribution center, and just the timing of key initial costs that go into it are shifting out of 2017 and into 2018."
146,The only other real key change is more of a mix of the type of stores
147,"So we either have a low-capital intensive prototype lease store or a retrofit with more capital, and the mix of stores in the back half Q3, Q4, has impacted the expectation on capital spending that has caused us to drop that $20 million"
148,New store productivity
149,", we're â€“ as I mentioned on the call, we are pleased with new store productivity"
150,The trends continue to show improvement over the 2016 year
151,"And the results that we're seeing in the last couple of quarters, I think you'd see is pretty consistent to years like 2014 and 2015."
152,The selection of stores and our ability to enter the markets quickly we've been pretty excited about
153,"One thing on new-store productivity as you're calculating it, just as a reminder, with the integration of Petsense, with the smaller size, different model, the new store productivity, Petsense brings â€“ has about a 600 basis point impact, bringing the number down"
154,"So if you exclude that out of your calculation, I think you'll be more in line with what we look at as the comparable Tractor Supply new store productivity"
155,"Yeah, Ben, this is Kurt"
156,"On the ticket side, I'd say we said about 1.5% comp ticket increase for the third quarter, and roughly about a third of that was related to the big ticket and the hurricanes"
157,"The rest of it was principally more broad, just overall product mix"
158,"So from the ticket side, I'd say that's really about 50 basis points, and you can basically deduct that as part of the 120 basis point overall"
159,"And then on the gross margin side, when it comes to rate, we basically saw that the hurricanes drove top line, did not really have a significant impact on the rate"
160,"We had generators at a lower average rate price, but you had other higher-ticket items on the truck tool or hardware side"
161,"And then you did have some higher transportation costs to get the product to the consumer, and get it there quickly"
162,There certainly were some higher transportation costs
163,"You probably also read and heard that generally, starting in about late August, September, the demand for transportation through those hurricanes put a significant demand on the transportation system, and costs went up"
164,So we look at it on the gross margin side as about a net neutral on rate
165,"Yeah, sure, Peter"
166,"First, I'd tell you that, as Greg mentioned, with additional hours, where it's meeting the customer's needs, and as our customer comes into the store, and is looking for that expert advice and service, as well as the customer solution center, we've invested additional payroll hours"
167,We believe that's all part of the top-line growth
168,"Our stores speak and talk often, as you've heard us talk about G"
169,And we want to make sure that our G
170,and our customer service is at the top level currently today in the retail environment
171,"So, that is having an impact"
172,We believe it's all part of our initiative and what's driving the top line
173,"When it comes to the wage pressure, I would just say that what we've seen in pockets, certain states, as you're aware, have instituted some regulations that have had an impact to us"
174,"And then in pockets both in the stores and distribution center side, where there's some competitive wage pressures, it is important for us to maintain â€“ hire and maintain the best team members, and we've certainly made sure that that is top priority"
175,"And that is putting some level â€“ moderate level of impact in the third and fourth quarter, and we believe we'll see some of that in 2018."
176,Not saying that this is a level of significant it could have a 10 or 20 basis point impact in 2018 on the wage side
177,"Yeah, Rob"
178,The best I can tell you at this point is we're going through our budgeting timeframe right now
179,"The items that I mentioned, such as the new distribution center investment and the additional depreciation related to the investments, those are the more significant items"
180,"And so I would tell you they're listed in order of magnitude being depreciation and a new distribution center, to a lesser extent payroll and wage pressures"
181,is probably the best I can tell you at this point
182,Still a lot to be calculated and forecasted for 2018.
183,"Incentive comp, as I mentioned, I gave you the magnitude of that"
184,It all depends on performance in 2018 and could have a magnitude of $0.06 to $0.08 next year
185,"Afternoon, John"
186,Okay
187,"Yeah, Stephen, in regards to Q4, we continue to see benefit and expect and anticipate from our gross margin initiatives pricing, strategic sourcing"
188,We see some opportunity at the product margin rate in gross margin
189,"Our anticipation is that would be offset by the headwinds we've seen on the transportation side, so it's really simply when it comes to compare, we think we can drive some improvement in the direct product margin, but that is going to be offset by higher costs on the transportation side"
190,"And then in regards to the long-term operating margin, I guess the best we could say is that we anticipate next year for the few items we mentioned and the investments in our long-term initiatives to have an increase in SG&A for those items"
191,But most of those are either one time or they're temporary investments
192,And what I would tell you is that we see from there
193,we're able to build as we are able to impact the top line and be able to maintain and improve the level of expense leverage from there
194,"So looking out beyond 2018, it's too difficult to get specific, but there's a lot of what you see in the 2018 investments similar to 2017 that are very specific to the current or temporary investments in the business"
