,Sentences
33,The consolidated average inventory per store decline of 6.5% reflects the impact of Petsense stores on the chain average
34,"Exclusive of Petsense, average inventory levels per store increased 1.1% compared to a 1.2% decrease in last year's second quarter"
35,"We are pleased with the productivity of our inventory during the quarter, as well as the management of our working capital"
36,"Given the seasonal nature of some of our product categories, we evaluate our business based on the performance of the halves and not just the quarters"
37,"With this in mind, let me make a few brief comments on our first half performance"
38,"Consolidated net sales grew 7.9%, and we had positive comp sales of 0.2% for the first half versus an adjusted increase of 1.7% last year"
39,Comparable store transaction count increased 0.5% for the first half compared to an adjusted 2.7% in the prior year
40,"While sales and gross margin trends improved in the second quarter, our first half results were below our expectations, with the majority of the shortfall from the first quarter"
41,"Now, with respect to our outlook"
42,"Based on the trends and results of the first half of the year, we've revised our outlook for the full year fiscal 2017."
43,"We expect full year sales to range from $7.13 billion to $7.19 billion, comparable store sales to increase between 1.1% and 1.7% and net income to range from $413 million to $419 million and earnings per diluted share to be $3.22 to $3.27."
44,"Assumed in this guidance is an operating margin decline of 80 to 100 basis points, a tax rate of 36.7% to 36.9%, average diluted shares outstanding of approximately 128.2 million to 128.8 million and capital expenditures of $250 million to $270 million"
45,"We estimate deflation will impact full year same-store sales by approximately 30 basis points, which includes the second half forecast of approximately 20 basis points impact"
46,Our revised comparable store sales outlook assumes a comp estimate of 2.0% to 3.0% in the second half of the year
47,"Based on our Q2 trends and early third quarter momentum, we are keeping our comp store sales assumptions for the back half generally consistent with our original plan"
48,"As a reminder, the third quarter is cycling an adjusted negative 1.1% comparable store sales from the third quarter of last year and the fourth quarter is cycling a prior year positive 3.8% comparable store sales result"
49,"While our timing of new store openings is slightly behind our original forecast, we expect to hit our 100-store target and continue to be pleased with the new store productivity"
50,"For the year, we expect gross margin to be flat to slightly down due to the decline it experienced in the first half"
51,"Thus, we are estimating a slight improvement in gross margin during the back half"
52,"With respect to SG&A, including depreciation and amortization, we anticipate SG&A deleverage of approximately 80 to 100 basis points this year"
53,"Factors to consider are: first, higher payroll expense to drive strong customer service levels in our stores along with cycling favorable medical and workers'"
54,compensation related costs in the prior year are key contributors to the deleveraging of expenses in the back half of the year
55,"Additionally, depreciation expense is expected to grow 16% to 17% over the prior year, resulting from our key strategic investments in technology, our LED lighting retrofit program and supply chain enhancements"
56,"Additionally, Petsense will have an unfavorable impact on SG&A leverage for the full year"
57,"Also, let remind you that the prior year's second half SG&A benefited from strong expense control, a reduction in incentive compensation, and favorable medical and workers' compensation expenses"
58,"Additionally, the 53rd week benefited last year's second half and full year expense leverage, and also added approximately $0.055 per diluted share"
59,"Our effective tax rate is expected to be in the range of 36.7% to 36.9%, as we do not expect to see tax benefit in the current year from the new accounting rules related to the recognition of the tax benefit on stock options exercised"
60,That concludes our prepared remarks
61,"Operator, we will now turn the call over for questions"
62,Question-and-Answer Session
63,"Sure, Seth (sic)"
64,"[Simeon], this is Kurt"
65,"Couple of things in there as I mentioned on the gross margin side, there's a slightly less benefit in the back half than our original forecast was on the gross margin side"
66,"And then, on the expense side of it, there's the additional spend, as Greg mentioned, on the store payroll"
67,We see a lot of strong feedback and benefit from great customer service in stores
68,So there's additional store investment on the back half as well
69,"And then, you mentioned the third thing"
70,"The back half of the year has some strong compares in the 53rd week, as well as some of the cost savings and favorable benefit we got from certain insurance reserves, such as medical and workers' comp in the back half last year"
71,Sure
72,"A couple of things on there, Seth (sic)"
73,[Simeon]
74,I'd say that the biggest factor on the gross margin side is that we do see freight headwinds persisting in the second half as we do in the first half
75,"And then, the difference that we see on the gross margin side is that we do see some momentum from the gross margin improvement that we saw in second quarter"
76,and we anticipate that those trends will continue in the second half
77,And we see that those will be some of the tailwinds that we've got on it
78,The expense side are the things I just mentioned in the first part of your question
79,"Sure, Peter"
80,A couple of things
81,What we saw in the second quarter that was different is we did see a momentum change in the first part of the second quarter all the way to the backend strength in some of our pricing initiatives as well as the exclusive brands
82,"Our assumptions for the back half, we see opportunity and growth on the gross margin with additional exclusive brand products and growth there, as well as continuing on the pricing side the momentum that we saw in the second quarter"
83,"Peter, first on the CapEx, the most significant difference is the Northeast distribution center capital spend that was in the original plan"
84,There was a decrease and that's the most significant factor on the CapEx
85,and it's a timing issue
86,The timing of the spend has shifted out of 2017 into 2018.
87,"Most of the other parts of the spend are relatively consistent, maybe a slight reduction on new stores and slight reduction on IT"
88,"As far as the capital spend side, we look at the back half as operating cash flow fairly consistent with last year"
89,"and I would anticipate our debt to be in the $500 million to $550 million range by the end of the year, and that's pretty consistent in line with our targets of a 2.0 leverage ratio"
90,"Christopher, this is Kurt, I'll start and I'll just say that our assumptions baked into our revised guidance for the back half assumes more normalized weather there"
91,"I'll just start with that, in that, last year, we had a slow start to the fall winter season and sluggish September as well as October,"
92,"November, we're soft, and then, as you referred to the December"
93,We see a more normalized year between Q3 and Q4 as the main factor that we baked into our guidance
94,"Christopher, it's Kurt"
95,"First, on the new stores, as I mentioned, we're excited about new store productivity"
96,"Our new stores are continuing to be part of our growth strategy, in that, they're driving the comp sales as well as the bottom line profit"
97,Our new stores typically are profitable in year one
98,"So yes, we see in 2018 and beyond where our targets of approximately 100 stores, it's a good fit for our internal resource structure"
99,We can grow those 100 stores with a lot of the existing support and good opportunity for Tractor Supply out there
100,"Other investments, we anticipate our capital spend would be somewhat consistent in the near future years to what you're seeing in 2017."
101,"And I would say yes, the investments on the technology side, logistic supply chain to drive and support our key initiatives, we're expecting those in the near term as well"
102,But we'll be cycling that type of level as that investment is baked into the operating margin today
103,"But yes, we've got years where we're going to continue to drive support on the digital and the logistics side"
104,"Michael (sic) [Brian], this is Kurt"
105,"I mean a couple of things and we've talked about these, but we've not seen the return of the tailwinds on the inflation"
106,"So at this point, as I mentioned, the back half of 2017 we anticipate continued deflation"
107,"Those years where you saw the benefit of the inflation, we don't have those yet"
108,and we don't have signs that those return in 2018 at this point
109,"The oil markets have stabilized, moderated a bit, and so that's a positive in regards to how Texas, Oklahoma, are performing"
110,But we're not at a point where those type of conditions are tailwinds for us
111,So those would be some things that we certainly would be looking for to get to a higher comp rate
112,"Sure, Scott, this is Kurt"
113,"I would start with saying that we don't get too far into beyond the current year, maybe a little bit the near term"
114,"I would tell you that for the near term that we would expect the investments that we referred to as on the expense side, to have some of those continue to exist"
115,"On the gross margin side of the product, we continue to balance the different levers that we've got on rate, mix and driving market share"
116,"So I'd say the short-term, there's pretty much consistency between 2017 and, say, 2018."
117,"Beyond that, I think it's too far out reaching to try to give additional guidance at this point"
118,"Dan, this is Kurt"
119,I would tell you
120,that some of the investments that we talked about in 2017 that will exist in 2018.
121,"Near term, operating margin may be more flat and you're close on, if we're reaching out and looking ahead, it would be at least 2019 perhaps to start to see some operating margin growth"
122,"But even that far out, it's hard to â€“ and don't want to try to give any sort of guidance beyond that"
123,"Dan, this is Kurt"
124,So I think I understand the question
125,Just maybe clarify the reference to 1% versus 2.2%
126,Is the 1% you're referring to last year?
127,"Right, right, right"
128,"Yes, so"
129,We use the 1.1% last year as the base up against that 2.2% reported number
130,"Sure, Adam, this is Kurt"
131,"First, let me â€"
132,“ I'll address the depreciation question
133,Depreciation grew in the first half about 19%
134,"And as we look ahead, I think the key thing is there's a distinct difference in regards to cycling or not cycling yet Petsense"
135,So you've got growth in that number in Petsense included this year and not
136,"And when you factor that out, the gap is a little bit different"
137,"We're estimating about a 16%, 17% growth rate in depreciation for the year, and we'll start to cycle Petsense in the fourth quarter"
138,"And so, the second half of the year will have a little bit more investment that half last year than the first half"
139,So the compares are a little bit closer
140,So you'll probably be at about a 15% to 16% depreciation growth rate in the second half of the year
141,"Biggest difference in the comparables is really the Petsense with, yes, some additional investment in our strategic initiatives"
142,"But the size of that, the gap, is not an indicator of the impact of the initiatives that we're talking about"
143,They're driving 200 or 300 basis points maybe in growth rate of depreciation in the year
144,"And we'll see the growth rate next year probably in the high single-digit range, a little bit ahead of the sales growth rate, but we'll continue to manage the levers that we've got to address the spend in there and keep the growth rate as close in line to the sales growth as possible"
145,"Stephen, this is Kurt"
146,"I just want to reiterate, we did not emphasize a seasonal shift from first quarter to second quarter"
147,"We indicated at the end of first quarter that we certainly saw softness in demand in the seasonal product, and there was about $15 million of variance perhaps in March year-over-year"
148,We did not see enough indication in regards to timing that we were indicating in anything that there was a seasonal shift
149,"I would say the only shift might be the timing of Easter, and what we expected from pre-Easter in prior year first quarter to second quarter shifted pretty consistently, but that was in our plan"
150,No
151,"At this moment, it wouldn't be accurate for me to get into that"
152,"I mean, until we get through the entire season, we won't really have a good read on it"
153,Good afternoon
154,Sure
155,"When we baked in assumptions and looked at the first half and created the guidance for the year adjustments on our guidance, as we mentioned, top-line comp sales fairly consistent"
156,There is some reduced new store sales due to the timing of the opening of new stores
157,"But when you see on the expense side, a couple key things in regards to the back half"
158,We certainly benefit from expense reduction and some favorable items last year
159,Do factor in the 53rd week as I mentioned
160,And we have more cautiousness in the revised guidance on gross margin rate versus the 20-basis-point to 30-basis-point improvement in the original guidance
161,"There are â€“ additionally on the tax rate, I've mentioned in my prepared remarks that the tax rate has increased 50 basis points"
162,"I do want to point that out that we do not expect to get the 50-basis-point benefit that we had in the original plan, due to the lack of stock option activity"
163,"So when you factor those results in as well as the trends on SG&A in the first half, I think you can get more to the 80-basis-point to 100-basis-point deleverage on SG&A in the back half for the year"
164,"Eric, if I could ask you to repeat that"
165,It was fading out
166,and I did not get much of the question
167,Okay
168,"Sure, this is Kurt"
169,"I would just tell you without a lot of specifics, while the first half missed on both the top-line and bottom line, most of that was in the first quarter, but I would also say that second quarter, the top-line sales results while good, there was also both top and bottom line slight miss on the second quarter as well"
170,"And then, I do want to remind you with the â€"
171,“ there are non-comp new store selling weeks that were baked into our original guidance that we had to adjust based on timing of new stores
172,"Sure, Joe, this is Kurt"
173,"First, we can walk you through the adjustments from our original plan"
174,"I would tell you that the key factors, again, are the gross margin rate is softer than the original plan while a slight benefit"
175,"On the expense side, yes, we are going to invest on the second half additional payroll"
176,The incentive comp is a strong headwind to go up against
177,"We called it out last year that incentive comp was a benefit, and then, after that, it's just some of the other expense management that we had"
178,Those are the items that differ between the original 60 basis points to 80 basis points deleverage on SG&A to more of an 80 basis points to 100 basis points
