,Sentences
24,"Looking next to Fitness, we reported robust revenue growth of 24%, driven by strong demand for wearables with Garmin Elevate wrist heart rate technology"
25,"In addition, vÃ­vofit jr"
26,was well received by retailers and customers during the holiday shopping season
27,Gross and operating margins were 53% and 20% respectively
28,"Gross margin was impacted by product mix while operating margin was relatively flat to the prior year, resulting in operating income growth of 19%"
29,Much has been said recently about the momentum change in certain wearable categories specifically basic activity trackers
30,"However, demand for products with more advanced features particularly those with GPS capability was very strong in the holiday quarter"
31,One possible explanation is that customers want more than just a basic activity tracker
32,"We believe we are well positioned to capitalize on this trend with the broadest portfolio of activity trackers, many of which include GPS capability"
33,"In 2017, we are targeting revenue growth of approximately 5% in the Fitness segment with strength in cycling and advanced wearables offsetting anticipated softness in basic activity trackers"
34,"Looking next at the Marine segment, revenue grew 16% ahead of the overall market, pointing towards market share gains driven primarily by strong demand for fishfinders and chartplotters"
35,"Gross margin was steady at 55%, while operating margin improved to 16%, resulting in operating income growth of 82% over the prior year"
36,"The marine season is off to a great start, and we are ready to serve with a strong portfolio of products for every boating pursuit"
37,"For 2017, we're targeting revenue growth of approximately 10% for the Marine segment"
38,"Turning next to Aviation, we reported solid revenue growth of 10%, driven by ADS-B and retrofit upgrades, as well as growth in our OEM categories"
39,"Gross and operating margin remained strong at 75% and 28%, respectively, resulting in operating income growth of 12% for the year"
40,"In recent developments, Textron Airland announced that the Scorpion light attack aircraft will be equipped with Garmin avionics, expanding the addressable market for our commercial off-the-shelf equipment into military and government applications"
41,"We are excited about our expanding partnership with Textron, and we look forward to serving on the Scorpion aircraft"
42,"I also want to mention that for the 13th consecutive year, Garmin was ranked number one in avionics support by Professional Pilot Magazine and by Aviation International News"
43,"I want to congratulate our team on earning this award once again, which is a testament to the quality of Garmin equipment and the amazing way our associates care for our customers"
44,"In 2017, we are targeting revenue growth of approximately 5% in the Aviation segment"
45,"While industry dynamics remain a factor, market share gains, new platforms, and the ADS-B mandate provide opportunities for growth"
46,"Looking finally at the Auto segment, revenues were down 17% for the full year, as expected, due to the ongoing decline of the PND market"
47,"However, our global market share remains very strong"
48,"Gross and operating margins were 44% and 12%, respectively"
49,"While the downward trend of the consumer PND market is well understood, we do see incremental growth opportunities in certain product categories, including trucking, RV, cameras, and in our OEM business"
50,We are focused on maximizing profits in the segment while leveraging these opportunities
51,"Earlier today, we announced that BMW selected Garmin as a Tier 1 supplier of infotainment computing modules for future BMW models produced in China"
52,This is a pivotal win for us and validates the investments we have been making in the OEM category
53,"Looking at 2017, we expect revenue to decline approximately 17%, driven by the ongoing decline of the PND market"
54,We remain focused on disciplined execution in order to bring pragmatic innovation to the market and to maximize profitability in the segment
55,"In summary, we see many opportunities ahead in each market we serve, and we are well positioned, with a strong product lineup"
56,"With this in mind, we are projecting revenue of approximately $3.02 billion, flat year-over-year, as growth in Fitness, Outdoor, Aviation, and Marine is offset by anticipated declines in the Auto segment"
57,"We are projecting steady gross margin of approximately 56%, and operating margin of approximately 20%"
58,"We expect a pro forma effective tax rate of approximately 22% for the year, resulting in pro forma earnings per share of approximately $2.65."
59,So that concludes my remarks
60,"Next, Doug will walk you through additional details on our financial results"
61,"We saw, Joe, particularly strength in more advanced trackers, as I said in my remarks, particularly those with GPS"
62,"I think, probably, we see more the other direction where people who got started and wore basic activity tracker or something in our vivo line might wish to move up into more advanced running devices as they explore the sport"
63,"But I think vÃ­vo, its quality is daily wear, so it certainly wouldn't preclude people from moving the other direction, but we think mostly, it's an upward movement"
64,"Definitely, we'll start late in Q1, so it will be mostly a full impact in Q2."
65,"Well, I think some would say it's conservative, others might say it's not"
66,"But, as you know, there's a lot of dynamics going on in the market right now"
67,I think everybody is focused on fitness and what the dynamic will be there
68,I think it is an area where there is uncertainty because of everything that's going on
69,But we believe that we still have ability to grow
70,"Outdoor, we see ongoing opportunities for fÄ“nix, as we mentioned in our remarks, as well as expansion of the DeLorme opportunity"
71,"Marine is off to a great start, and we do think that our product line is strong"
72,We should be able to have a strong year in Marine
73,"And then finally, Aviation is an industry that has had ongoing challenges with the economic situation"
74,"That's not really changing, in our view, but we do see these opportunities that we've been pursuing adding to incremental growth"
75,"And then finally, in Auto, there's not much more to say there, except that the PND market decline continues, as you're well aware, and we are excited, because we are to a point now in the business where the growth in the other segments are offsetting the declines in PND"
76,"Well, we're investing in that category as well"
77,"We have had our own sets of successes, which have been published out there, some of them, and some of them have not"
78,"We don't break it out by categories in that area, but we are investing there"
79,"We have dedicated teams, both on the sales and engineering side, that are working on product customizations and engagements with customers that allow us to win deals there"
80,"Well, there's still opportunities in PND"
81,And one thing I'd like to clarify is that the BMW opportunity is not PND
82,That's auto OEM
83,And that's a different category of products within our overall Auto segment
84,"But PND, we do still see opportunities there, as I mentioned"
85,"Some of the specialty opportunities in RV and truck are things that we're investing in, as well as camera technology"
86,"And we're taking a pragmatic approach, as I mentioned in my remarks"
87,We believe there's still customers that are interested in those products
88,"And with the right amount of innovation, we can keep the category healthy"
89,"Thank you, Paul"
90,Thank you
91,"So, BMW, we anticipate the program will be starting in the 2020 model year, which means late 2019 for production and revenue, start of revenue ramp"
92,It is for vehicles in the China market
93,"So, this is local production for local vehicles"
94,It is a hardware-based Tier 1 opportunity
95,"So, we invested in our factory capability in order to be qualified as a Tier 1 supplier to BMW"
96,"And as such, because it's a hardware opportunity, the ASPs are definitely much higher than what typical software opportunities are, although I can't share the details of what those are"
97,Yeah
98,"Ben, definitely, all of the categories in Outdoor showed growth in 2016."
99,Golf and dogs are both very nichey categories in comparison to some of the other categories and there's been a lot said in the last year or two about the situation in the golf market and declining interest and even some notable bankruptcies in golf-specific retailers
100,But we're generally believing that those will be flat in the coming year
101,"Again, they're niche categories and they have cycles"
102,"So, they'll generally be trending in line with what they have been"
103,Thank you
104,"Well, I think, Jerry, many of our products that we offer in Outdoor and Fitness are beyond some of the notable news that's been circulating in terms of the overall activity tracker market"
105,"So, our product lines were strong, particularly those with GPS"
106,fÄ“nix was a good performer
107,And we see people wanting to step up to a more advanced smart watch kind of a product which fÄ“nix definitely falls in that category
108,Yeah
109,"I think we talked about the secular trends, particularly in Fitness, and we do anticipate that basic activity trackers are going to see a maturing cycle starting now and going forward into the future"
110,"But with that said, on the Outdoor side, we do see positive response to our fÄ“nix 5 announcement, and we anticipate starting deliveries of those soon"
111,And we also do see increasing interest from retailers in the outdoor wearables
112,"So, for example, we're gaining additional shelf space in some of the key retailers particularly in the U.S"
113,and expanding our shelf space in the U.S
114,It is attracting a different kind of customer
115,"There's certainly a strong, running bias in people that buy fÄ“nix product, but we're also seeing people that are just generally aspirational and love any kind of outdoor activity move up to the launch"
116,We believe our channel inventories are reasonable exiting the year and into Q1.
117,Many retailers particularly in the U.S
118,try to manage their inventories very carefully as they close out their year
119,But we believe our inventory situation is okay
120,Thank you
121,"Starting first on BMW, for this program, there's not any significant upfront investments for this particular program"
122,"We had already made investments in our factories in order to be able to accommodate this kind of win, and those are already costs that we've incurred"
123,"For the solution, it's the media graphics unit, which actually is a common architecture piece across the entire BMW line, not only in China but around the world"
124,"So, consequently, this is production of that architecture for the China market, but it's scalable elsewhere"
125,"In terms of Fitness, in terms of the mix there, as I mentioned, we are seeing stronger interest in more advanced product in the wearable side, and that includes what we would call our wellness line, like vivo, as well as, obviously, Forerunners which are all GPS products"
126,"We don't split those out by category, but I would say that GPS was the stronger performer, and basic activity trackers were weaker"
127,"We don't have numbers to share right now, but we can certainly prepare those and share them in the future"
128,Yes
129,"So, definitely, product mix is still a factor, even though basic activity trackers were weaker"
130,Basic activity trackers have a very low cost basis
131,"So, their margin profile doesn't necessarily improve the overall fitness market if they're weaker"
132,"That said, also the vÃ­vo line in general, including those with GPS"
133,", they're feature rich products, and they have to sell at a competitive price"
134,"So, consequently, their margin profile is generally lower"
135,"In terms of Apple and the specific impact on our market by the Series 2, I would say that certainly, their initial results would appear like they're doing very well with Series 2."
136,But we don't see the impact on our customers and our segment from that device
137,"I think that it's a very competent device and it does a lot of things, but as we've said before in the past, we believe that it's attracting a slightly different customer base than what we speak to"
138,Thank you
139,"Well, starting with Marine, definitely, there's a component of our outlook that reflects the improving macroeconomic conditions surrounding Marine"
140,"Marine has been kind of on a slow growth trajectory since the downturn, and we continue to see that"
141,"So certainly, some of that is due to organic market growth"
142,"But, certainly, the other part is the momentum we see in our business and particularly we believe we're taking share from the major competitors"
143,And we believe the reason for that is our strong product lineup and superior features and technologies that we have in our products
144,Thank you
145,"So, as I mentioned on BMW, what we'll be supplying is a hardware component that drives the overall media system in the vehicle"
146,"So, it is a higher dollar value type of product which will definitely benefit on the revenue side"
147,"I think in terms of margin profile in OEM, we don't break it down by category, but we generally said that the margin profile from the OEM business is generally lower than that of the overall auto business"
148,"So, there would be some downward pressure as those revenues ramp up"
149,"Thanks, Elliot"
150,(38:00)
