,Sentences
45,"Throughout the first half of 2017, sales were up more than 14% compared to a year ago"
46,"As we look at the technologies that are transforming our industry, our commitment to leading in this transformation and the future of personal mobility includes making game-changing technologies available to as many customers as possible"
47,"We are excited that the Chevrolet Bolt EV, the first affordable long-range electric vehicle, goes on sale nationwide August 1 at certified Chevrolet dealerships"
48,More than 80% of Bolt EV customers have not previously owned a Chevrolet
49,"Chevrolet has sold nearly 8,200 Bolt EVs since they went on sale in December of 2016."
50,Our Cruise Automation team in San Francisco and our technical experts in Warren are making significant progress in our drive to safely deploy our self-driving electric vehicles in commercial ridesharing networks
51,"Last month GM became the first company to use mass production methods to build 130 autonomous vehicles, growing our test fleet to 180."
52,"We plan to deploy these vehicles in the challenging driving environment of San Francisco, as well as Scottsdale, Arizona, and Metro Detroit where we are already testing our vehicles today"
53,"In addition, technologies like Super Cruise are helping us create a safer future"
54,"As we prepare for the fall introduction of Super Cruise on the 2018 Cadillac CT6, GM engineers have logged roughly 160,000 miles of driving on U.S"
55,and Canadian highways as part of the final validation of the system
56,"And when it comes to shared mobility, we keep refining Maven to meet customers' needs as we learn more about the growing sharing economy and freelance economy"
57,"In addition to expanding Maven City in New York, we announced that Maven Gig will be in California in three cities"
58,Freelancers can rent Chevrolet Bolt EVs for delivery and ridesharing services
59,"So as we look at H2, we clearly see a tougher business environment and the entire GM team has a disciplined and relentless focus on doing what is necessary to address challenges"
60,"For example, in addition to the actions in Europe and our international operations, we are managing passenger car output to ensure our inventories are appropriate and to protect our brands"
61,"In North America, our crossover launches continue with the Chevrolet Equinox and the Chevrolet Traverse, the GMC Terrain, and the Buick Enclave"
62,We will also launch the Equinox in Q4 in South America and launch 10 newer refreshed models in China
63,"As Chuck shared with many of you last month, we expect another strong year in North America with EBIT-adjusted margins of 10%-plus"
64,"In addition, on a continuing operations basis, we still expect our EPS diluted-adjusted to be in the $6.00 to $6.50 range for the full year"
65,"Now, I'd like to turn the call over to Chuck"
66,"Good morning, Brian"
67,"So, first, I think with the Opel/Vauxhall transaction"
68,", we've said that â€“ and with the announcements that we made in India and South Africa, that we believe we're in the right market"
69,"We have a very strong franchise in South America and as I said in my opening remarks, we're going to continue to work to improve performance and efficiency in each country and by segment"
70,"So from a where we intend to play, I think that outlines that"
71,"When you look specifically at passenger cars, recall"
72,"we just launched the compact and midsize architectures, the Chevrolet-branded Malibu and Cruise, a very, very efficient architecture that we believe will get two-plus lifecycles out of because of the design of that architecture"
73,So we think we're well positioned
74,"And although to your point, we are seeing smaller car segments and the impact of consumers choosing crossovers and trucks and SUVs, to a certain extent around the globe, we feel â€“ and I'm not going to go into specifics of outlining the entire product portfolio, but we have taken a very much an over-the-horizon look of where we think that's going"
75,We have very efficient architectures that are installed
76,And so I think we can leverage that very effectively to be well-positioned as the market continues to transform
77,"As we talk, we also have very strong SUVs and crossovers that we're rolling out first half of this year, continue to do that in the second half"
78,So I think we're going to be well-positioned to capitalize on that growth and then well-positioned from a car perspective
79,"Finally, from an emerging market, those China, South America, Mexico, and some of the other more developing markets recall that we have made the investment in our global emerging markets platform that will have a range of vehicles coming off that â€"
80,"“ and this is a purposely designed architecture from a safety perspective, from an efficiency perspective, from a fuel economy perspective that we think will also be very well-positioned in those markets"
81,"So, again, we've looked at where we think the market is going and the trends are consistent with what we believe and the investments we've made in the plans that we have"
82,"We haven't broken that out, specifically, but what I would say is that I believe we are making the right investments from an electrification, and looking to really have platforms that go from eAssist to plug-in hybrids to full electric vehicles"
83,And looking at that holistically across the portfolio
84,So that's the comment I would make
85,but we're not breaking that out
86,"And from an auto 2.0, as you look at specifically autonomous vehicles, of course, built on which we think is the most efficient platform on the all-electric vehicles"
87,"So leveraging the Bolt EV platform, I think we are moving aggressively in the development of that technology"
88,"As I noted, that we built the next 130 vehicles that we are in the process of deploying onto roads in San Francisco, Scottsdale, and Metro Detroit, leveraging manufacturing at scale methods to be able to build those vehicles"
89,"So when I look at where we're at, we're working aggressively at leveraging the assets General Motors brings to this, also learnings that we have from Maven"
90,"You know, we've talked about the true opportunity in this business which we think will first come in ridesharing"
91,And we think that can be significant and then grow even further
92,"We haven't sized that yet, but I would say we're working very aggressively on auto 2.0 to make sure we have substance and technology that we believe will generate significant shareholder value"
93,"And as we move forward, we'll be able to size that and put some milestones and timing around that"
94,So I would say stay tuned
95,Good morning
96,"Itay, we definitely are working to improve that"
97,"I think first, we want to make sure we achieve the $6.5 billion"
98,"and I think as Chuck said, we're well on track to do that"
99,"But the specific work that we're referencing is,"
100,"as the Opel/Vauxhall transaction closes, we're looking at"
101,", how do we take structure and simplify the way we work and out of the company?"
102,And that work is actively going on right now
103,and we'll continue to work that through the end of the year
104,That I think provides additional opportunity
105,"And as Chuck said, achieving the $6.5 billion, but with the operational excellence toolset and mind-set that we're rolling out to the entire company about constantly improving the business, and we've had a very successful deployment where we have our top 1,600 people engaged in running projects"
106,I think you're going to see a continual cost efficiency improvement mind-set as a company
107,"But I'm not ready to take it up further from the $6.5 billion now, but I think as we move forward"
108,you'll see us continue to increase that number or set a new target once $6.5 billion is achieved
109,So on the updates
110,We have done over-the-air updates primarily to the OnStar system
111,"We are in the process of deploying a new electrical architecture which is a pretty comprehensive undertaking, and that's well underway and being deployed as well as a whole new generation of infotainment systems"
112,So you'll see us have that capability as we move forward
113,Right now it's pretty much limited to updates from an OnStar basis
114,Before 2020.
115,Go ahead
116,"Well, in our data monetization, I agree with you that the opportunity is there"
117,I would say we are just in the initial steps of not only leveraging the data to provide more value to customers
118,"You know, one of the assets that we have that will â€“ is actually in touch right now so it will be leveraged shortly, is active health management of being able to assess different components in the vehicle and be able to alert customers ahead of time, schedule them for their vehicle to be fixed, unlock the door with OnStar"
119,So really â€
120,"“ and then fix the vehicle, lock it back up"
121,That capability that is near-term that we have and will be deploying
122,So I think there is this segment around the data to how do you use data that we get from the vehicle and because we have the largest connected fleet to improve the customer experience and therefore pull people to our vehicles
123,"And then the second piece, as you indicated, is more of a B2B opportunity"
124,And I don't have any specific examples that I'm going to share right now
125,but I can tell you we're actively working both internally and externally
126,"We just hired a Chief Data Officer into the company, started this month and"
127,so there's quite a bit of work going on
128,You'll hear more as we go forward
129,but I think we're seeing monetization through OnStar with different activities
130,"And like you said, insurance is one"
131,but there's additional framework
132,We recently also launched OnStar Go with IBM and that creates a marketplace that's able to be customized for our specific passengers or consumers
133,"So more to come on this, Adam, and I agree with you of the opportunity and we've got to seize it"
134,"Well, as I look at potential changes in the rules, we have a very strong partner with SAIC, been very productive and are working together"
135,and I think it's been demonstrated in our market performance
136,", we do joint development"
137,A big portion of the global emerging-market platform that work is being done in China
138,So we've integrated the PATAC Center
139,"So as I look at regulatory changes or rule changes from a China perspective, this isn't one on the top of my list because I think we work together well"
140,and I think there's benefits to that
141,What I am looking for is to make sure that we have a level playing field and that we have rules that are aligned with the timing required to effectively implement from an automotive company perspective
142,"When you look at some of the latest rulemaking around electrification, being implemented now and being rolled out now with implementation next winter, that's a pretty short timeline to effectively and efficiently meet those requirements"
143,So that would be something I'd look for before I'd look for relaxing of the 50%
144,"Thanks, Adam"
145,"Clearly the â€“ we believe that most efficient way to execute autonomous vehicles is with the pure EV, that's why we are using our Bolt EV platform"
146,And we think it allows for more efficient integration to the vehicle
147,We do believe in a sensor suite that LIDAR is a part of its solution to have the right sensing to provide the right safety level
148,"So, first on Super Cruise, recall that we actually held that technology till we did appropriate validation, the 160,000 miles that we talk about"
149,", I'll say, would be final validation"
150,"That was substantially more work done from the Super Cruise development, testing and validation for the company to feel that it met our requirements from a safety perspective to launch into the public"
151,"From an autonomous vehicle perspective, miles driven is certainly a factor, but it's not the only factor, because what is the quality of the miles driven?"
152,"Right now, to our knowledge, we're the only one testing our autonomous vehicles in Downtown San Francisco, which is a pretty dense urban environment with a lot more, I'll say, opportunities to learn from different situations"
153,So it's not just the miles traveled
154,It's the quality of those miles in the number of incidents that you're exposed to that the vehicle learns
155,"And so although we don't have a very specific mile, there's quite a bit of work we're doing, even with agencies or groups outside of the company to put that together"
156,"As we move forward, we'll share, because as we understand it today with the NHTSA requirements for U.S"
157,", a big portion of the guidelines they put out is to demonstrate how you're measuring, and then share that as they look at authorizing, pulling the driver out of the vehicle"
158,So there's quite a bit of work going on there
159,So I would say it's much more involved than just miles traveled
160,"And that's what we're working on right now, and we'll share more as we go forward"
161,Good morning
162,I don't think it affects it
163,The partnership that we have with Lyft was never exclusive for either Lyft or for General Motors
164,We're quite far along in our autonomous vehicle development based on the fact that shortly we'll have 180 vehicles testing
165,I don't know if you've had a chance to see the different videos that we posted of the capability of our autonomous vehicles to date that grows frankly on a weekly basis
166,So we still think the opportunity to deploy in a ridesharing
167,"And the reason for that is as you first have electric vehicles as the capability will go up in those vehicles from the speed at which they can travel, the different circumstances, tunnels, et cetera, that the vehicle is capable of learning"
168,"So integrating in a shared fleet â€“ in a ridesharing fleet I think allows to get the best exposure for the vehicle to keep learning as we go forward, but I would say that's in the early stages of sub-deployment"
169,"So again, we have a good relationship with Lyft and we think that opportunity presents itself, but that's how we see it playing out right now, and again, understand their work that they're doing on their own as well"
170,I want to thank everybody for joining us today
171,We believe the strong results we reported today reflect on our ongoing work to transform GM into a more focused and disciplined company
172,"This team has demonstrated quarter after quarter that it has the right mindset to capitalize on opportunities, make the hard decisions, overcome headwinds, and meet our commitments all with integrity"
173,"We're going to continue to take bold and decisive actions to execute our strategic plan and that's in the core business or Auto 1.0 where we're working to make sure we have the right product portfolio as we move forward, as well as the very, very efficient business on all aspects"
174,"And then from a future of personal ability, or Auto 2.0, we are taking very deliberate steps and working, I'd say, quite aggressively to make sure that we leverage all the assets we bring to this equation"
175,We believe we can translate that into significant shareholder value
176,and that's what we're focused on doing
177,"So again, thanks for participating"
