,Sentences
59,So with â€“ the CR effects are not being able to add new contracts at this point
60,So the program that we're producing on today is not impacted by the CR
61,I'll let Bruce pick up the question on margins
62,And the PAO tubes issue is behind us now
63,We have modified all the aircraft
64,"Sure, Jason"
65,Thanks for the question
66,"Just starting off with F-35, if you just look at the ramp-up on that program, it's very significant over the next few years"
67,"And when we get to full rate production, we'll probably be delivering roughly 200 aircraft a year"
68,"So, that's a big opportunity"
69,"The next five years, we think about 50% of the orders will be in the international marketplace"
70,We're continuing to see additional interest from a lot of countries around the F-35
71,"that are currently not in the program of record, so we expect that over the next few to several years, that we'll continue to see additional countries that will become buyers of the F-35."
72,"In the area of missile defense, that continues to be a great demand for us internationally"
73,"You mentioned Aegis and PAC-3, also THAAD is another one that we expect"
74,"Areas like in the Middle East, we expect that there we will continue to see opportunities"
75,You've probably seen that there was a notification on Qatar and we think some other countries in that region will also be considering THAAD as we go forward
76,"And then beyond that, Aegis, as we've sold some systems on Aegis, we'll continue to see opportunities for, potentially, for Aegis Ashore, which is the land-based Aegis and we continue to sell PAC-3s"
77,"So, in the missile defense arena, PAC-3 MSE, the extended range, we expect we'll continue to see strong demand"
78,And then there is MEADS
79,"Germany has already selected MEADS, the Medium Extended Air Defense System, and we're moving forward on that"
80,"We expect to get underway this year with a contract with them â€“ or late this year, and we'll see other countries; watch that space"
81,We've had interest from Poland and others
82,"And then, continuing on the international front, F-16, as you've probably seen, there has been an informal Congressional notification for selling F-16s to Bahrain, up to 19 or 20 aircraft"
83,"And we continue to be looking at the opportunity for selling F-16s to India, which could be a much bigger buy by India over time, as they move through their process"
84,"So, and then F-16 upgrades, we were doing from South Korea, Taiwan, Singapore, and others that have made a selection on that"
85,"We think, with that large fleet that's out there, that we'll continue to see other countries that will look at F-16 upgrades"
86,"So on the aircraft front and the missile defense front, continuing opportunities"
87,"And beyond that, I mentioned LRASM in my discussion on the front end with my opening remarks"
88,We think there is a big opportunity for LRASM for the U.S
89,government as we move forward
90,"We've sold JASSMs to other countries, so LRASM"
91,even could be a potential for international opportunities
92,"T-X and JSTARS are two bids that, this year, that we are participating in"
93,"We think we have a very strong offering on T-X, the next trainer replacing the T-38, that capability we're offering is a T-50A, It's a very mature program that has low risk, and we can accelerate the schedule and meet the needs of the Air Force up to two years earlier than probably a clean sheet design could do, or maybe more"
94,"So, we're very much ready with our offering on that; we expect to be very competitive in that opportunity"
95,"JSTARS, we've got a great team pulled together on JSTARS as well, and we're bidding on that opportunity"
96,"Future Vertical Lift is a little further out, but of course, we're in the demonstration phase, in the technical demonstration on that, and are teaming on that capability"
97,"So, we expect to be in a good position for Future Vertical Lift as we go forward"
98,"And then the Ground Based Strategic Deterrent, we will participate in that competition, and we think we have a strong offering and LRSO"
99,"So, we are engaged in, not only our current portfolio that we believe is very strong and there is a strong demand for, but we are pursuing some big opportunities in other areas"
100,"And I didn't mention our Space Systems area, but commercial satellites and the satellites for the military, as we continue to grow that portfolio as well"
101,"So, I think I've kind of walked around the system"
102,I did mention
103,"C-130, I mean, there continues to be interest in the C-130 in countries like India and Saudi Arabia and France and Germany, and we hope to â€"
104,“ we are currently on a multi-year with the U.S
105,"government, we would expect them to continue to purchase C-130s going forward"
106,And I think that â€
107,"“ Bruce, any others, maybe, you can add to that?"
108,I've kind of tried to walk around the portfolio
109,"We have a very broad portfolio, as you all know, and a very strong portfolio"
110,"So, we're really pleased with how well it's supported in the current budget, and what's in the budget deliberations going forward for the U.S"
111,government
112,"But around the world, we've got great opportunities internationally"
113,"Thanks, Rich"
114,"Well, first off, yes, we are moving the line to Greenville, and let me just give a little background on that"
115,"I think we've let you all know that we will be delivering our last F-16s off the line in Fort Worth later this year, and then actually, the line will stop for a period of time"
116,It was important for us to continue to look at restarting that line
117,"We know how to do that, we have a robust supply chain that has been able to increase and decrease over the life of the F-16, and deal with changes in quantities, and we're ready to restart that line"
118,"The reason we're moving to Greenville is, we're ramping up production on the F-35 in Forth Worth, we need the facilities there for what we're doing"
119,Greenville is a great operation that has a strong talent and good facilities there
120,"So, it will be a final assembly and check-out facility for the F-16 there, it's just â€"
121,"“ we basically produce the aircraft through our supply chain elements of it, and we will assemble it there and deliver it from Greenville"
122,"And we're excited about that, it's a â€"
123,"“ we've also selected Greenville as our site for producing the final assembly of the T-X, of our trainer opportunity as well, the T-50A, so â€"
124,"“ and we have demonstrated the capability for doing fighters in that facility, so we're excited about it being the place for the future F-16s"
125,"In terms of it being this year, for Bahrain, getting an order this year, we feel good about it, but it's really government to government, so we'll have to go through the finishing up on the formal congressional notification and get an order underway"
126,And we look forward to that opportunity
127,"We're very encouraged by that, and we would produce those in Greenville for that reason"
128,"In terms of the F-16 SLEP, the Service Life Extension Program, we were pleased to see that the F-16 was designated to have an extended useful life"
129,"It has been a strong program for us, and so we continue, as I said, to do upgrades around the world, so that airframe and its capability, it has demonstrated it can fly many more hours and that will open the opportunity for putting new systems on it, new weapons systems, new mission systems and radars and things of that nature"
130,"So we see that as a very positive for that fleet, for it to continue to serve our customers, not only U.S"
131,"Air Force, but customers around the world for many, many years to come"
132,"So, Cai, maybe I'll take the JV, and then let Bruce pickup on the AWE and Bruce"
133,you can fill anything more on that
134,"The JV itself, as I mentioned in my opening remarks, this is a non-cash impairment charge"
135,And we are actually a minority interest in this JV
136,"Back in the mid to late 2000s, the UAE was looking for U.S"
137,"partners that would help them to develop their fixed wing and rotary wing sustainment capabilities so that they could support their aircraft in-country and look at broadly supporting beyond the UAE, other countries' aircraft"
138,And we entered in this joint venture in 2010.
139,"At the time, we were a 20% owner in it from a Lockheed Martin standpoint, Sikorsky was a 20% owner, and the UAE entity had 60%"
140,"Of course, when we acquired Sikorsky in 2015, that increased our position"
141,"So, we are a 40% owner in the joint venture"
142,The joint venture has been successful
143,"It's been a good joint venture, it's got about 4,000 employees, sales of about $1.5 billion a year"
144,"It's been very profitable every year with equity earnings that come back to us through Sikorsky and now to us, both our share and Sikorsky's share"
145,And it's generated to offset credits for us that have satisfied a lot of obligations for us for the programs that we have in country
146,"So from that standpoint, it's successful"
147,"The ambition, though, for that entity is for it to grow regionally and become a sustainment center for the region"
148,And so facilities were built and machinery and equipment procured in order to prepare for growing beyond just the UAE market
149,And unfortunately those projections haven't materialized
150,"The fact that oil prices have been lower has not helped matters, but it's been a damper on what the outlook was for it"
151,"So, the charge basically recognizes the diminished value of those assets and the lower demand environment"
152,"We still have aspirations for that entity, and hopefully, we will see longer term that outlook"
153,"But as we looked at it today, the reduced business prospects, the entity determined that they needed to impair certain assets, and so that's what we dealt with"
154,"So, let me wrap up"
155,"Since that was our last question, I want to conclude the call today"
156,And I'll end by reinforcing our commitment to our strategy of growth in top-line sales and strong cash generation while at the same time providing our customers with world-class solutions to their continuous challenges and delivering our stockholders long-term value creation
157,Thank you again for joining us on the call today
158,We look forward to speaking to you on the next earnings call in July
159,"Karen, that concludes our call today"
