,Sentences
50,"As we look to the second quarter of 2017, we are forecasting the midpoint of the revenue range of $14.4 billion, up 11% year over year excluding Intel Security and up 6% including Intel Security"
51,"We expect operating margins to increase by 3 points year over year, gross margins to be up 1 point at approximately 63% and spending to be approximately $5.2 billion, flat year over year"
52,"We expect our spending as a percent of revenue to be down 2 points in the first half of the year versus last year, as we make solid progress in increasing efficiency in the company"
53,"We expect EPS to be approximately $0.68, up 15% year over year"
54,We feel pretty good about where we are 90 days into our three-year journey
55,We exceeded our expectations for Q1 and increased our profit expectations for the full year
56,"At the same time, we are investing in the future by expanding our TAM from $45 billion to $220 billion"
57,"We are already seeing an impact, with our growth-oriented businesses up double digits collectively as we continue to transform the company from a PC-centric company to a company of smart and connected devices that power the cloud"
58,"With that, let me turn it over to Mark"
59,"Yeah, the only thing I would add, Brian, is with the ASPs being a little bit stronger than we expected in the first quarter, as we mentioned, we expect full-year revenue to be up $0.5 billion, versus where we were 90 days ago, and I would say one of the contributors to that is how we saw ASP trend in the first quarter of the year"
60,Yes
61,"And I would just say that our focus is on growing the earnings performance for the company in the short, medium and long term"
62,"And what we laid out at Analyst Day, as Brian indicated, was over the next three years, low single digit growth, operating income growing faster than revenue and EPS growing faster than operating income"
63,"Against that, we're trying to obviously make revenue grow faster, continue to manage the efficiency in which we operate the company and drive strong earnings growth performance over the short, medium and long term"
64,"So the 30% target is consistent with kind of the three-year plan, and we know that there's opportunities for us to be more efficient as we go forward"
65,"Yeah, and the only thing that I would add is the strong CCG revenue growth of 6% in the quarter"
66,"As you'll remember, because our first launch client really didn't ramp until the second half of last year, the first half revenue growth for CCG will, particularly because the modem will have a relatively easy comp"
67,"So that's a contributor to growth in the first half, and as Brian said, the comps get much tougher in the second half because our one client launched in the second half last year, but given the product we have, we feel relatively good about where we are"
68,"Yes, I would, Stacy, we kind of provided a long-term outlook of 40% to 45% operating margin for DCG"
69,"Our expectations for this year were for growth, as Brian indicated earlier, high single digit and at the lower end of that range of the 40% to 45%"
70,"In the first quarter, just to be clear, the 9 point drop in margins, 7 points of that is attributed to the fact that DCG is a bigger business, and we've indicated it'll be the first on"
71,7-nanometer and a fast follow on 10-nanometer
72,"As a result, it gets a bigger share of our technology development and our SG&A allocation"
73,So 7 points of the 9% decline are simply a result of how we allocate cost to the business segments
74,"I think in terms of going through the course of the year, the things that are going to change, as Brian indicated, we got strong product offering coming out in the second half of the year"
75,We expect ASPs to improve as we go throughout the year
76,"As you know, the first quarter is always the lower end of margins from a seasonal perspective"
77,And we expect product costs to improve as we continue the transition from 22 to 14 nanometer
78,So it's in line with our long-term expectations
79,No change
80,"Our outlook for 2017, no change"
81,"The biggest fundamental driver to margin performance is simply the success of the Data Center business in terms of growing, in terms of being a bigger chunk of the overall business, in terms of being a beneficiary of leading-edge technology"
82,It bears 7 points impact because of the higher burden of our allocations on the business
83,So we feel good on where we are for the quarter and where we're positioned for the full year
84,"Yeah, that's true, and that's reflected in our 40% to 45% and our improvement throughout the course of the year"
85,"Yeah, our expectation is the operating margins for DCG will improve by quarter throughout the year"
86,"Again, it will be a function of the normal seasonality of the profitability of the business"
87,"It will still bear a significant chunk of our tech development and SG&A costs, but you may remember that our development costs during the course of the year, as we indicated I think maybe last couple quarters, that comes down from first half to second half"
88,"So as that cost comes down, all of our businesses will benefit from lower costs"
89,"And then the third thing, the real fundamentals of the business are higher ASPs with good product with outstanding performance and getting better and better yields on our 14-nanometer product going through the fab will be benefits to the profitability of the business"
90,"The lowest point Q1 expectations will grow each quarter throughout the year, and we would expect full-year operating margins despite higher absorption, higher burden from our indirect costs at roughly 40% for the year"
91,John William Pitzer - Credit Suisse Securities (USA)
92,LLC
93,That clarification's helpful
94,"And then, Brian, as my follow-up, one of the strengths of your model is just the free cash flow that you can generate, which enables you to reinvest organically back in the business"
95,And you're clearly doing it this year on the CapEx front with CapEx up over 20% year over year
96,"I guess what I'm trying to understand is, should we be thinking of CapEx this year as sort of the new norm with rising capital intensity, investments in the Memory business,"
97,maybe optionality around foundry?
98,Or is the $12 billion this year sort of something that we should think about as being an above trend or particularly high spending year?
99,Any color on that would be helpful
100,There's two dynamics on our total pool of indirect costs that are going on for the company
101,One is our SG&A indirect costs are coming down
102,Brian referred to that earlier about the progress we've made on direct spending overall coming down another 1 point plus during the course of the year
103,"And second, our R&D cost particularly as it relates to Moore's Law for 10-nanometer and 7-nanometer"
104,goes up little bit
105,"So during the course of the year, our overall cost will be roughly flat that we'll be allocating to the businesses"
106,"And DCG will get a larger portion of that than it has historically, roughly impacting the business by 7 points because of its bigger size and because of the decision to have it be a beneficiary of Moore's Law sooner than it has historically"
107,"And just a reminder, that $20.5 billion takes another roughly 1%, slightly more, out of our spending as a percent of revenue"
108,So that's all baked in
109,I don't know if it's rounding or not
110,"I'd say $0.5 billion of revenue upside at kind of roughly gross margin dynamics of the business will fall through at an additional $0.05 of EPS, so we feel great about that"
111,I think the dynamics of more the business is in the second half
112,ASPs will improve for Data Center
113,"As Brian alluded earlier, we've assumed that ASPs will decline a little for the Client business"
114,And the fast growth of Memory and modem will have a negative mix impact on gross margins
115,"So I think when we take that altogether through the year, we felt a fairly consistent 63% with all those puts and takes throughout to the course of the year"
116,"And Q1 was where we expected, Q2 consistent with Q1 and full year"
