,Sentences
40,"I think the value proposition is very strong at both the Ryzen 7 eight-core devices, as well as the Ryzen 5 four and six-core devices"
41,"Relative to how it performed in the quarter, actually, it performed as we expected"
42,"So with a global launch, we were reaching many distributors and many channel partners, and I think that's gone well"
43,"We did see some early shortages in terms of motherboards, and that was our motherboard partners ramping their supply in line with our CPU supply, but that was really dissipated after the first couple of weeks"
44,So nothing out of the ordinary there
45,So we feel really good about where it is
46,"I think the important thing is as we go into the second quarter, we not only have the channel sales, but we also have the major OEMs that will be launching their systems in the second quarter"
47,So I think that's the next piece of the Ryzen launch for us
48,"But overall, I would say it went quite well"
49,"Absolutely, Matt"
50,"So if you look at our gross margin progression given the mix of our business, clearly, we made actually very nice progress year over year"
51,"So if you look at Q1 2017 compared to Q1 2016, we expanded margin by 2 points, and that was really on the strength of Ryzen"
52,"When you look sequentially, because of the mix of our business, game consoles were at the lowest point in the first quarter"
53,And there will be a ramp of game consoles going into the second quarter
54,So the relative mix of the business sees more gaming consoles in the second quarter relative to the first quarter
55,So that's the reason for the sequential guidance
56,"But again, if you look year over year, Q2 2017 to Q2 2016, you'll see again a nice margin expansion as a result of the strength of the products"
57,"Thanks, Matt"
58,"Sure, Ross"
59,"So as we go into the second quarter, we certainly are adding both the Ryzen 5 in addition to the Ryzen 7."
60,"So if we look at the forward guidance, up 17% quarter-on-quarter, that is driven by additional Ryzen, as well as a semi-custom ramp that I just talked about"
61,We are early in the ramp
62,"Everything that we see is – we're getting positive reception throughout the ecosystem and we're going to continue with go-to-market activities, and as I mentioned, the OEM component of that will kick in in the second quarter"
63,"So on your first question, relative to the margins and how those look, I think they are – the yields are as expected"
64,So both the 16-nanometer and the 14-nanometer have done really well
65,"And so, in terms of the new product ramp, the yields are as expected and per our margin structure"
66,"And, Mark, maybe just to finish off the comment, I think, to your question"
67,", I think, we feel pretty good about our cost structure"
68,We're always going to continue to try to reduce the cost structure over time
69,"But in terms of the margin expansion story, as we go through the year, it's going to be about the mix of business"
70,"And as we get into the higher ASP, stronger product portfolio and that ramps to a larger piece of the business, that will be the margin expansion story"
71,"Thanks, Mark"
72,"Absolutely, David"
73,So Vega is really a new architecture
74,So it is focused on the price points above Polaris
75,"We expect Vega to be a broad product for us that will go across the gaming segment, the professional workstation segment, as well as GPUs in the data center"
76,And we will be launching products across all of those segments with the Vega architecture in the next couple of months
77,So the Polaris refresh for us is the RX 500 series that we launched just a couple weeks ago
78,And that is what we would use in those mainstream price points in 2017.
79,So we are on track to launch the rest of the Ryzen portfolio in PCs
80,"We'll launch Ryzen 3 earlier in the second half, and then we will launch Ryzen mobile towards the holiday cycle for the second half"
81,"Stacy, maybe let me start and see if Devinder has some comments to add"
82,I think certainly the Ryzen gross margins are substantially better than the legacy portfolio
83,So I think that is true
84,"I think when you look at the sequential – there was 1% sequential decline, and there was a $7 million or $8 million sequential improvement in operating loss"
85,There was also some additional R&D in that segment as we're ramping up both product expenses as well as some sales and marketing and go-to-market expenses in the quarter
86,"So overall, it was as we expected"
87,"Maybe, Devinder, do you want to add to that?"
88,"Stacy, maybe I just want to clarify because I want to make sure that we were clear"
89,"So the masks were in OpEx and now they're going to be capitalized as they go into production, so they weren't in COGS before"
90,"I think it really is a full-year statement, and I think it's a recognition of, as we transition from 14-nanometer to"
91,"7-nanometer, 7-nanometer masks are substantially more expensive than 14."
92,So I don't think you can exactly put it the way you put it
93,"But overall, I think what we're trying to do is basically as the mask sets become more sizable on the production level to capitalize them"
94,"Thanks, Stacy"
95,"So, Ambrish, I think you should expect that we will expand margins as we go through the year"
96,We do have this mix effect between Semi-Custom and new product revenue
97,"But certainly, our exit velocity, as we exit the year, we should see – when you compare year-on-year sort of Q4 2017 to Q4 2016, you should see the margin expansion"
98,Yeah
99,"So the full year guide is low double-digit revenue growth, 2017 to 2016."
100,"I think, given our product portfolio being very much influenced by the PC – the Ryzen and PCs, Vega for GPUs as well as Naples from a server standpoint, we expect that the Computing and Graphics segment will be – will grow more so than the EESC segment overall on a year-over-year basis, just given some of the consumer markets move faster than some of the data center and server markets"
101,"So, look, we're really pleased with where we are with the Naples program right now"
102,"Overall, from a performance standpoint, the product and the customer engagements is going as we would expect"
103,We will launch here in the second quarter
104,So we'll start some low volume of revenue shipments during the second quarter that will ramp gradually into the second half of the year
105,"And so, overall, I think, that is how the server outlook will be"
106,I think I have said before
107,and I would still say that the server market has a longer design win to revenue conversion cycle
108,And so we would expect it to take a couple of quarters for us to ramp the Naples product over time
109,But you should see a number of customers announcing what AMD platforms over the next couple of quarters
110,So we believe we're highly differentiated with Naples in the sense that we have more cores
111,We have more memory bandwidth
112,We have more I/
113,O than our competition
114,"So for certain workloads, I think, Naples is going to do very, very well, certainly, in the cloud as well as in certain HPC workloads and big data workloads that can use all of that memory and I/O bandwidth"
115,"We will be talking more about the positioning of Naples and the key workloads, as we go through the next couple of months prior to launch"
116,"But, certainly, we feel that it's, again, like Ryzen,"
117,"on the strength of the Zen core, we have a very, very strong foundational product"
118,And now it's about making sure that we help our customers get to market
119,"Yes, John"
120,John William Pitzer - Credit Suisse Securities (USA)
121,"LLC Lisa, can you hear me?"
122,John William Pitzer - Credit Suisse Securities (USA)
123,LLC
124,Yeah
125,"Just quickly, Lisa, given that mix now is becoming quite important in trying to understand gross margin, I'd be kind of curious, what percent of your Compute business in the March quarter was based on Ryzen?"
126,"And I guess, if you assume that all of the transitions to Ryzen eventually – had that occurred in the March quarter, can you give us an understanding of how much better gross margins would have been?"
127,And then I have a follow-up
128,"All right, John, that might be hard for me to answer very specifically, but let me give you the high-level view"
129,"So we started selling Ryzen on March 2, and a good piece of it was – basically for us positioning into the distributors"
130,We take revenue on a sell-out model and so you should think about –
131,"although, we shipped a number of Ryzens, we didn't necessarily revenue them all in the quarter just given that we're on a sellout model for our revenue recognition"
132,"In terms of where we are in the transition, Ryzen, non-Ryzen, we still have a long ways to go"
133,"I mean, the way we should think about it is"
134,Ryzen 7 was at the very high-end
135,We're going to – Ryzen 5 has started
136,"We have Ryzen 3 that will come next, and then we have the entire mobile portfolio as well"
137,So it will take us through this year to really transition the majority of the product over to Ryzen
138,"I think everything that we've seen, the ASP uplifts are definitely very beneficial"
139,"And so, we're pleased with sort of the pricing that we're commanding for the product and the reception for the product"
140,So I think it's just – it will take us a couple of quarters to transition the overall portfolio over to Ryzen
141,John William Pitzer - Credit Suisse Securities (USA)
142,"LLC Lisa, as a follow-up to that, I know you guys are coming up with an Analyst Day next month and some of these targets might change"
143,"But to the extent that your old gross margin target was sort of 36% to 40%, I'm just kind of curious"
144,To what extent can you get to that 38% midpoint just by moving your current market share mix towards Ryzen?
145,"And to what extent does getting to 38% or above imply either market share gains in the Compute business on the desktop, notebook side or on the server side?"
146,How do I think about that dynamic?
147,"So the long-term guidance, 36% to 40%, I think we have multiple ways of getting there"
148,"Certainly, on the PC side, it is not anticipating that we gain a significant amount of share over our historical numbers"
149,"So I think the idea on the PC side is, again,"
150,"I think 2017, a large percentage of the margin story is around PCs"
151,"I think as you go into 2018, you'll see a larger percentage of that be in servers"
152,"But to the fundamental question, I think we feel good that the mix dynamics are there, the product is strong enough to command the right ASPs that we can get to the long-term margin"
153,targets several different ways
154,John William Pitzer - Credit Suisse Securities (USA)
155,LLC Thank you
156,"Thanks, John"
157,"So without commenting on the exact numbers between Semi-Custom and Ryzen, I think, it's fair to say that the Semi-Custom business will have a reasonable ramp in the second quarter as will Ryzen"
158,"In terms of relative to our expectations, it's actually very close to our expectations of what we expected the ramp rate to be, as we're going into this new segment"
159,"As I think I've mentioned on one of the previous questions, we don't expect to be at peak run rate in the second quarter"
160,"I think we will be continuing to ramp Zen-based product in the PC business throughout the year, as we bring more and more SKUs online"
161,"And so, I think, the second quarter will certainly be higher than the first quarter"
162,"And we expect the second half to be higher than what we're seeing in the second quarter, as we ramp more and more SKUs, as more OEM platforms come online"
163,"As you guys know, the PC business tends to be a very back-half loaded business"
164,"So, as we get into back-to-school, the retail segments and holiday, you would expect that both channel and OEM PC sales to benefit from the stronger product portfolio"
165,"On the GPU side, we actually haven't seen anything abnormal"
166,We normally see the seasonality going from Q4 to Q1 that sales go down
167,We saw something very normal to that
168,"From an inventory standpoint, we think it's normal to maybe even slightly lean because we were going through a transition from our 400 Series to 500 Series"
169,So we see the gaming segment as healthy
170,"From what we see, I think we feel good about the gaming segment overall"
171,Graphics continues to be a strong segment
172,"For us, it's not just the channel business, but it's the ramp of our OEM business"
173,So we have a number of new OEM systems that are also ramping here in the first half of the year
174,"As it relates to ASPs, we are excited with the launch of Vega that will see a significant improvement in our ASPs, just given our current presence in the high-end segment of the GPU market"
175,"So yes, overall, I think, we feel good about the market"
176,Maybe let me start on the OpEx and then have Devinder comment on the second piece of the question
177,"So on the OpEx, we are making targeted investments in several different areas"
178,"The key areas are in GPUs and server, and it's both on the R&D side as well as on some go-to-market"
179,"So from our standpoint, these are very strong products"
180,We want to make sure that we have enough customer resources to help our customers ramp into production
181,"So I think they're targeted investments, but as we've been in the past, we'll be very prudent with where the OpEx goes"
182,And then relative to the
183,"So, Joe, the way to think about that is for the Ryzen 7 and a good portion of the Ryzen 5, we really didn't have a competing product in that segment, so it's really additive"
184,We've actually added Sam [Samsung] to our CPU market coverage
185,The legacy products will continue in the market
186,"They will certainly continue through this year, and that's all contemplated in the model"
187,So we feel that they're very complementary products and different geographies moves at different rates
188,"We have still a significant installed base of motherboards out there from our previous generation, so we'll keep supporting both products"
189,So we're very pleased with where the Ryzen product is positioned now
190,"We think, from a value proposition standpoint, performance, performance per dollar, it's very strong"
191,We obviously have other products we're going to be launching throughout the year to ensure that we have strong product positioning throughout the year
192,"And I think the more important thing, Joe, and we'll talk more about this at our Financial Analyst Day"
193,"is we have a long-term roadmap, whether you're talking about PCs or GPUs or servers to ensure that we continue to refresh our product plans and our product roadmaps over time"
194,"So I think we feel good about where we are positioned today, and we're going to ensure that we continue to roll out products to strengthen that positioning over time"
195,"Yes, Chris"
196,So there was no particular supply constraint
197,I think it's more of the ebb and flow of the market
198,"When you think about the channel market or the DIY market, you can basically introduce your product any time during the year"
199,The OEMs have a very set cycle
200,They typically launch new products in Q2 for the back-to-school season
201,And so that was just the timing of when the OEM platforms were ready
202,"And then, again, when you're launching so many different SKUs – I think, launching Ryzen 7 first, then Ryzen 5, then Ryzen 3 – was absolutely our plan to make sure that we hit all of the logistics and stuff on plan"
203,"But, overall, like I said, nothing different than what we expected"
204,"I think we're pleased with where the overall launch is, and we'll be rolling out many more products over the coming quarters"
