,Sentences
28,"Our cash, cash equivalents and marketable securities total $879 million at the end of the quarter, up from $844 million in the prior quarter, primarily due to higher revenue"
29,"Inventory at the end of the quarter was $794 million, down 5% from $833 million in the prior quarter"
30,Long-term debt on the balance sheet was $1.36 billion
31,"Total principal debt, including our secured revolving line of credit, was $1.74 billion"
32,"In the third quarter, we used $28 million from our lower interest secured revolving line of credit to pay down long-term debt, which has a higher interest rate"
33,Free cash flow was $32 million compared to $20 million in the year-ago period
34,"Before turning to our outlook for the fourth quarter of 2017, which is a 13-week quarter, let me remind you, for comparative purposes, that the fourth quarter of 2016 was a 14-week quarter"
35,"For the fourth quarter of 2017, we expect revenue to decrease approximately 15% sequentially, plus or minus 3%"
36,"At the midpoint, this equates to revenue growth of approximately 26% year-over-year"
37,"Non-GAAP gross margin to be approximately 35%, non-GAAP operating expenses to be approximately $410 million, non-GAAP interest expense, taxes, and other to be approximately $30 million, and inventory to be down sequentially"
38,We now expect 2017 annual revenue to increase by greater than 20% over 2016 compared to the prior guidance of mid to high-teens percentage growth
39,"We do not anticipate significant changes to the diluted share count in the fourth quarter and you can find additional information regarding the share count in the CFO commentary, which is posted online"
40,"In closing, the third quarter was a strong quarter and we are pleased with the momentum of our new premium products"
41,"We are making solid progress towards our growth and margin expansion objectives; and as our financial performance improves, we remain committed to investing in our multi-generational road maps and achieving our long-term financial targets"
42,"With that, I'll turn it back to Laura for Q&A session"
43,Laura?
44,"Yeah, so, Vivek, just to remind you, in line – you've heard us talk about our IP monetization efforts, and this is very much in line with that"
45,"And as Lisa said, the benefit is spread over both the segments"
46,"Hi, Mark"
47,"If I can just add, if you look at the margin trend compared to 2016, 2016 we had 31% gross margin"
48,And we expect to be at 34% this year
49,And that's primarily based on the strength of the new product that Lisa referenced
50,"And from a long-term model standpoint, we are on track with what we laid out in the financial Analyst Day of going from 31% to 34%, and then expecting to be greater than 36% in 2018 on the strength of the new premium products that are ramping into 2018."
51,"I think the way I look at that is if you look at Q3 from a volume standpoint and the volume is pretty high, and that's why it's highlighted from a viewpoint of the calls, but the way you want to look at it going forward Q4 and beyond"
52,is all of the costs related with the WSA that's referenced in the scripts is contemplated in our guidance and our long-term models
53,"I think the first thing I'll say is we do want to invest in the business, especially with the growth opportunities we have and primarily targeting the OpEx investments towards R&D"
54,"They are, in the current moment, with a lot of products ramping, just in the last few months, you heard about the Ryzen ramp, you heard about EPYC, we talk about Vega, and obviously, their go-to-market cost will ramp up new products"
55,"But as far as 2017 guidance is concerned, I had said previously 31% as the potential of revenue, but I think right now, where the numbers are coming out especially with the strength on the revenue side of the equation, we think we end up at about 30% on an expense to revenue ratio in 2017, which, as you probably recall, is at the upper end of what we had said our long-term target model which is 26% to 30%"
56,"So actually, I'm pretty pleased because if everything works out in the Q4 guidance that we gave, and in 2016 would have been a 32% of revenue; in 2017, approximately 30%; and then obviously, we'll see where we get into 2018."
57,"We're very pleased from a viewpoint of being able to make the investments in the business to support the product road map, the go-to-market cost for the ramp of new products, and at the same time, bring down the percentage of OpEx over revenue"
58,Yeah
59,"I think if you look at it from an overall standpoint, if you look at the cost impact, it's all within our guidance"
60,"I think if you look at IP from that standpoint, we have several IP deals in the pipeline for Q3."
61,"Basically, we thought it was likely that we would be able to close on IP-related deal in the quarter, and that's how it turned out"
62,And you see the benefit across both the segments
63,"And from a go-forward standpoint, despite the cost of being there, we look at it overall from a viewpoint of the trend of the margin"
64,Major provider of the gross margin uplift is the premium new products that we are launching
65,"And then, obviously, there's opportunities from an IP standpoint to benefit the P&L if we go ahead and put that in the equation"
