,author,content,game_id,inserted_at,post_no
37,Agent Sparkles,"Oh sorry penguin, I was speed-posting",71796,2017-05-12 20:41:00,27
38,Transcend,VOTE: agent sparkles,71796,2017-05-12 20:41:00,28
39,Transcend,"fire and myself were on gamma, not tammy",71796,2017-05-12 20:41:00,29
40,Agent Sparkles,"

What's your point? I'm saying that people are trying to shove aside Gamma's RQS attempt for no apparent reason.",71796,2017-05-12 20:43:00,30
41,Transcend,made that post to the mod to fix the error in his vc,71796,2017-05-12 20:45:00,31
42,Agent Sparkles,Oh okay,71796,2017-05-12 20:47:00,32
43,Ranmaru,"

Doesn't help to find mafia, and can stagnate the game, and also helps people avoid RVS. What do you think of the people including myself who ignored the questions? Scum or Town and why?",71796,2017-05-12 20:48:00,33
44,Mulch,Avoiding or doing the questions is Not Allignment Indicative,71796,2017-05-12 20:49:00,34
45,Agent Sparkles,"


1) I don't think I agree that it doesn't help. It may not be as effective as RVS, but it's still a starting point.
2) It doesn't need to stagnate anything. RVS and RQS are not mutually exclusive and people can easily do both at once.
3) I think it's NAI on its own, but I'm still interested in knowing why people are shutting it down the way they have.",71796,2017-05-12 20:56:00,35
46,Ryker,"Not gonna be very active for the next few hours. Im on the phone, so someone bold these mod questions for me. Does 10-3 guarantee no indy? Is mafia kill compulsive? If so, what happens if no mafiat sends in a kill?",71796,2017-05-12 21:02:00,36
47,Ryker,Post above mentions RQS. Kill that idea with fire.,71796,2017-05-12 21:03:00,37
48,Gamma Emerald,"I can answer those.
10-3 guarantees no indie roles.
Mafia kill is generally not compulsive.
When mafia fail to send a kill, no kill happens.",71796,2017-05-12 21:03:00,38
49,Gamma Emerald,"
Why?",71796,2017-05-12 21:04:00,39
50,Agent Sparkles,lol,71796,2017-05-12 21:07:00,40
51,Ranmaru,"@Agent Sparkles: If it's not as effective, simply using RVS will be better. Less posts to sift through, less paragraphs of questions that won't help us find alignment. Especially since you and others feel it's not alignment indicative. Early game is important, so better to not stagnate the game. RQS requires more effort. I'm not going to say anymore on the matter. That should answer your question.",71796,2017-05-12 21:08:00,41
52,Mulch,"

I don't like this post.  

1) It shows you care what we think of you and are giving an excuse for inactivity.  This is NAI but something to note

2)  The bolded mod questions are towncred questions that you are subtly slipping in there",71796,2017-05-12 21:09:00,42
53,Mulch,VOTE: AdumbroDeus,71796,2017-05-12 21:10:00,43
54,Gamma Emerald,"Ranmaru I'd at least like an answer of question 1
*not so subtle poke*",71796,2017-05-12 21:11:00,44
55,Gamma Emerald,"
Why him? He hasn't posted yet.",71796,2017-05-12 21:11:00,45
56,Mulch,"

Well you fucking ruined it, I wanted to see how he was going to react greeted with a vote",71796,2017-05-12 21:13:00,46
57,Mulch,"Now no point
UNVOTE: ",71796,2017-05-12 21:13:00,47
58,Ranmaru,@Mulch: Why do you state dislike of Ryker's post while stating that it's NAI? What is the purpose of you stating it?,71796,2017-05-12 21:22:00,48
59,Agent Sparkles,"

1) How is letting us know he won't be available any kind of indicator? And if you think it's NAI, why did you bring it up as one of your points against him?

2) How did you reach this conclusion so quickly? What about the questions suggests scum motivation over genuine curiosity? Do you think he expects to be townread for generic setup questions like that?

Pedit: Ninja'd",71796,2017-05-12 21:22:00,49
60,Mulch,"

Are you purposefully manipulating what I said?  The second part is not NAI, the first is. ?",71796,2017-05-12 21:26:00,50
61,Mulch,,71796,2017-05-12 21:27:00,51
62,Ranmaru,"Fair, the first part is what is NAI. Why bring up the first point? If you feel he is scum (for the second point), why aren't you voting him?",71796,2017-05-12 21:32:00,52
63,Mulch,"

I don't think he is scum.  

The first point is brought up because I wanted to make a note of his self preservation meta",71796,2017-05-12 21:34:00,53
64,Agent Sparkles,"1) It really doesn't. He just told us that he won't be available. Showed no emotion, gave no excuses, just let us know that he can't participate yet. You can find an example of this in just about any game. And can you answer my second question?

2) So scum already knows but asking makes him likely scum? Do you think there's something wrong/unnatural with asking publicly?",71796,2017-05-12 21:36:00,54
65,Agent Sparkles,Stahp ninjaing me,71796,2017-05-12 21:37:00,55
66,Agent Sparkles,"

I don't understand this. You said ""I don't think he is scum"" after you threw shade on him and said he was purposely slipping things in for towncred.",71796,2017-05-12 21:39:00,56
67,Ryker,Am I not supposed to care how you think of me?,71796,2017-05-12 21:41:00,57
68,Ryker,Vote: Mulch ,71796,2017-05-12 21:42:00,58
69,Ryker,"Soon as I finish this game, I'll be around. Please make some time for me, Mulch.",71796,2017-05-12 21:44:00,59
70,Mulch,"

The answer to your second point is that I don't think he is scum.  One post does not mean scum",71796,2017-05-12 21:51:00,60
71,Mulch,"

I said this was not allignment indicative yet your still responding to it as if I called you scum.  Why?",71796,2017-05-12 21:51:00,61
72,Mulch,"

1)  what's his motivation for saying this? To show an excuse.  Excuses aren't allignment indicative 

2). Yes, it's unnatural.  Why announce to the entire town?",71796,2017-05-12 21:53:00,62
73,Mulch,"He could easily have asked the mods.  Whats the POINT in announcing to the town? None, except towncred",71796,2017-05-12 21:53:00,63
74,Ranmaru,"Agreed with Agent Sparkles. You have enough motivation to sling mud at Ryker while not scumreading him. You prefer to discredit over questioning, which I feel is more scum motivated. 

UNVOTE: Agent Sparkles
VOTE: Mulch",71796,2017-05-12 21:56:00,64
75,Mulch,You may think what you want but I am not going to vote someone every time I scumread,71796,2017-05-12 21:57:00,65
76,Ranmaru,I want people to keep their votes active. Don't dilly dawdle.,71796,2017-05-12 21:59:00,66
77,Mulch,If I voted someone for everything I scunrrad I would be voting everyone... I am not doing that.  And I had a good vote and then someone ruined it,71796,2017-05-12 22:00:00,67
78,Agent Sparkles,"

He doesn't NEED to announce it publicly, but is there any significant reason not to? It's literally just questions, not confidential information.",71796,2017-05-12 22:00:00,68
79,Mulch,"

Don't ask that: ask: WHY did he do that? WHAT'S the point in asking to the town?",71796,2017-05-12 22:01:00,69
80,Mulch,"

I don't like the white Knighting.  THAT is something that is A real scum tell.  You have gone on a defense of him without cause - I highly doubt you feel so strongly about this.  in my experience scum LOVE to buddy up to town 

VOTE: agentsparkles",71796,2017-05-12 22:04:00,70
81,Agent Sparkles,"And I'm still wondering- You said scum probably knows the answers to his questions already. How does this support your point and not counteract it?

Pedit: Please don't dodge the question. From my perspective, he could've easily asked in public because it has the same benefits of asking privately, so why does he need to avoid it?",71796,2017-05-12 22:05:00,71
82,Mulch,"

That's the point, scum probably know the answers to the questions... What don't you understand? 

He doesn't NEED to avoid it, stop manipulating my words.  I am saying it's weird WHY he didn't just ask in private, or pre game",71796,2017-05-12 22:07:00,72
83,Gamma Emerald,"
This indicates
1) not reading and
2) an extreme reaction to a small suspicion
VOTE: Ryker",71796,2017-05-12 22:09:00,73
84,Mulch,"Lmao defensiveness is not allignment indicative, neither is not reading...",71796,2017-05-12 22:11:00,74
85,Gamma Emerald,"I feel his actions line up with scum actions at this point
Pls don't tell me you are secretly a Skold alt",71796,2017-05-12 22:12:00,75
86,Mulch,I am new so no.  How is defensiveness scum?,71796,2017-05-12 22:14:00,76
87,Agent Sparkles,"

I don't have a lot of past MS games to show you, but arguing against cases on other people like this is a thing I do regularly in mafia. If I see someone being scumread for bad reasons, even if I'm nullreading the person on the receiving end, I'm likely going to argue and engage over it for two reasons:

1) I want to better understand the opposing argument and possibly call them out for scum-driven reasoning (this is the main reason)

2) I don't want someone to be lynched for reasons that I think are unjustified.

Defending people is NAI in itself. I'm not buddying up to anyone.",71796,2017-05-12 22:14:00,77
88,Gamma Emerald,"
An excess of defensiveness is scum, which is what I see.",71796,2017-05-12 22:16:00,78
89,Mulch,"

I completely disagree",71796,2017-05-12 22:16:00,79
90,Mulch,"
@agent any games on other sites you can link me?",71796,2017-05-12 22:19:00,80
91,Gamma Emerald,"
Why? Scum don't want to be lynched, so they'll try to defend themselves so people aren't convinced to vote them.",71796,2017-05-12 22:21:00,81
92,Mulch,"

And, you know, town don't want to be lynched either...",71796,2017-05-12 22:24:00,82
93,Gamma Emerald,"Scum are much more likely to get highly defensive.
Also, as a tangential point, scum sometimes focus more on defense than offense.",71796,2017-05-12 22:26:00,83
94,Ranmaru,"Can you guys be more concise and snip quotes? It'll save people the head ache when reading and reading. No point to quote a huge as quote when you just need to answer one question. Look at how I do it:

@Gamma: Town don't want to be lynched either. Also Ryker doesn't seem highly defensive there. Thoughts on Agent Sparkle and Mulch?
@Agent Sparkle: Read on Mulch?
@Marshy: Move your vote, Tammy won't be around early as stated in the pre-game thread. I pushed her to join (while she said she had other games at the moment) because I wanted to play with her.
@Zulphy: Same to you.

Neat.",71796,2017-05-12 22:27:00,84
95,Mulch,"

Your second point is correct",71796,2017-05-12 22:29:00,85
96,Mulch,"

Whats YOUR opinion on me?",71796,2017-05-12 22:34:00,86
97,Gamma Emerald,"
Scum blow things out of proportion. I got the feeling Ryker was being highly defensive. Not sure about AS, but Mulch sure seems to be putting in work to defend his FOS.

Thanks for dodging the point. As I said @Ranmaru, scum will blow things out of proportion.",71796,2017-05-12 22:41:00,87
98,Mulch,Dodging what exactly?,71796,2017-05-12 22:46:00,88
99,Transcend,"I dislike this game

I tr mulch",71796,2017-05-12 23:41:00,89
100,Mulch,"

Why?",71796,2017-05-12 23:41:00,90
101,Transcend,"
",71796,2017-05-12 23:42:00,91
102,Gamma Emerald,Why do you dislike the game,71796,2017-05-12 23:43:00,92
103,Mulch,"

@Gamma",71796,2017-05-12 23:43:00,93
104,Gamma Emerald,"
The fact that scum are more likely to become defensive because they have more on the line if they are lynched.",71796,2017-05-12 23:45:00,94
105,Transcend,Too many walls,71796,2017-05-12 23:47:00,95
106,Mulch,"

... so do town",71796,2017-05-12 23:47:00,96
107,Gamma Emerald,"Not really
Some town do, specifically PRs, but all scum do, as a scum flip will help find the rest, and put the others at a disadvantage should a tracker or roleblocking-type role exist.",71796,2017-05-12 23:51:00,97
108,Mulch,"

Ok, agree to disagree, because I don't think self preservation is a scum tell",71796,2017-05-12 23:54:00,98
109,Ranmaru,"@Mulch: My opinion of you is slight scum, for throwing shade at Ryker when you didn't scumread him. Why did you ask me this question, since I have already given an opinion of you? I don't have a bead on your continued thread presence, but some meta may help me. Can you show me a recent scum game of yours? Town game? Can you just tag people instead of quoting right after they post? That's a little unnecessary. Notice I and Transcend don't like walls. 

@Gamma: Can you also do the same? (less quoting, more just concise posts, although you have been a bit more concise, I just want you to acknowledge this)

---

Basically, walling sucks guys. Sometimes people view as mobile, walls hurt town. Wall less, everybody is happy. I implore town to be more concise. Also to keep votes active too. Only quote when necessary.",71796,2017-05-13 00:03:00,99
110,Gamma Emerald,"I'm not really used to tagging
I'll try",71796,2017-05-13 00:05:00,100
111,Ranmaru,"

Why are you voting Gamma? Any thoughts on current events?",71796,2017-05-13 00:05:00,101
112,Mulch,"Ran I asked you because it is weird to ask ther people to give their opinions without giving it first.

Here is a completed scum game from the the other site:  http://blankmediagames.com/phpbb/viewto ... 17&t=63400

Here is a completed town game from the other site:  http://blankmediagames.com/phpbb/viewto ... 17&t=65500

My name is UNDERSTOOD12345",71796,2017-05-13 00:06:00,102
113,Ranmaru,"@Mulch: I would agree with you. Yet, I have already given my opinion of you. Did you miss it? I'll check them out, thanks.",71796,2017-05-13 00:07:00,103
114,Mulch,"Did you give it in your most recent post?  If not, I missed it",71796,2017-05-13 00:08:00,104
115,Ranmaru,"Yes, in my #64.",71796,2017-05-13 00:13:00,105
116,Ranmaru,Lol well not recently. I just said yes without thinking.,71796,2017-05-13 00:14:00,106
117,Mulch,"My bad, I thught you were someone different than the person who voted me",71796,2017-05-13 00:15:00,107
118,Ranmaru,What made you think that? Curious.,71796,2017-05-13 00:16:00,108
119,Mulch,"I have no idea lol, probably because (former you) just did a vote and a short sentence while this ""newwer"" you had a bigger post and directinon.  Did you happen to change your avatar?",71796,2017-05-13 00:17:00,109
120,Ranmaru,"Ah, that makes sense. I try to be concise but sometimes I like to address a few people at a time and I am pushing for a concise town. No, I changed it when the game started.",71796,2017-05-13 00:21:00,110
121,AdumbroDeus,"@Mulch explain why agent sparkles' defense is suspicious. Is it just the nature of defending somebody period, do you think the theory reasoning is disingenuous, what?

Also Ryker has a big self preservation meta regardless of alignment.",71796,2017-05-13 00:39:00,111
122,PenguinPower,"Vote Count 1.03
Mulch (3): Agent Sparkles, Ryker, Ranmaru
Agent Sparkles (2): Transcend, Mulch
Tammy (2): marshy, Zulfy
Ryker (1): Gamma Emerald
Gamma Emerald (1): FireScreamer

Not Voting (5): LaLight, Tammy, AdumbroDeus, FrozenFlame

With 13 alive, it takes 7 to lynch.

Deadline: (expired on 2017-05-26 16:00:00)
",71796,2017-05-13 00:39:00,112
123,Mulch,"

I don't think it's something that a townie would neccecarily go full ham on defending him for.  It seems such a weird thing, and he is IMMEDIATELY almost white knighted for a LONG time by sparkles.  The possibility here is that the person he is defending is Town and he is setting up TvT conflicts.  I see in a lot of games scum trying to buddy up to town, just beacuse pyschologically it helps that town read them back and also because it sets up conflicts between the aggresor and accused.

I'm realizing this lol",71796,2017-05-13 00:42:00,113
124,Mulch,This is why I am also a little suspicious of the person that townread me rigtht after I am being attacked. by 2-3..it's like they know I am town and want to set up conflicts and bias me against them favrably.  I genuinely think that scum would be less likely to push me than town lol,71796,2017-05-13 00:44:00,114
125,AdumbroDeus,"Townie AF.

You're wrong though, what makes it a scumtell is being disingenuous, the scum incentive is there but town will do it all the time to stop bad lynches. 

Reasoning for it is really townie though.",71796,2017-05-13 01:00:00,115
126,Mulch,"*Says people townreading him are susp*
*Peroson twnreads him*

That took guts",71796,2017-05-13 01:01:00,116
127,AdumbroDeus,"vote: Transcend

Feeling townie Ryker so far.",71796,2017-05-13 01:02:00,117
128,Ryker,"
Because if it doesn't, what's the point of bringing it up?",71796,2017-05-13 01:22:00,118
129,Ryker,"
Why is it unnatural to ask a question in thread so that everyone can see the answer?",71796,2017-05-13 01:24:00,119
130,Ryker,"
Correct this, please. I can't stand it when people play like wimps. Not voting just makes it harder to understand your stances and harder to track what you are actually pushing over the course of the game. All it does is muddy the waters and make it harder to hold people to stances later in the game.

Don't be that guy or I will remove you from this game.",71796,2017-05-13 01:25:00,120
131,Ryker,"
Good man.",71796,2017-05-13 01:25:00,121
132,Ryker,"
Regardless of what you thought, I am pretty certain that vote wasn't solid because I have played with Adum before and he's not inexperienced enough to give you anything just because there was a vote on him.",71796,2017-05-13 01:27:00,122
133,Ryker,"
Why do YOU think I did it?
What was I trying to get out of it?
What does it tell you about my alignment?
What are you going to do about it now?",71796,2017-05-13 01:28:00,123
134,Ryker,"
Why so? Defend that statement.",71796,2017-05-13 01:30:00,124
135,Ryker,"
Townies don't want to be lynched, so they'll try to defend themselves so people aren't convinced to vote them.

Next reason?",71796,2017-05-13 01:30:00,125
136,Gamma Emerald,"@Ryker: I've done so to Mulch, read that first.",71796,2017-05-13 01:31:00,126
137,Ryker,"
Why, you didn't support your point. Why are scum more likely to get highly defensive than town?",71796,2017-05-13 01:31:00,127
138,Ryker,"
Unvote: Mulch",71796,2017-05-13 01:32:00,128
139,Ryker,"
Do town blow things out of proportion? What if I could show you examples of town blowing things out of proportion?",71796,2017-05-13 01:33:00,129
140,Mulch,"

Because you can just ask the mod privately?",71796,2017-05-13 01:33:00,130
141,Gamma Emerald,Also I can't believe I'm saying this but don't catch up one post at a time.,71796,2017-05-13 01:33:00,131
142,Mulch,"

..",71796,2017-05-13 01:33:00,132
143,Ryker,"
That is entirely dependent on the circumstances of the lynch. Sometimes it is true and sometimes it is wrong.

Please try again.",71796,2017-05-13 01:33:00,133
144,Ryker,Vote Transcend,71796,2017-05-13 01:34:00,134
145,Mulch,"

I think you POSSIBLY could have done it to gain towncred, or possibly just because you didnt feel like messaging the mods, or possibly some other fucking reason.  I have no idea.  That sfor you to tell.

I don't think it tell smuch abut your allignment, but in general is a small negative in terms of my reads.

What am I going to do about it?  Nothing right now, I have a better scumread",71796,2017-05-13 01:34:00,135
146,Ryker,"
That's not a reason not to ask in thread though.",71796,2017-05-13 01:35:00,136
147,Ryker,"
No.",71796,2017-05-13 01:35:00,137
148,Mulch,"

^^^^^",71796,2017-05-13 01:35:00,138
149,Mulch,"

^^^^^^^^^^^^^^^^^^^^^",71796,2017-05-13 01:35:00,139
150,Mulch,"

So, stop avoiding it.  WHY did you ask in thread?",71796,2017-05-13 01:36:00,140
151,Ryker,"I'm caught up.

Town:

Ryker
Ran
Mulch
Probably Emerald?

Scum:
Transcend

Will update in the future. Caught up for now. Will look back occasionally through the night.",71796,2017-05-13 01:37:00,141
152,Gamma Emerald,"Oh my
It's been a while since I saw someone who included themselves in their reads",71796,2017-05-13 01:38:00,142
153,Ryker,"

But, I did say. I asked in thread because I didn't know and there was no reason not to have the information publicly available. I ask again, is there a reason not to ask in thread?",71796,2017-05-13 01:39:00,143
154,Mulch,"

But is there a reason NOT to ask the mod?  What made you want to ask in public isntead of a mod?  What was going through your mind?",71796,2017-05-13 01:39:00,144
155,Ranmaru,"VOTE: Transcend

Gamma does seem town, meta wise. I liked Mulch's response to Adum. Seemed genuine. He's been pretty active, and he responded well to my and other's pressure.",71796,2017-05-13 01:40:00,145
156,Transcend,:O,71796,2017-05-13 01:41:00,146
157,Ryker,"
You're making me repeat myself. I've said why I asked in public. I could've asked the mod and I didn't. I am not claiming I couldn't have. What I have asked you, multiple times now, is for what reason should I have not asked in thread, since you are implying it was the wrong decision.",71796,2017-05-13 01:41:00,147
158,Ryker,"
Has anyone voted Gamma? Have you played with Gamma before?",71796,2017-05-13 01:41:00,148
159,Mulch,"

IF you are scum, then it gains you towncred because I think scum would most likely have known the answers to the questions.  I said this",71796,2017-05-13 01:42:00,149
160,Ranmaru,@Mulch: Ryker already stated it. He did it so that others can see the answer as well. It's not alignment indicative anyway. No one would give him town credit for something that easy. I do it all the time as well. /end,71796,2017-05-13 01:42:00,150
161,Transcend,Hi who wants to engage me,71796,2017-05-13 01:43:00,151
162,Gamma Emerald,"@Ryker: Transcend and FS voted me. Me and Ranmaru have played together twice. The first time she quickly caught me as Mafia, the second time I somewhat quickly caught her",71796,2017-05-13 01:43:00,152
163,PenguinPower,"Vote Count 1.04
Agent Sparkles (2): Transcend, Mulch
Tammy (2): marshy, Zulfy
Transcend (1): Ranmaru
Mulch (1): Agent Sparkles
Ryker (1): Gamma Emerald
Gamma Emerald (1): FireScreamer

Not Voting (5): LaLight, Ryker, Tammy, AdumbroDeus, FrozenFlame

With 13 alive, it takes 7 to lynch.

Deadline: (expired on 2017-05-26 16:00:00)
",71796,2017-05-13 01:43:00,153
164,Ryker,"If I am town, then asking it could gain me towncred.

Why is gaining towncred bad? Towncred is a good thing regardless of alignment.

@Transcend I just want you lynched, personally.",71796,2017-05-13 01:44:00,154
165,Transcend,R u sure,71796,2017-05-13 01:44:00,155
166,Mulch,"

Getting fake towncred is scum alligned",71796,2017-05-13 01:45:00,156
167,Ranmaru,"@Ryker: Firescream voted Gamma. Transcend voted him early on but moved his vote to Agent Sparkles. I have played with him before. Once he was scummy as all fuck. Lynched him. I believe he genuinely believes what he is saying, even though I think he's wrong.",71796,2017-05-13 01:46:00,157
168,Mulch,"

ez shitft.

I am going to hop on this wagon because transcent was the person that actually whiteknighted me against you folk 

VOTE: Transcend

L-2?  No more votes..",71796,2017-05-13 01:46:00,158
169,Transcend,Welp i can't even defend myself cause I'm at work,71796,2017-05-13 01:47:00,159
170,Mulch,Don't worry we won't lynch you.  Yet lol,71796,2017-05-13 01:47:00,160
171,Transcend,"Is white knighting a scum tell 

Bc it's something i do as town",71796,2017-05-13 01:48:00,161
172,Ryker,"That's not L-2. lmao
VOTE: Transcend

You should read the rules.

- PenguinMod",71796,2017-05-13 01:49:00,162
173,Transcend,"You already voted me

Why won't you engage me Ryker",71796,2017-05-13 01:49:00,163
174,Ranmaru,By the way guys it's in the rules that we have to use the voting button lol. We are all morons.,71796,2017-05-13 01:49:00,164
